, JAK-STAT, MAPK_PI3K, TNFa, MAPK_only, VEGF, Wnt, PI3K_only, TGFB, H2O2, TLR, IL-1
39,0.0,1.0,2.0,6.0,5.0,3.0,9.0,4.0,8.0,10.0,7.0
88,0.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,9.0,8.0,10.0
137,0.0,3.0,1.0,7.0,4.0,2.0,6.0,10.0,5.0,9.0,8.0
186,0.0,2.0,1.0,3.0,8.0,7.0,4.0,6.0,5.0,9.0,10.0
235,0.0,4.0,2.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,10.0
284,0.0,1.0,4.0,8.0,6.0,5.0,3.0,2.0,10.0,7.0,9.0
333,0.0,3.0,5.0,4.0,1.0,2.0,7.0,6.0,8.0,9.0,10.0
382,0.0,1.0,4.0,7.0,5.0,3.0,6.0,2.0,8.0,10.0,9.0
431,0.0,1.0,5.0,4.0,3.0,2.0,8.0,6.0,7.0,9.0,10.0
480,0.0,1.0,7.0,3.0,5.0,8.0,9.0,2.0,6.0,4.0,10.0
529,2.0,1.0,0.0,3.0,9.0,7.0,5.0,4.0,6.0,10.0,8.0
578,0.0,3.0,2.0,4.0,5.0,1.0,7.0,6.0,9.0,8.0,10.0
627,1.0,2.0,0.0,3.0,5.0,9.0,7.0,4.0,8.0,6.0,10.0
676,0.0,1.0,2.0,3.0,5.0,8.0,10.0,7.0,9.0,4.0,6.0
725,0.0,1.0,2.0,9.0,5.0,7.0,6.0,3.0,4.0,8.0,10.0
774,0.0,3.0,1.0,8.0,2.0,10.0,5.0,7.0,4.0,6.0,9.0
823,1.0,3.0,0.0,6.0,2.0,8.0,5.0,4.0,7.0,9.0,10.0
872,0.0,3.0,2.0,1.0,6.0,7.0,8.0,4.0,5.0,9.0,10.0
921,3.0,0.0,1.0,2.0,7.0,9.0,5.0,4.0,6.0,8.0,10.0
970,1.0,2.0,0.0,3.0,4.0,7.0,5.0,8.0,6.0,10.0,9.0
1019,0.0,2.0,5.0,1.0,4.0,8.0,3.0,7.0,6.0,10.0,9.0
1068,3.0,6.0,2.0,0.0,5.0,7.0,1.0,4.0,9.0,8.0,10.0
1117,0.0,2.0,3.0,6.0,8.0,5.0,4.0,1.0,9.0,10.0,7.0
1166,3.0,1.0,2.0,5.0,6.0,4.0,0.0,8.0,7.0,9.0,10.0
1215,0.0,6.0,2.0,3.0,5.0,8.0,4.0,1.0,7.0,10.0,9.0
1264,0.0,1.0,6.0,2.0,9.0,4.0,3.0,5.0,8.0,7.0,10.0
1313,0.0,1.0,2.0,3.0,8.0,4.0,6.0,5.0,7.0,9.0,10.0
1362,0.0,3.0,1.0,4.0,6.0,2.0,7.0,5.0,10.0,9.0,8.0
1411,0.0,5.0,2.0,3.0,7.0,1.0,4.0,6.0,8.0,9.0,10.0
1460,6.0,2.0,5.0,0.0,4.0,1.0,3.0,7.0,8.0,9.0,10.0
1509,0.0,8.0,2.0,5.0,7.0,1.0,4.0,3.0,10.0,6.0,9.0
1558,1.0,0.0,7.0,4.0,8.0,3.0,2.0,6.0,9.0,5.0,10.0
1607,0.0,1.0,2.0,5.0,7.0,3.0,4.0,6.0,9.0,8.0,10.0
1656,0.0,3.0,1.0,6.0,5.0,8.0,2.0,4.0,9.0,7.0,10.0
1705,1.0,0.0,6.0,5.0,8.0,4.0,3.0,2.0,10.0,9.0,7.0
1754,0.0,2.0,3.0,7.0,4.0,6.0,1.0,5.0,9.0,10.0,8.0
1803,1.0,5.0,0.0,4.0,9.0,6.0,2.0,3.0,8.0,7.0,10.0
1852,0.0,2.0,3.0,6.0,5.0,1.0,4.0,8.0,9.0,7.0,10.0
1901,1.0,0.0,4.0,2.0,6.0,8.0,5.0,3.0,10.0,7.0,9.0
