,ETV4,CMTM7,S100A4,SPRY2,SH3TC2,TOR4A,SPRY4,ABO,TRPV2,HOXB7,ETV5,HMGA2,TMEM101,TMC6,DUSP6,MYEOV,SPRY1,SNX18P16,ITGA6,EVPL,FERMT1,NPAS2,SLC16A3,ACOT11,SLC17A9,NRROS,EMP1,RP11-114H23.1,INPP1,IL20RA
10,3.0,0.0,2.0,13.0,5.0,11.0,6.0,8.0,4.0,10.0,7.0,27.0,75.0,52.0,20.0,1.0,449.0,23.0,15.0,12.0,30.0,69.0,41.0,83.0,22.0,21.0,17.0,28.0,46.0,79.0
59,0.0,1.0,2.0,7.0,9.0,11.0,12.0,6.0,4.0,5.0,24.0,10.0,38.0,15.0,14.0,3.0,55.0,25.0,48.0,20.0,47.0,36.0,18.0,107.0,8.0,33.0,34.0,16.0,27.0,51.0
108,0.0,2.0,1.0,4.0,6.0,12.0,3.0,16.0,5.0,7.0,19.0,14.0,18.0,32.0,17.0,10.0,57.0,54.0,13.0,8.0,76.0,31.0,27.0,28.0,11.0,26.0,23.0,25.0,34.0,95.0
157,3.0,1.0,0.0,6.0,13.0,15.0,9.0,16.0,7.0,4.0,11.0,8.0,130.0,18.0,14.0,2.0,154.0,41.0,5.0,37.0,82.0,23.0,53.0,36.0,31.0,34.0,20.0,49.0,71.0,61.0
206,1.0,0.0,2.0,4.0,3.0,12.0,6.0,10.0,8.0,21.0,16.0,36.0,63.0,38.0,13.0,5.0,32.0,81.0,14.0,19.0,26.0,105.0,39.0,43.0,17.0,37.0,15.0,35.0,24.0,67.0
255,1.0,0.0,2.0,5.0,9.0,6.0,22.0,10.0,8.0,70.0,15.0,30.0,21.0,25.0,24.0,4.0,67.0,35.0,14.0,23.0,115.0,27.0,29.0,37.0,3.0,39.0,116.0,7.0,91.0,125.0
304,0.0,2.0,4.0,3.0,15.0,5.0,7.0,16.0,12.0,6.0,14.0,10.0,32.0,103.0,13.0,1.0,37.0,33.0,28.0,17.0,60.0,35.0,97.0,115.0,8.0,34.0,11.0,31.0,36.0,114.0
353,2.0,0.0,1.0,3.0,21.0,11.0,9.0,8.0,4.0,7.0,36.0,20.0,13.0,65.0,6.0,5.0,41.0,16.0,25.0,83.0,84.0,59.0,28.0,88.0,10.0,70.0,58.0,32.0,40.0,77.0
402,2.0,1.0,0.0,5.0,4.0,7.0,6.0,19.0,32.0,9.0,37.0,16.0,44.0,24.0,8.0,3.0,47.0,43.0,23.0,26.0,56.0,55.0,29.0,28.0,10.0,52.0,41.0,11.0,17.0,50.0
451,2.0,1.0,0.0,6.0,4.0,10.0,12.0,11.0,45.0,9.0,22.0,192.0,29.0,47.0,51.0,3.0,193.0,40.0,7.0,5.0,56.0,21.0,68.0,64.0,33.0,66.0,67.0,20.0,19.0,39.0
500,2.0,0.0,1.0,4.0,8.0,5.0,12.0,9.0,14.0,3.0,20.0,52.0,10.0,26.0,50.0,7.0,64.0,15.0,43.0,6.0,57.0,51.0,11.0,47.0,31.0,34.0,49.0,17.0,46.0,25.0
549,1.0,0.0,2.0,4.0,14.0,6.0,10.0,8.0,32.0,3.0,15.0,24.0,11.0,59.0,16.0,7.0,57.0,18.0,109.0,5.0,9.0,72.0,37.0,17.0,12.0,28.0,20.0,22.0,33.0,52.0
598,2.0,0.0,1.0,3.0,12.0,11.0,6.0,5.0,25.0,8.0,9.0,31.0,21.0,27.0,20.0,26.0,32.0,16.0,41.0,14.0,28.0,22.0,45.0,10.0,7.0,30.0,65.0,4.0,36.0,42.0
647,2.0,1.0,0.0,3.0,4.0,17.0,5.0,8.0,131.0,10.0,13.0,31.0,7.0,20.0,33.0,130.0,29.0,6.0,176.0,9.0,28.0,34.0,21.0,14.0,15.0,25.0,18.0,19.0,44.0,45.0
696,1.0,0.0,3.0,2.0,7.0,20.0,5.0,13.0,84.0,8.0,30.0,66.0,9.0,21.0,22.0,25.0,40.0,79.0,43.0,11.0,12.0,19.0,24.0,36.0,4.0,33.0,90.0,10.0,26.0,16.0
745,0.0,1.0,2.0,3.0,23.0,7.0,6.0,9.0,10.0,21.0,19.0,54.0,12.0,43.0,26.0,11.0,20.0,5.0,58.0,14.0,27.0,41.0,29.0,17.0,4.0,15.0,46.0,16.0,30.0,34.0
794,0.0,1.0,2.0,3.0,17.0,42.0,14.0,8.0,25.0,16.0,23.0,32.0,6.0,13.0,15.0,35.0,7.0,20.0,36.0,5.0,28.0,66.0,48.0,10.0,11.0,18.0,31.0,46.0,92.0,59.0
843,0.0,1.0,4.0,3.0,7.0,5.0,6.0,30.0,40.0,2.0,12.0,42.0,18.0,14.0,17.0,13.0,15.0,37.0,34.0,9.0,24.0,29.0,45.0,10.0,48.0,19.0,39.0,23.0,25.0,21.0
892,2.0,0.0,1.0,3.0,10.0,14.0,12.0,8.0,30.0,6.0,19.0,17.0,4.0,54.0,9.0,5.0,18.0,46.0,37.0,7.0,36.0,39.0,49.0,11.0,24.0,25.0,15.0,26.0,47.0,31.0
941,0.0,1.0,3.0,2.0,6.0,5.0,9.0,16.0,39.0,49.0,14.0,22.0,7.0,8.0,17.0,45.0,23.0,76.0,26.0,21.0,32.0,15.0,30.0,11.0,4.0,27.0,41.0,40.0,34.0,67.0
