,CES1P1_DEL,CDC73_AMP,MCEE_AMP,CREBBP_MUT,HLA-DRB6_AMP,GSTTP2_DEL,KALRN_MUT,EP300_MUT,ZNF705G_AMP,ZBTB20_AMP,KRTAP9-3_AMP,HLA-DRB1_AMP,ATM_MUT,SLC25A37_AMP,HLA-H_DEL,LGALS9C_DEL,CADM2_DEL,ADAM5_DEL,RABGAP1L_DEL,LOC390705_DEL,POM121L8P_DEL,GSTT1_DEL,PCDH15_MUT,LOC391322_DEL,SORL1_MUT,FMN2_AMP,RBFOX3_DEL,ADAM3A_DEL,NKAIN3_DEL,FLNC_MUT
31,4.0,16.0,0.0,9.0,5.0,3.0,7.0,14.0,1.0,57.0,17.0,13.0,15.0,2.0,21.0,23.0,42.0,19.0,278.0,100.0,20.0,11.0,25.0,12.0,52.0,6.0,30.0,18.0,26.0,41.0
80,0.0,14.0,1.0,13.0,3.0,5.0,22.0,6.0,18.0,42.0,19.0,15.0,53.0,2.0,58.0,4.0,9.0,21.0,484.0,210.0,45.0,49.0,33.0,48.0,120.0,11.0,24.0,30.0,37.0,35.0
129,4.0,17.0,0.0,13.0,3.0,10.0,5.0,19.0,1.0,47.0,12.0,15.0,8.0,9.0,7.0,16.0,2.0,67.0,181.0,62.0,23.0,37.0,11.0,36.0,81.0,6.0,34.0,91.0,35.0,28.0
178,0.0,5.0,1.0,14.0,2.0,11.0,3.0,10.0,7.0,17.0,18.0,8.0,44.0,12.0,22.0,19.0,23.0,88.0,601.0,127.0,41.0,27.0,21.0,26.0,85.0,6.0,24.0,163.0,46.0,28.0
227,7.0,15.0,1.0,17.0,19.0,4.0,14.0,25.0,2.0,18.0,3.0,35.0,16.0,0.0,10.0,107.0,26.0,12.0,24.0,87.0,31.0,22.0,57.0,23.0,120.0,6.0,42.0,20.0,73.0,37.0
276,11.0,3.0,0.0,34.0,4.0,26.0,7.0,18.0,2.0,16.0,8.0,20.0,29.0,5.0,49.0,28.0,6.0,37.0,1425.0,1699.0,21.0,95.0,65.0,96.0,98.0,1.0,17.0,64.0,54.0,137.0
325,11.0,7.0,0.0,6.0,37.0,9.0,3.0,29.0,26.0,57.0,4.0,142.0,13.0,16.0,8.0,2.0,5.0,32.0,95.0,76.0,10.0,21.0,58.0,20.0,66.0,1.0,45.0,50.0,56.0,31.0
374,2.0,9.0,13.0,56.0,19.0,0.0,8.0,16.0,7.0,59.0,29.0,48.0,45.0,14.0,15.0,36.0,4.0,18.0,378.0,92.0,28.0,5.0,12.0,6.0,79.0,1.0,11.0,34.0,74.0,25.0
423,0.0,4.0,2.0,8.0,6.0,12.0,11.0,5.0,3.0,39.0,16.0,15.0,9.0,7.0,41.0,25.0,10.0,13.0,227.0,116.0,18.0,56.0,33.0,55.0,155.0,1.0,27.0,17.0,26.0,35.0
472,0.0,4.0,1.0,8.0,9.0,24.0,7.0,6.0,2.0,130.0,23.0,61.0,17.0,5.0,14.0,21.0,3.0,20.0,399.0,355.0,116.0,102.0,15.0,101.0,212.0,11.0,26.0,28.0,22.0,71.0
521,1.0,4.0,2.0,8.0,18.0,11.0,0.0,14.0,23.0,12.0,22.0,61.0,16.0,43.0,13.0,80.0,56.0,106.0,9.0,15.0,17.0,30.0,19.0,29.0,21.0,5.0,36.0,175.0,20.0,10.0
570,7.0,1.0,8.0,4.0,2.0,5.0,9.0,0.0,16.0,23.0,3.0,17.0,12.0,83.0,69.0,190.0,32.0,36.0,6.0,72.0,19.0,14.0,13.0,15.0,20.0,10.0,49.0,35.0,26.0,34.0
619,10.0,1.0,2.0,9.0,5.0,6.0,13.0,3.0,14.0,24.0,37.0,4.0,23.0,50.0,0.0,30.0,20.0,243.0,8.0,28.0,25.0,16.0,26.0,17.0,32.0,11.0,92.0,463.0,39.0,18.0
668,2.0,1.0,0.0,6.0,33.0,7.0,10.0,4.0,15.0,8.0,9.0,76.0,5.0,21.0,3.0,19.0,52.0,25.0,18.0,55.0,36.0,13.0,24.0,14.0,54.0,12.0,40.0,37.0,57.0,26.0
717,25.0,6.0,12.0,13.0,2.0,3.0,0.0,28.0,44.0,5.0,15.0,22.0,11.0,16.0,55.0,1584.0,52.0,42.0,1.0,8.0,19.0,10.0,51.0,9.0,53.0,4.0,70.0,64.0,63.0,31.0
