,GABA,pantothenate,beta-alanine,niacinamide,adenosine,DHAP/glyceraldehyde 3P,valerylcarnitine,cis/trans-hydroxyproline,inosine,putrescine,alpha-glycerophosphocholine,C16:0 LPE,homocysteine,C18:0 LPC,creatine,N-carbamoyl-beta-alanine,C18:0 LPE,carnitine,SDMA/ADMA,cotinine,creatinine,serotonin,5-HIAA,glutamine,C22:6 LPC,C22:6 LPE,C22:6 CE,hypoxanthine,2-deoxyadenosine,cytidine
24,0.0,1.0,2.0,3.0,8.0,4.0,5.0,11.0,7.0,19.0,6.0,34.0,10.0,20.0,9.0,21.0,29.0,28.0,22.0,23.0,51.0,27.0,54.0,44.0,26.0,18.0,41.0,31.0,16.0,14.0
73,1.0,5.0,0.0,3.0,6.0,2.0,9.0,7.0,8.0,25.0,16.0,27.0,4.0,20.0,17.0,15.0,12.0,26.0,14.0,22.0,18.0,13.0,45.0,30.0,28.0,10.0,21.0,40.0,48.0,33.0
122,0.0,1.0,2.0,5.0,6.0,4.0,3.0,12.0,7.0,22.0,8.0,10.0,9.0,35.0,21.0,17.0,24.0,19.0,48.0,18.0,46.0,14.0,13.0,27.0,43.0,25.0,29.0,34.0,53.0,30.0
171,1.0,0.0,2.0,4.0,9.0,3.0,6.0,7.0,5.0,15.0,8.0,29.0,11.0,10.0,18.0,32.0,36.0,23.0,57.0,30.0,48.0,46.0,35.0,13.0,28.0,33.0,24.0,14.0,20.0,19.0
220,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,11.0,47.0,9.0,26.0,13.0,12.0,25.0,14.0,27.0,21.0,51.0,20.0,18.0,56.0,48.0,35.0,24.0,22.0,41.0,10.0,17.0,30.0
269,0.0,3.0,2.0,1.0,6.0,4.0,10.0,5.0,7.0,26.0,18.0,14.0,12.0,9.0,17.0,20.0,37.0,15.0,54.0,13.0,16.0,23.0,24.0,11.0,25.0,19.0,39.0,33.0,51.0,30.0
318,1.0,2.0,0.0,3.0,4.0,5.0,6.0,8.0,12.0,19.0,7.0,23.0,15.0,9.0,16.0,13.0,21.0,20.0,22.0,26.0,51.0,24.0,53.0,28.0,39.0,18.0,30.0,35.0,52.0,32.0
367,2.0,4.0,0.0,3.0,6.0,1.0,11.0,24.0,7.0,17.0,5.0,39.0,8.0,20.0,15.0,19.0,10.0,14.0,52.0,23.0,53.0,21.0,22.0,12.0,13.0,26.0,30.0,35.0,49.0,31.0
416,0.0,4.0,1.0,3.0,2.0,5.0,6.0,7.0,35.0,10.0,8.0,22.0,16.0,12.0,15.0,48.0,20.0,21.0,51.0,18.0,24.0,14.0,13.0,26.0,38.0,19.0,28.0,9.0,54.0,31.0
465,0.0,1.0,2.0,4.0,7.0,3.0,22.0,16.0,5.0,50.0,6.0,23.0,11.0,25.0,14.0,8.0,20.0,21.0,44.0,18.0,24.0,13.0,12.0,26.0,43.0,17.0,28.0,9.0,15.0,31.0
