,hsa-miR-105,hsa-miR-1248,hsa-miR-34a,hsa-miR-541,hsa-miR-148a,hsa-miR-888,hsa-miR-206,hsa-miR-1236,hsa-miR-26a,hsa-miR-136,hsa-miR-223,hsa-miR-616,hsa-miR-877,hsa-miR-142-5p,hsa-miR-1262,hsa-miR-1256,hsa-miR-190,hsa-miR-652,hsa-miR-609,hsa-miR-323-5p,hsa-miR-513a-3p,hsa-miR-553,hsa-miR-623,hsa-miR-143,hsa-miR-375,hsa-miR-550,hsa-miR-412,hsa-miR-924,hsa-miR-103,hsa-miR-1297
2122,11.0,3.0,2.0,6.0,15.0,4.0,0.0,21.0,1.0,5.0,16.0,9.0,19.0,82.0,91.0,44.0,7.0,23.0,24.0,17.0,41.0,51.0,111.0,54.0,76.0,14.0,25.0,113.0,86.0,42.0
2171,8.0,3.0,2.0,7.0,9.0,0.0,6.0,31.0,5.0,24.0,13.0,4.0,15.0,1.0,65.0,17.0,70.0,56.0,22.0,61.0,60.0,25.0,21.0,26.0,19.0,39.0,18.0,118.0,80.0,78.0
2220,3.0,11.0,5.0,0.0,32.0,6.0,1.0,10.0,2.0,61.0,17.0,21.0,8.0,12.0,162.0,34.0,45.0,25.0,19.0,28.0,13.0,24.0,43.0,55.0,59.0,7.0,30.0,87.0,67.0,36.0
2269,5.0,1.0,8.0,3.0,11.0,6.0,4.0,9.0,0.0,23.0,12.0,25.0,2.0,24.0,90.0,18.0,49.0,67.0,16.0,94.0,28.0,55.0,31.0,29.0,52.0,19.0,37.0,87.0,34.0,46.0
2318,4.0,9.0,3.0,0.0,19.0,30.0,2.0,16.0,26.0,25.0,18.0,17.0,7.0,8.0,109.0,34.0,5.0,84.0,28.0,51.0,14.0,99.0,39.0,40.0,147.0,1.0,133.0,33.0,148.0,50.0
2367,5.0,13.0,9.0,14.0,2.0,0.0,4.0,17.0,7.0,98.0,19.0,10.0,1.0,3.0,145.0,108.0,11.0,49.0,24.0,96.0,22.0,53.0,60.0,29.0,8.0,6.0,32.0,37.0,75.0,45.0
2416,3.0,5.0,4.0,1.0,19.0,0.0,11.0,14.0,2.0,17.0,27.0,25.0,32.0,7.0,29.0,22.0,44.0,62.0,9.0,60.0,20.0,52.0,53.0,61.0,41.0,79.0,46.0,132.0,67.0,24.0
2465,0.0,7.0,2.0,16.0,4.0,1.0,51.0,29.0,6.0,12.0,84.0,26.0,89.0,40.0,15.0,32.0,43.0,41.0,50.0,23.0,31.0,10.0,99.0,9.0,3.0,11.0,92.0,19.0,27.0,37.0
2514,0.0,2.0,44.0,1.0,27.0,8.0,12.0,14.0,30.0,19.0,35.0,25.0,64.0,7.0,11.0,3.0,21.0,65.0,58.0,40.0,16.0,10.0,28.0,20.0,23.0,5.0,116.0,24.0,26.0,63.0
2563,1.0,8.0,58.0,12.0,3.0,5.0,83.0,2.0,17.0,21.0,6.0,34.0,50.0,4.0,11.0,7.0,24.0,30.0,14.0,44.0,16.0,10.0,48.0,268.0,13.0,18.0,249.0,81.0,28.0,65.0
2612,0.0,2.0,5.0,16.0,11.0,3.0,36.0,9.0,31.0,141.0,8.0,15.0,40.0,1.0,17.0,21.0,91.0,14.0,19.0,80.0,23.0,4.0,35.0,32.0,6.0,7.0,109.0,39.0,51.0,67.0
2661,0.0,2.0,19.0,11.0,1.0,9.0,12.0,18.0,3.0,21.0,17.0,29.0,98.0,4.0,10.0,8.0,38.0,20.0,94.0,106.0,16.0,7.0,22.0,33.0,14.0,6.0,261.0,37.0,36.0,62.0
