,oxalate,GABA,C16:0 LPE,niacinamide,C22:6 LPE,cotinine,3-phosphoglycerate,adenosine,pyroglutamic acid,5-HIAA,serotonin,C56:5 TAG,butyrylcarnitine/isobutyrylcarnitine,sarcosine,C34:4 PC,beta-alanine,C18:0 LPC,2-deoxyadenosine,alpha-glycerophosphate,C18:0 LPE,isocitrate,C22:6 LPC,malondialdehyde,C36:1 DAG,UMP,inositol,1-methylnicotinamide,pantothenate,dCMP,inosine
1791,14.0,1.0,7.0,10.0,5.0,46.0,2.0,15.0,8.0,23.0,22.0,11.0,16.0,21.0,4.0,0.0,39.0,9.0,37.0,6.0,38.0,24.0,28.0,43.0,30.0,54.0,44.0,29.0,32.0,57.0
1840,52.0,2.0,26.0,19.0,9.0,35.0,40.0,3.0,14.0,61.0,62.0,15.0,13.0,29.0,31.0,4.0,30.0,8.0,24.0,7.0,43.0,0.0,20.0,10.0,54.0,58.0,21.0,6.0,46.0,50.0
1889,29.0,4.0,11.0,1.0,18.0,2.0,23.0,15.0,0.0,21.0,3.0,56.0,7.0,39.0,19.0,46.0,22.0,14.0,9.0,17.0,25.0,40.0,12.0,44.0,61.0,8.0,10.0,63.0,33.0,27.0
1938,3.0,2.0,0.0,9.0,21.0,63.0,15.0,23.0,1.0,10.0,6.0,55.0,18.0,37.0,22.0,38.0,19.0,4.0,26.0,20.0,29.0,7.0,31.0,44.0,32.0,51.0,8.0,61.0,40.0,28.0
1987,9.0,4.0,1.0,15.0,25.0,3.0,2.0,35.0,14.0,21.0,5.0,18.0,8.0,30.0,34.0,31.0,39.0,29.0,11.0,12.0,19.0,40.0,7.0,28.0,0.0,60.0,22.0,53.0,27.0,51.0
2036,29.0,3.0,11.0,6.0,19.0,9.0,1.0,21.0,63.0,14.0,15.0,4.0,57.0,12.0,18.0,45.0,0.0,61.0,34.0,25.0,31.0,43.0,33.0,16.0,65.0,2.0,23.0,8.0,39.0,49.0
2085,29.0,7.0,27.0,4.0,1.0,22.0,15.0,19.0,18.0,10.0,2.0,0.0,40.0,41.0,39.0,43.0,23.0,32.0,24.0,12.0,28.0,26.0,58.0,33.0,11.0,3.0,34.0,53.0,6.0,30.0
2134,0.0,2.0,8.0,21.0,3.0,31.0,10.0,65.0,32.0,14.0,6.0,5.0,36.0,38.0,4.0,25.0,26.0,1.0,22.0,9.0,44.0,28.0,7.0,11.0,27.0,60.0,15.0,52.0,29.0,13.0
2183,8.0,1.0,0.0,12.0,9.0,18.0,2.0,27.0,37.0,5.0,23.0,62.0,40.0,10.0,11.0,42.0,4.0,24.0,45.0,7.0,13.0,39.0,58.0,32.0,6.0,57.0,15.0,52.0,33.0,29.0
2232,0.0,1.0,2.0,5.0,27.0,4.0,3.0,23.0,40.0,7.0,16.0,6.0,41.0,22.0,8.0,39.0,35.0,10.0,12.0,29.0,45.0,30.0,20.0,17.0,28.0,21.0,38.0,50.0,47.0,11.0
