,CORO2A,TSTD1,C1orf186,SLFN13,FZD6,AKR1E2,SYTL1,ZBED6CL,PLAGL1,ZNF185,OCIAD2,GALNT14,CASP10,PRSS16,MLK4,HNF1B,RAB3D,RP11-390F4.3,ADRB2,STXBP2,ELOVL7,RP11-973H7.3,XDH,ZDHHC12,EVPL,TNK1,TBC1D2,B3GNT4,S100A2,DENND2C
941,0.0,2.0,27.0,36.0,10.0,1.0,13.0,46.0,14.0,51.0,12.0,30.0,5.0,22.0,180.0,17.0,9.0,62.0,37.0,43.0,53.0,16.0,7.0,20.0,69.0,18.0,28.0,66.0,159.0,15.0
990,0.0,3.0,5.0,1.0,15.0,2.0,23.0,27.0,24.0,14.0,22.0,40.0,35.0,64.0,12.0,6.0,49.0,8.0,13.0,89.0,10.0,4.0,31.0,66.0,18.0,67.0,88.0,43.0,136.0,56.0
1039,0.0,1.0,7.0,3.0,20.0,4.0,37.0,5.0,27.0,9.0,11.0,52.0,19.0,51.0,29.0,2.0,35.0,6.0,15.0,61.0,34.0,8.0,46.0,24.0,86.0,28.0,66.0,78.0,23.0,39.0
1088,0.0,2.0,1.0,11.0,21.0,29.0,20.0,55.0,5.0,7.0,133.0,243.0,18.0,44.0,26.0,6.0,10.0,17.0,14.0,33.0,13.0,4.0,19.0,41.0,56.0,80.0,91.0,54.0,73.0,31.0
1137,0.0,1.0,5.0,2.0,36.0,8.0,11.0,9.0,7.0,22.0,19.0,40.0,26.0,76.0,32.0,3.0,16.0,4.0,23.0,41.0,27.0,6.0,30.0,21.0,120.0,82.0,52.0,73.0,34.0,121.0
1186,1.0,3.0,6.0,0.0,21.0,11.0,4.0,62.0,20.0,2.0,64.0,94.0,36.0,31.0,30.0,9.0,8.0,49.0,69.0,23.0,39.0,16.0,13.0,52.0,67.0,72.0,68.0,629.0,78.0,138.0
1235,1.0,5.0,15.0,0.0,19.0,13.0,48.0,30.0,18.0,39.0,24.0,25.0,29.0,35.0,20.0,2.0,14.0,3.0,22.0,28.0,7.0,10.0,17.0,33.0,65.0,104.0,21.0,45.0,95.0,77.0
1284,0.0,5.0,6.0,2.0,27.0,17.0,21.0,28.0,1.0,70.0,9.0,61.0,18.0,100.0,19.0,74.0,118.0,3.0,15.0,49.0,51.0,12.0,60.0,114.0,147.0,10.0,159.0,54.0,144.0,968.0
1333,0.0,1.0,6.0,7.0,5.0,12.0,4.0,91.0,147.0,14.0,10.0,8.0,25.0,108.0,41.0,3.0,29.0,9.0,42.0,78.0,24.0,18.0,2.0,104.0,51.0,46.0,153.0,77.0,22.0,69.0
1382,0.0,5.0,2.0,1.0,4.0,16.0,43.0,7.0,17.0,39.0,74.0,40.0,13.0,53.0,25.0,3.0,32.0,63.0,57.0,62.0,10.0,21.0,56.0,30.0,109.0,81.0,112.0,76.0,123.0,19.0
1431,0.0,1.0,6.0,14.0,16.0,12.0,2.0,21.0,5.0,83.0,40.0,139.0,32.0,43.0,39.0,9.0,22.0,3.0,28.0,10.0,42.0,38.0,194.0,30.0,23.0,26.0,19.0,60.0,64.0,49.0
1480,1.0,3.0,2.0,30.0,4.0,28.0,51.0,21.0,5.0,11.0,7.0,0.0,33.0,17.0,39.0,8.0,20.0,14.0,47.0,58.0,234.0,27.0,15.0,12.0,31.0,10.0,165.0,150.0,25.0,57.0
1529,0.0,9.0,1.0,68.0,5.0,11.0,86.0,61.0,15.0,4.0,38.0,2.0,16.0,91.0,10.0,27.0,3.0,74.0,7.0,117.0,199.0,23.0,30.0,41.0,615.0,44.0,37.0,64.0,34.0,45.0
1578,1.0,0.0,4.0,11.0,28.0,2.0,20.0,16.0,9.0,25.0,5.0,3.0,15.0,7.0,134.0,14.0,94.0,8.0,75.0,205.0,96.0,22.0,76.0,47.0,98.0,6.0,290.0,46.0,27.0,29.0
1627,0.0,1.0,3.0,9.0,6.0,2.0,19.0,7.0,8.0,16.0,15.0,5.0,26.0,18.0,24.0,11.0,27.0,4.0,13.0,63.0,113.0,38.0,31.0,33.0,109.0,17.0,89.0,21.0,30.0,25.0
1676,0.0,1.0,5.0,23.0,10.0,3.0,91.0,7.0,49.0,9.0,6.0,2.0,19.0,65.0,70.0,22.0,16.0,11.0,4.0,37.0,137.0,111.0,15.0,32.0,145.0,38.0,31.0,51.0,12.0,13.0
1725,0.0,6.0,2.0,8.0,3.0,10.0,72.0,1.0,68.0,7.0,4.0,36.0,19.0,100.0,22.0,9.0,18.0,14.0,5.0,76.0,157.0,16.0,101.0,21.0,66.0,25.0,78.0,42.0,15.0,26.0
1774,2.0,1.0,0.0,4.0,13.0,11.0,21.0,3.0,7.0,48.0,36.0,32.0,26.0,8.0,61.0,10.0,120.0,5.0,17.0,12.0,79.0,57.0,293.0,6.0,35.0,16.0,67.0,33.0,77.0,47.0
1823,0.0,3.0,1.0,6.0,4.0,18.0,24.0,7.0,16.0,11.0,9.0,2.0,17.0,10.0,21.0,22.0,14.0,42.0,5.0,64.0,177.0,38.0,35.0,68.0,61.0,36.0,40.0,90.0,8.0,95.0
1872,0.0,11.0,1.0,15.0,2.0,13.0,46.0,71.0,48.0,30.0,24.0,7.0,23.0,17.0,39.0,5.0,16.0,6.0,4.0,89.0,45.0,27.0,57.0,40.0,62.0,109.0,123.0,75.0,3.0,14.0
1921,0.0,19.0,4.0,2.0,6.0,3.0,85.0,1.0,46.0,33.0,12.0,7.0,8.0,10.0,15.0,31.0,25.0,14.0,13.0,40.0,168.0,72.0,148.0,39.0,117.0,36.0,44.0,48.0,28.0,23.0
1970,0.0,2.0,5.0,4.0,1.0,13.0,68.0,3.0,131.0,166.0,11.0,119.0,9.0,92.0,48.0,112.0,124.0,82.0,60.0,56.0,8.0,122.0,240.0,91.0,30.0,44.0,23.0,16.0,139.0,83.0
2019,0.0,1.0,6.0,3.0,2.0,9.0,24.0,4.0,78.0,21.0,11.0,124.0,5.0,36.0,16.0,96.0,67.0,59.0,49.0,7.0,139.0,37.0,278.0,26.0,38.0,76.0,25.0,106.0,93.0,29.0
2068,0.0,2.0,7.0,1.0,3.0,8.0,25.0,4.0,91.0,42.0,10.0,116.0,13.0,26.0,27.0,54.0,84.0,15.0,62.0,9.0,21.0,71.0,296.0,33.0,11.0,36.0,29.0,43.0,69.0,31.0
2117,0.0,1.0,14.0,3.0,4.0,16.0,17.0,2.0,103.0,10.0,7.0,64.0,13.0,22.0,83.0,60.0,69.0,15.0,62.0,5.0,52.0,38.0,197.0,73.0,31.0,24.0,26.0,80.0,194.0,98.0
2166,0.0,1.0,10.0,11.0,3.0,38.0,9.0,4.0,99.0,27.0,20.0,149.0,16.0,42.0,22.0,48.0,79.0,64.0,111.0,6.0,15.0,51.0,61.0,39.0,146.0,31.0,14.0,35.0,106.0,8.0
