,VAV1,Akt_pS473,Chk1_pS345,alpha-Catenin,Chk1,Stathmin,Claudin-7,HER3,Heregulin,SF2,YAP_pS127,Bax,Transglutaminase,Lck,p62 Lck ligand,VHL,MAPK_pT202_Y204,beta-Catenin,CD49b,Raptor,MSH6,Beclin,G6PD,ACC_pS79,RAD51,GATA3,XBP1,Chk2,GSK3_pS9,Bcl-2
0,0.0,3.0,24.0,8.0,4.0,1.0,87.0,11.0,10.0,14.0,19.0,32.0,15.0,62.0,66.0,85.0,2.0,74.0,89.0,26.0,29.0,25.0,12.0,23.0,13.0,71.0,27.0,94.0,128.0,48.0
49,1.0,0.0,9.0,11.0,2.0,7.0,34.0,36.0,4.0,57.0,72.0,25.0,16.0,8.0,12.0,15.0,6.0,49.0,5.0,3.0,28.0,62.0,26.0,17.0,14.0,97.0,53.0,44.0,156.0,31.0
98,2.0,0.0,11.0,4.0,21.0,1.0,45.0,29.0,8.0,47.0,17.0,120.0,9.0,68.0,3.0,15.0,35.0,22.0,12.0,23.0,64.0,80.0,5.0,28.0,26.0,48.0,16.0,10.0,51.0,75.0
147,12.0,0.0,36.0,13.0,1.0,6.0,28.0,25.0,3.0,4.0,16.0,35.0,89.0,78.0,11.0,14.0,21.0,24.0,31.0,7.0,2.0,148.0,5.0,55.0,42.0,30.0,68.0,72.0,134.0,157.0
196,2.0,1.0,4.0,11.0,0.0,14.0,33.0,12.0,7.0,10.0,8.0,24.0,16.0,21.0,3.0,5.0,48.0,74.0,28.0,6.0,27.0,150.0,15.0,41.0,40.0,19.0,39.0,49.0,34.0,60.0
245,1.0,0.0,11.0,28.0,3.0,19.0,22.0,16.0,4.0,49.0,17.0,13.0,124.0,26.0,14.0,34.0,6.0,128.0,8.0,5.0,10.0,102.0,7.0,47.0,33.0,38.0,2.0,63.0,110.0,109.0
294,18.0,0.0,12.0,4.0,8.0,9.0,21.0,46.0,13.0,3.0,17.0,39.0,28.0,15.0,6.0,22.0,1.0,19.0,7.0,2.0,5.0,114.0,31.0,77.0,33.0,30.0,10.0,96.0,34.0,74.0
343,5.0,1.0,19.0,3.0,0.0,56.0,24.0,31.0,6.0,11.0,46.0,9.0,17.0,36.0,18.0,4.0,10.0,37.0,42.0,15.0,7.0,20.0,12.0,105.0,14.0,22.0,8.0,51.0,13.0,164.0
392,0.0,8.0,10.0,3.0,4.0,9.0,50.0,11.0,35.0,6.0,2.0,14.0,20.0,97.0,1.0,26.0,24.0,17.0,150.0,22.0,16.0,15.0,5.0,117.0,79.0,32.0,18.0,13.0,71.0,111.0
441,7.0,0.0,3.0,22.0,41.0,4.0,61.0,19.0,25.0,50.0,10.0,60.0,17.0,110.0,57.0,8.0,1.0,76.0,48.0,2.0,32.0,89.0,31.0,13.0,55.0,20.0,5.0,21.0,18.0,121.0
490,0.0,1.0,6.0,2.0,41.0,19.0,16.0,7.0,75.0,8.0,128.0,12.0,29.0,3.0,73.0,18.0,28.0,39.0,10.0,133.0,34.0,5.0,11.0,20.0,15.0,50.0,89.0,4.0,17.0,36.0
539,0.0,5.0,4.0,8.0,83.0,11.0,26.0,1.0,10.0,47.0,9.0,3.0,99.0,2.0,98.0,21.0,18.0,38.0,25.0,19.0,17.0,20.0,66.0,6.0,29.0,105.0,36.0,12.0,31.0,39.0
588,3.0,0.0,1.0,2.0,36.0,15.0,9.0,19.0,146.0,132.0,127.0,20.0,6.0,10.0,29.0,67.0,4.0,17.0,14.0,7.0,69.0,35.0,23.0,32.0,21.0,38.0,18.0,5.0,61.0,140.0
637,0.0,13.0,1.0,2.0,30.0,40.0,10.0,4.0,27.0,26.0,6.0,11.0,16.0,18.0,9.0,58.0,22.0,34.0,3.0,54.0,76.0,20.0,17.0,39.0,12.0,28.0,78.0,7.0,70.0,42.0
686,7.0,4.0,0.0,5.0,30.0,2.0,24.0,8.0,36.0,26.0,11.0,3.0,17.0,12.0,9.0,66.0,1.0,23.0,21.0,45.0,14.0,38.0,91.0,62.0,13.0,18.0,34.0,10.0,6.0,96.0
735,3.0,1.0,4.0,0.0,21.0,11.0,5.0,7.0,84.0,33.0,10.0,9.0,25.0,8.0,14.0,12.0,34.0,6.0,2.0,79.0,130.0,24.0,30.0,22.0,38.0,64.0,16.0,32.0,159.0,66.0
784,0.0,9.0,8.0,40.0,14.0,3.0,25.0,4.0,96.0,15.0,2.0,16.0,121.0,18.0,29.0,1.0,21.0,57.0,11.0,37.0,39.0,17.0,12.0,6.0,20.0,76.0,22.0,13.0,33.0,82.0
833,0.0,1.0,5.0,8.0,78.0,7.0,3.0,6.0,103.0,45.0,12.0,71.0,20.0,4.0,56.0,13.0,9.0,82.0,10.0,54.0,107.0,17.0,28.0,21.0,99.0,14.0,52.0,63.0,32.0,53.0
882,0.0,23.0,1.0,8.0,60.0,56.0,20.0,6.0,57.0,126.0,40.0,3.0,5.0,17.0,7.0,12.0,24.0,87.0,38.0,61.0,94.0,2.0,39.0,28.0,100.0,15.0,101.0,16.0,137.0,27.0
