,SIRPB1_AMP,KIAA1217_DEL,FMN2_AMP,ZBTB20_AMP,BTNL3_DEL,ZNF705G_AMP,DOCK10_AMP,BMPR2_AMP,TAG_DEL,NRXN3_DEL,BCAS1_AMP,CDC73_AMP,GSTTP1_AMP,BRAF_MUT,UNC13C_MUT,SORD_AMP,DPP6_DEL,MST1P9_AMP,PTCH1_AMP,MGAM_DEL,PCCB_DEL,AMY2A_DEL,EP300_MUT,MRC1_AMP,KIR2DL4_AMP,BRAF.V600E_MUT,FBXL7_DEL,BCL11A_MUT,NRXN1_DEL,DAB1_DEL
3559,1.0,8.0,0.0,4.0,3.0,10.0,5.0,2.0,102.0,17.0,6.0,41.0,16.0,13.0,28.0,23.0,36.0,21.0,153.0,7.0,25.0,29.0,24.0,12.0,30.0,32.0,19.0,34.0,27.0,9.0
3608,9.0,8.0,0.0,7.0,2.0,3.0,4.0,1.0,30.0,5.0,10.0,40.0,11.0,6.0,17.0,33.0,203.0,13.0,306.0,25.0,14.0,23.0,116.0,38.0,19.0,27.0,95.0,36.0,18.0,15.0
3657,15.0,4.0,2.0,3.0,26.0,8.0,27.0,0.0,10.0,5.0,9.0,55.0,14.0,18.0,13.0,49.0,21.0,24.0,43.0,11.0,28.0,88.0,37.0,25.0,1.0,32.0,12.0,38.0,40.0,16.0
3706,0.0,15.0,2.0,3.0,1.0,6.0,9.0,4.0,29.0,8.0,12.0,24.0,7.0,20.0,17.0,14.0,79.0,22.0,144.0,13.0,53.0,30.0,40.0,106.0,5.0,83.0,19.0,36.0,42.0,11.0
3755,4.0,1.0,6.0,16.0,0.0,3.0,11.0,2.0,192.0,7.0,8.0,340.0,34.0,24.0,29.0,5.0,38.0,22.0,49.0,18.0,152.0,35.0,15.0,151.0,12.0,27.0,9.0,26.0,45.0,37.0
3804,9.0,5.0,0.0,4.0,8.0,3.0,7.0,2.0,29.0,12.0,44.0,10.0,19.0,18.0,6.0,1.0,199.0,13.0,54.0,37.0,39.0,27.0,33.0,31.0,20.0,43.0,21.0,52.0,35.0,14.0
3853,5.0,4.0,1.0,12.0,0.0,9.0,7.0,2.0,13.0,18.0,8.0,23.0,28.0,20.0,14.0,3.0,11.0,6.0,42.0,17.0,16.0,47.0,36.0,98.0,19.0,89.0,21.0,63.0,71.0,10.0
3902,4.0,2.0,0.0,8.0,1.0,7.0,13.0,10.0,391.0,5.0,15.0,103.0,23.0,81.0,85.0,14.0,31.0,24.0,68.0,29.0,17.0,32.0,26.0,22.0,9.0,84.0,45.0,48.0,27.0,3.0
3951,0.0,1.0,3.0,2.0,17.0,4.0,12.0,19.0,66.0,25.0,11.0,18.0,23.0,6.0,20.0,16.0,26.0,14.0,8.0,24.0,30.0,46.0,1302.0,39.0,186.0,7.0,42.0,68.0,87.0,432.0
4000,0.0,2.0,6.0,1.0,25.0,8.0,21.0,7.0,20.0,145.0,22.0,5.0,119.0,4.0,15.0,3.0,115.0,16.0,9.0,46.0,18.0,44.0,200.0,43.0,101.0,10.0,104.0,633.0,69.0,23.0
4049,0.0,1.0,7.0,10.0,20.0,2.0,3.0,22.0,5.0,8.0,16.0,12.0,6.0,19.0,108.0,21.0,57.0,85.0,14.0,23.0,27.0,78.0,80.0,95.0,449.0,38.0,17.0,39.0,44.0,32.0
4098,0.0,2.0,1.0,3.0,29.0,8.0,5.0,10.0,31.0,12.0,14.0,15.0,18.0,4.0,21.0,11.0,295.0,16.0,9.0,24.0,37.0,40.0,265.0,25.0,1020.0,13.0,39.0,75.0,19.0,23.0
4147,0.0,12.0,11.0,5.0,7.0,1.0,10.0,13.0,28.0,18.0,9.0,6.0,15.0,2.0,16.0,24.0,128.0,20.0,19.0,23.0,33.0,45.0,516.0,39.0,69.0,27.0,34.0,53.0,36.0,31.0
4196,0.0,20.0,2.0,6.0,4.0,1.0,3.0,19.0,17.0,9.0,14.0,7.0,12.0,21.0,41.0,8.0,329.0,10.0,5.0,11.0,56.0,130.0,44.0,38.0,111.0,65.0,31.0,55.0,60.0,30.0
4245,0.0,1.0,20.0,5.0,97.0,2.0,7.0,43.0,53.0,4.0,12.0,6.0,9.0,3.0,16.0,62.0,842.0,11.0,17.0,28.0,18.0,32.0,160.0,49.0,103.0,15.0,42.0,30.0,45.0,116.0
4294,0.0,2.0,1.0,3.0,7.0,5.0,18.0,11.0,32.0,9.0,16.0,26.0,14.0,4.0,6.0,62.0,1705.0,22.0,8.0,28.0,13.0,83.0,782.0,23.0,44.0,19.0,61.0,72.0,24.0,33.0
4343,0.0,2.0,1.0,3.0,18.0,4.0,10.0,6.0,34.0,5.0,26.0,8.0,13.0,7.0,65.0,72.0,25.0,232.0,9.0,14.0,31.0,98.0,32.0,59.0,116.0,11.0,44.0,36.0,29.0,35.0
4392,0.0,4.0,5.0,2.0,21.0,1.0,14.0,15.0,54.0,9.0,6.0,11.0,8.0,3.0,75.0,25.0,36.0,77.0,10.0,16.0,31.0,70.0,34.0,28.0,655.0,7.0,69.0,29.0,13.0,84.0
4441,1.0,9.0,14.0,6.0,4.0,25.0,49.0,2.0,3.0,84.0,12.0,7.0,83.0,11.0,34.0,20.0,0.0,16.0,42.0,5.0,35.0,44.0,182.0,27.0,15.0,13.0,36.0,87.0,1299.0,311.0
4490,0.0,30.0,20.0,3.0,4.0,43.0,37.0,1.0,2.0,26.0,5.0,11.0,119.0,142.0,67.0,7.0,10.0,12.0,94.0,6.0,317.0,378.0,52.0,63.0,19.0,83.0,15.0,27.0,178.0,114.0
4539,0.0,7.0,3.0,1.0,44.0,20.0,97.0,6.0,5.0,22.0,8.0,4.0,265.0,30.0,21.0,2.0,10.0,12.0,9.0,34.0,11.0,36.0,107.0,15.0,73.0,27.0,728.0,95.0,12202.0,699.0
4588,3.0,18.0,11.0,1.0,5.0,22.0,57.0,0.0,10.0,19.0,4.0,14.0,121.0,50.0,21.0,2.0,13.0,45.0,68.0,8.0,9.0,41.0,58.0,31.0,20.0,37.0,24.0,123.0,570.0,180.0
4637,0.0,3.0,19.0,4.0,7.0,25.0,23.0,1.0,5.0,33.0,6.0,14.0,143.0,22.0,21.0,2.0,10.0,142.0,31.0,9.0,30.0,36.0,1110.0,227.0,59.0,12.0,20.0,343.0,596.0,175.0
4686,6.0,4.0,8.0,1.0,5.0,13.0,49.0,0.0,163.0,14.0,22.0,2.0,147.0,60.0,25.0,3.0,67.0,16.0,30.0,28.0,17.0,48.0,364.0,7.0,11.0,37.0,80.0,110.0,1075.0,165.0
4735,5.0,18.0,1.0,19.0,4.0,288.0,39.0,3.0,0.0,50.0,7.0,6.0,27.0,358.0,57.0,2.0,23.0,44.0,14.0,10.0,28.0,37.0,41.0,43.0,103.0,145.0,11.0,189.0,392.0,64.0
4784,1.0,4.0,9.0,6.0,5.0,36.0,26.0,0.0,8.0,24.0,2.0,12.0,103.0,93.0,80.0,3.0,10.0,13.0,33.0,11.0,25.0,78.0,176.0,37.0,21.0,44.0,15.0,56.0,8799.0,82.0
4833,0.0,22.0,11.0,1.0,4.0,12.0,24.0,3.0,5.0,55.0,8.0,7.0,25.0,118.0,41.0,2.0,6.0,49.0,35.0,13.0,39.0,48.0,44.0,17.0,27.0,40.0,621.0,147.0,853.0,1284.0
4882,3.0,20.0,32.0,6.0,7.0,27.0,22.0,1.0,0.0,31.0,13.0,8.0,47.0,161.0,26.0,2.0,16.0,41.0,25.0,14.0,17.0,34.0,155.0,35.0,55.0,54.0,42.0,57.0,504.0,316.0
