,Chk1,Lck,4E-BP1,Stathmin,Caspase-7_cleavedD198,MSH6,Src_pY416,MDMX_MDM4(BetIHC-00108),PTEN,FRA1,GAPDH,VAV1,PDCD4,RAD51,eEF2,4E-BP1_pT37_T46,p53,ETS-1,Beclin,Rb_pS807_S811,PEA15_pS116,p70S6K_pT389,p90RSK_pT359_S363,PAI-1,Paxillin,PDK1_pS241,p38_MAPK,p27,p27_pT157,p38_pT180_Y182
3,1.0,7.0,2.0,0.0,5.0,4.0,3.0,9.0,12.0,13.0,17.0,8.0,11.0,18.0,6.0,103.0,10.0,19.0,90.0,23.0,15.0,30.0,29.0,27.0,28.0,60.0,44.0,34.0,33.0,31.0
52,2.0,3.0,9.0,0.0,1.0,6.0,4.0,7.0,17.0,118.0,12.0,11.0,29.0,69.0,13.0,23.0,16.0,5.0,94.0,10.0,8.0,46.0,25.0,27.0,32.0,28.0,35.0,36.0,47.0,34.0
101,3.0,6.0,2.0,0.0,1.0,8.0,4.0,10.0,11.0,19.0,13.0,7.0,23.0,69.0,9.0,14.0,5.0,18.0,22.0,20.0,12.0,29.0,26.0,27.0,30.0,25.0,32.0,45.0,33.0,44.0
150,3.0,4.0,7.0,2.0,19.0,8.0,0.0,14.0,9.0,5.0,26.0,1.0,17.0,11.0,12.0,22.0,27.0,15.0,95.0,6.0,24.0,18.0,28.0,32.0,31.0,29.0,34.0,45.0,35.0,44.0
199,6.0,12.0,1.0,0.0,2.0,5.0,3.0,7.0,19.0,8.0,18.0,15.0,10.0,21.0,9.0,11.0,4.0,17.0,13.0,16.0,14.0,26.0,30.0,31.0,27.0,28.0,33.0,35.0,34.0,44.0
248,3.0,8.0,4.0,0.0,2.0,6.0,1.0,5.0,10.0,20.0,16.0,7.0,9.0,15.0,21.0,23.0,14.0,13.0,91.0,12.0,11.0,29.0,27.0,28.0,30.0,62.0,45.0,34.0,33.0,31.0
297,1.0,11.0,0.0,3.0,6.0,8.0,2.0,5.0,10.0,22.0,15.0,7.0,14.0,19.0,116.0,105.0,4.0,12.0,91.0,16.0,13.0,27.0,26.0,25.0,24.0,35.0,42.0,31.0,30.0,23.0
346,0.0,9.0,4.0,1.0,5.0,6.0,3.0,2.0,10.0,15.0,14.0,8.0,12.0,18.0,13.0,21.0,7.0,25.0,91.0,65.0,17.0,33.0,32.0,31.0,30.0,29.0,37.0,40.0,38.0,46.0
395,5.0,9.0,4.0,0.0,3.0,1.0,2.0,6.0,7.0,11.0,15.0,17.0,12.0,18.0,14.0,13.0,10.0,21.0,95.0,8.0,72.0,81.0,57.0,80.0,78.0,76.0,32.0,35.0,33.0,31.0
444,2.0,5.0,3.0,0.0,10.0,4.0,1.0,6.0,16.0,8.0,15.0,12.0,7.0,22.0,19.0,24.0,11.0,14.0,97.0,20.0,9.0,46.0,23.0,31.0,30.0,28.0,34.0,47.0,35.0,33.0
493,0.0,2.0,7.0,6.0,1.0,3.0,16.0,18.0,9.0,5.0,11.0,12.0,4.0,8.0,10.0,23.0,17.0,20.0,13.0,71.0,35.0,47.0,21.0,28.0,29.0,30.0,33.0,37.0,36.0,34.0
542,0.0,2.0,4.0,5.0,1.0,3.0,16.0,15.0,11.0,10.0,23.0,7.0,9.0,6.0,8.0,17.0,19.0,125.0,12.0,75.0,29.0,37.0,22.0,33.0,32.0,30.0,42.0,18.0,43.0,41.0
591,0.0,1.0,5.0,3.0,2.0,4.0,18.0,15.0,13.0,14.0,17.0,8.0,7.0,12.0,10.0,107.0,9.0,21.0,11.0,67.0,29.0,39.0,26.0,36.0,32.0,28.0,45.0,34.0,35.0,42.0
640,1.0,0.0,5.0,4.0,2.0,3.0,13.0,10.0,15.0,6.0,12.0,14.0,16.0,11.0,7.0,19.0,35.0,20.0,9.0,66.0,25.0,34.0,32.0,31.0,29.0,27.0,38.0,21.0,40.0,37.0
689,0.0,5.0,13.0,4.0,6.0,1.0,60.0,15.0,7.0,8.0,21.0,20.0,14.0,2.0,3.0,110.0,39.0,18.0,17.0,72.0,28.0,38.0,9.0,31.0,29.0,27.0,41.0,44.0,42.0,16.0
738,0.0,4.0,9.0,2.0,1.0,8.0,15.0,12.0,7.0,14.0,10.0,13.0,3.0,6.0,17.0,107.0,16.0,123.0,11.0,65.0,76.0,26.0,29.0,27.0,28.0,30.0,32.0,21.0,33.0,43.0
787,0.0,2.0,4.0,1.0,3.0,5.0,12.0,28.0,8.0,30.0,10.0,19.0,7.0,27.0,6.0,20.0,9.0,31.0,15.0,14.0,51.0,50.0,21.0,33.0,32.0,36.0,38.0,40.0,39.0,37.0
836,0.0,2.0,6.0,8.0,3.0,5.0,21.0,13.0,4.0,10.0,11.0,7.0,14.0,9.0,1.0,15.0,22.0,122.0,20.0,64.0,46.0,33.0,19.0,30.0,42.0,76.0,36.0,26.0,38.0,35.0
885,0.0,4.0,2.0,3.0,1.0,12.0,25.0,6.0,7.0,10.0,9.0,5.0,17.0,8.0,13.0,20.0,15.0,121.0,11.0,29.0,74.0,55.0,80.0,79.0,78.0,75.0,33.0,27.0,34.0,32.0
934,0.0,1.0,3.0,4.0,2.0,5.0,7.0,17.0,23.0,11.0,13.0,16.0,8.0,9.0,6.0,18.0,46.0,24.0,10.0,68.0,47.0,29.0,26.0,30.0,27.0,28.0,33.0,35.0,34.0,21.0
983,0.0,3.0,8.0,5.0,4.0,12.0,9.0,13.0,6.0,10.0,14.0,1.0,22.0,2.0,7.0,17.0,46.0,25.0,11.0,24.0,64.0,30.0,19.0,28.0,27.0,31.0,35.0,47.0,36.0,34.0
1032,0.0,1.0,4.0,5.0,7.0,38.0,22.0,8.0,2.0,12.0,11.0,3.0,23.0,15.0,6.0,9.0,36.0,13.0,21.0,67.0,14.0,44.0,19.0,33.0,32.0,28.0,25.0,41.0,40.0,35.0
1081,1.0,0.0,3.0,2.0,4.0,10.0,6.0,8.0,5.0,12.0,16.0,7.0,15.0,21.0,25.0,11.0,30.0,13.0,9.0,19.0,14.0,29.0,23.0,31.0,32.0,80.0,27.0,35.0,34.0,47.0
