,SOFT_TISSUE,GANGLIA,LIVER,OESOPHAGUS,OVARY,LARGE_INTESTINE,NERVOUS,LUNG,STOMACH,HAEMATOPOIETIC,BREAST,SKIN,PANCREAS,AERODIGESTIVE,PROSTATE,BONE,PLEURA,SALIVARY,THYROID,KIDNEY,URINARY,ENDOMETRIUM,BILIARY
47,17.0,1.0,2.0,5.0,3.0,7.0,6.0,4.0,10.0,8.0,11.0,9.0,12.0,13.0,14.0,0.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
96,0.0,13.0,2.0,8.0,3.0,4.0,5.0,9.0,11.0,7.0,10.0,6.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
145,18.0,1.0,11.0,5.0,8.0,4.0,6.0,10.0,9.0,3.0,7.0,12.0,2.0,14.0,15.0,13.0,16.0,17.0,19.0,0.0,20.0,21.0,22.0
194,18.0,3.0,1.0,2.0,4.0,9.0,8.0,6.0,11.0,5.0,7.0,13.0,10.0,14.0,15.0,12.0,16.0,17.0,19.0,0.0,20.0,21.0,22.0
243,0.0,1.0,2.0,5.0,3.0,6.0,9.0,10.0,7.0,4.0,11.0,8.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
292,18.0,14.0,2.0,7.0,3.0,5.0,4.0,6.0,8.0,13.0,10.0,12.0,11.0,15.0,16.0,9.0,21.0,17.0,19.0,0.0,20.0,1.0,22.0
341,0.0,1.0,4.0,11.0,2.0,7.0,5.0,6.0,10.0,3.0,8.0,13.0,9.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,18.0,14.0,3.0,2.0,4.0,7.0,9.0,5.0,8.0,6.0,12.0,10.0,13.0,15.0,16.0,11.0,21.0,17.0,19.0,0.0,20.0,1.0,22.0
439,18.0,2.0,4.0,3.0,5.0,8.0,9.0,6.0,7.0,1.0,11.0,12.0,10.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
488,1.0,14.0,4.0,8.0,3.0,11.0,5.0,7.0,2.0,9.0,10.0,12.0,6.0,15.0,16.0,13.0,17.0,18.0,19.0,0.0,20.0,21.0,22.0
537,17.0,1.0,3.0,0.0,2.0,10.0,4.0,8.0,5.0,7.0,9.0,11.0,6.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
586,0.0,13.0,5.0,2.0,3.0,10.0,6.0,7.0,11.0,8.0,4.0,12.0,9.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
635,17.0,0.0,3.0,6.0,2.0,7.0,4.0,5.0,9.0,10.0,1.0,11.0,8.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
