,hsa-miR-96,hsa-miR-224,hsa-miR-1306,hsa-miR-423-3p,hsa-miR-129-5p,hsa-miR-548a-3p,hsa-miR-95,ebv-miR-BART8,hsa-miR-921,hsa-miR-657,hsa-miR-548j,hsa-miR-616,hsa-miR-572,hsa-miR-34a,hsa-miR-607,hsa-miR-1979,hsa-miR-1973,hsa-miR-1201,hsa-miR-892a,hsa-miR-140-5p,hsa-miR-1911,hsa-miR-2115,ebv-miR-BART19-5p,hsa-miR-190b,hsa-miR-134,hsa-miR-564,hsa-miR-1200,ebv-miR-BART7,hsa-miR-520g,hsa-miR-193b
19,20.0,8.0,11.0,6.0,103.0,19.0,18.0,30.0,14.0,233.0,61.0,159.0,38.0,59.0,64.0,40.0,484.0,12.0,124.0,126.0,85.0,402.0,91.0,132.0,137.0,206.0,350.0,145.0,562.0,488.0
68,40.0,65.0,9.0,13.0,28.0,6.0,112.0,22.0,54.0,75.0,205.0,91.0,214.0,53.0,85.0,89.0,0.0,241.0,67.0,107.0,58.0,64.0,126.0,476.0,36.0,87.0,237.0,133.0,548.0,8.0
117,76.0,22.0,5.0,39.0,32.0,46.0,78.0,10.0,63.0,2.0,544.0,166.0,98.0,507.0,44.0,89.0,85.0,369.0,59.0,31.0,43.0,492.0,88.0,66.0,113.0,216.0,368.0,134.0,122.0,28.0
166,11.0,16.0,76.0,7.0,1.0,43.0,42.0,69.0,31.0,82.0,63.0,104.0,39.0,430.0,26.0,49.0,467.0,12.0,92.0,158.0,94.0,504.0,64.0,48.0,51.0,61.0,374.0,127.0,516.0,472.0
215,0.0,42.0,78.0,9.0,25.0,14.0,72.0,23.0,49.0,69.0,223.0,61.0,4.0,44.0,73.0,41.0,409.0,43.0,96.0,147.0,47.0,483.0,91.0,148.0,111.0,136.0,24.0,77.0,123.0,413.0
264,45.0,19.0,41.0,37.0,6.0,5.0,18.0,42.0,58.0,27.0,23.0,322.0,46.0,73.0,78.0,56.0,399.0,444.0,52.0,62.0,93.0,91.0,50.0,116.0,146.0,89.0,83.0,65.0,141.0,54.0
313,30.0,14.0,16.0,519.0,36.0,58.0,48.0,25.0,46.0,55.0,49.0,40.0,29.0,67.0,23.0,109.0,415.0,21.0,94.0,103.0,71.0,104.0,119.0,44.0,392.0,188.0,18.0,130.0,136.0,419.0
362,141.0,591.0,16.0,1.0,10.0,85.0,68.0,72.0,31.0,13.0,6.0,18.0,26.0,23.0,104.0,52.0,401.0,28.0,63.0,98.0,61.0,66.0,111.0,414.0,129.0,15.0,142.0,108.0,353.0,406.0
411,19.0,27.0,65.0,2.0,14.0,16.0,106.0,25.0,58.0,344.0,193.0,321.0,81.0,608.0,92.0,59.0,4.0,18.0,133.0,149.0,45.0,422.0,84.0,144.0,128.0,143.0,23.0,115.0,353.0,418.0
460,19.0,586.0,16.0,6.0,21.0,64.0,57.0,17.0,48.0,8.0,34.0,18.0,38.0,608.0,84.0,40.0,54.0,11.0,35.0,24.0,76.0,396.0,126.0,127.0,118.0,86.0,441.0,101.0,131.0,91.0
509,19.0,4.0,21.0,16.0,35.0,1.0,94.0,31.0,28.0,271.0,24.0,12.0,33.0,73.0,98.0,36.0,406.0,447.0,119.0,37.0,417.0,596.0,114.0,138.0,85.0,229.0,131.0,10.0,120.0,411.0
558,26.0,3.0,100.0,24.0,72.0,539.0,123.0,17.0,108.0,338.0,4.0,186.0,2.0,103.0,94.0,6.0,473.0,347.0,56.0,67.0,58.0,404.0,63.0,84.0,90.0,194.0,128.0,140.0,136.0,66.0
607,12.0,14.0,60.0,523.0,71.0,94.0,55.0,11.0,35.0,130.0,75.0,9.0,194.0,83.0,76.0,66.0,0.0,449.0,93.0,47.0,79.0,38.0,96.0,70.0,107.0,224.0,37.0,22.0,149.0,42.0
656,57.0,30.0,4.0,522.0,32.0,93.0,127.0,36.0,9.0,277.0,207.0,23.0,202.0,82.0,43.0,105.0,48.0,29.0,15.0,113.0,47.0,104.0,96.0,424.0,61.0,237.0,0.0,126.0,535.0,78.0
705,16.0,3.0,30.0,9.0,63.0,102.0,111.0,91.0,50.0,153.0,15.0,24.0,27.0,611.0,117.0,14.0,78.0,446.0,98.0,62.0,99.0,398.0,126.0,71.0,47.0,84.0,77.0,60.0,533.0,418.0
754,12.0,7.0,49.0,521.0,3.0,27.0,64.0,17.0,26.0,22.0,28.0,16.0,79.0,19.0,21.0,78.0,43.0,447.0,76.0,107.0,423.0,396.0,101.0,425.0,92.0,123.0,29.0,128.0,48.0,418.0
803,99.0,12.0,20.0,520.0,469.0,5.0,83.0,45.0,25.0,23.0,22.0,58.0,233.0,65.0,113.0,61.0,120.0,444.0,37.0,382.0,420.0,14.0,126.0,82.0,68.0,204.0,102.0,119.0,532.0,415.0
852,132.0,7.0,19.0,616.0,15.0,14.0,66.0,23.0,36.0,33.0,567.0,46.0,63.0,30.0,99.0,86.0,6.0,173.0,62.0,128.0,481.0,391.0,67.0,482.0,105.0,109.0,68.0,92.0,145.0,104.0
901,36.0,7.0,19.0,526.0,31.0,126.0,32.0,162.0,22.0,310.0,23.0,24.0,210.0,33.0,138.0,133.0,11.0,448.0,112.0,121.0,427.0,127.0,96.0,55.0,50.0,128.0,90.0,240.0,58.0,107.0
950,11.0,10.0,21.0,4.0,62.0,49.0,87.0,53.0,36.0,56.0,46.0,64.0,165.0,137.0,78.0,118.0,30.0,48.0,9.0,44.0,411.0,130.0,108.0,413.0,72.0,90.0,70.0,128.0,126.0,407.0
999,76.0,31.0,40.0,88.0,0.0,16.0,57.0,36.0,85.0,1.0,66.0,171.0,209.0,614.0,86.0,61.0,424.0,449.0,34.0,388.0,50.0,406.0,143.0,35.0,150.0,92.0,114.0,48.0,63.0,397.0
1048,69.0,27.0,56.0,519.0,469.0,35.0,20.0,92.0,14.0,49.0,9.0,324.0,219.0,607.0,80.0,106.0,414.0,23.0,105.0,96.0,423.0,82.0,39.0,8.0,386.0,65.0,73.0,103.0,61.0,98.0
1097,15.0,29.0,19.0,79.0,467.0,89.0,81.0,16.0,17.0,301.0,12.0,33.0,35.0,604.0,66.0,55.0,28.0,458.0,22.0,108.0,419.0,493.0,122.0,99.0,62.0,83.0,444.0,104.0,105.0,415.0
1146,27.0,48.0,19.0,5.0,16.0,31.0,86.0,7.0,53.0,301.0,93.0,79.0,64.0,115.0,69.0,100.0,51.0,70.0,136.0,376.0,106.0,13.0,142.0,138.0,382.0,102.0,85.0,231.0,90.0,410.0
