,hsa-miR-10a,hsa-miR-21,hsa-miR-22,hsa-miR-766,hsa-miR-24,hsa-miR-126,hsa-miR-151-3p,ebv-miR-BART18-3p,hsa-miR-130a,hsa-miR-593,hsa-miR-142-5p,hsa-miR-574-5p,hsa-miR-29b,hsa-miR-216a,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hcmv-miR-US33-3p,hsa-let-7e,hsa-miR-1180,hsa-miR-1469,hsa-miR-545,hsa-miR-148a,hsa-miR-323-3p,hsa-miR-149,hsa-miR-301b,hsa-miR-34c-3p,hsa-miR-27b,hsa-miR-423-5p,hsa-miR-135b,hsa-miR-937,hsa-miR-31
14,0.0,34.0,58.0,164.0,11.0,1.0,30.0,19.0,10.0,17.0,24.0,85.0,14.0,5.0,163.0,442.0,57.0,27.0,26.0,43.0,15.0,21.0,3.0,178.0,470.0,116.0,479.0,73.0,90.0,120.0
63,1.0,0.0,99.0,14.0,30.0,2.0,7.0,15.0,22.0,16.0,76.0,29.0,13.0,77.0,46.0,31.0,75.0,4.0,38.0,9.0,90.0,137.0,5.0,39.0,304.0,25.0,430.0,21.0,12.0,149.0
112,3.0,4.0,7.0,55.0,5.0,0.0,2.0,20.0,1.0,18.0,13.0,85.0,33.0,12.0,159.0,449.0,36.0,28.0,37.0,16.0,11.0,54.0,10.0,332.0,132.0,560.0,337.0,92.0,100.0,625.0
161,3.0,1.0,183.0,2.0,16.0,0.0,67.0,13.0,5.0,19.0,6.0,55.0,27.0,139.0,83.0,335.0,23.0,290.0,95.0,26.0,15.0,10.0,33.0,36.0,303.0,34.0,63.0,65.0,21.0,486.0
210,8.0,27.0,31.0,18.0,1.0,0.0,81.0,4.0,2.0,20.0,16.0,319.0,503.0,30.0,178.0,220.0,293.0,17.0,72.0,55.0,53.0,6.0,3.0,109.0,592.0,57.0,22.0,96.0,28.0,186.0
259,34.0,15.0,3.0,11.0,7.0,0.0,19.0,131.0,147.0,12.0,6.0,115.0,61.0,74.0,155.0,161.0,24.0,5.0,96.0,8.0,333.0,1.0,33.0,408.0,435.0,10.0,25.0,123.0,13.0,52.0
308,4.0,45.0,7.0,9.0,10.0,0.0,58.0,166.0,16.0,14.0,3.0,17.0,11.0,85.0,54.0,257.0,150.0,6.0,167.0,2.0,23.0,163.0,25.0,281.0,46.0,1.0,359.0,19.0,36.0,532.0
357,10.0,59.0,2.0,4.0,14.0,0.0,18.0,90.0,5.0,3.0,1.0,32.0,35.0,68.0,292.0,622.0,462.0,16.0,6.0,12.0,8.0,31.0,25.0,189.0,78.0,9.0,19.0,7.0,119.0,141.0
406,13.0,9.0,10.0,11.0,24.0,0.0,77.0,17.0,4.0,70.0,1.0,2.0,5.0,15.0,137.0,532.0,263.0,69.0,74.0,16.0,7.0,36.0,35.0,90.0,346.0,18.0,20.0,178.0,44.0,82.0
455,18.0,9.0,5.0,10.0,42.0,1.0,536.0,17.0,22.0,41.0,38.0,74.0,21.0,104.0,331.0,36.0,40.0,16.0,119.0,35.0,98.0,7.0,97.0,194.0,26.0,29.0,12.0,61.0,0.0,267.0
504,0.0,5.0,30.0,23.0,3.0,36.0,11.0,1.0,7.0,26.0,232.0,27.0,4.0,189.0,8.0,38.0,21.0,466.0,6.0,249.0,143.0,13.0,46.0,111.0,45.0,9.0,83.0,188.0,115.0,35.0
