,hsa-miR-142-5p,hsa-miR-223,hsa-miR-205,hsa-miR-199b-5p,hsa-miR-21,hsa-miR-31,hsa-miR-210,hsa-let-7e,hsa-miR-22,hsa-miR-147b,hsa-miR-200a,hsa-miR-1302,hsa-miR-27b,hsa-miR-130a,hsa-miR-30a,hsa-miR-574-5p,hsa-miR-224,hsa-miR-151-3p,hsa-miR-219-2-3p,hsa-miR-135b,hsa-miR-766,hsa-miR-592,hsa-miR-193b,hsa-let-7i,hsa-miR-193a-5p,kshv-miR-K12-4-3p,hsa-miR-149,hsa-miR-96,hsa-miR-518f,hcmv-miR-UL148D
1831,0.0,1.0,6.0,20.0,13.0,7.0,2.0,21.0,39.0,5.0,164.0,4.0,10.0,3.0,14.0,92.0,76.0,28.0,52.0,45.0,23.0,15.0,11.0,141.0,187.0,81.0,27.0,303.0,74.0,12.0
1880,0.0,1.0,8.0,4.0,9.0,10.0,2.0,25.0,6.0,11.0,23.0,3.0,24.0,15.0,7.0,61.0,58.0,17.0,276.0,29.0,18.0,120.0,105.0,60.0,260.0,192.0,14.0,551.0,497.0,367.0
1929,0.0,1.0,7.0,31.0,3.0,17.0,27.0,76.0,32.0,22.0,13.0,2.0,6.0,4.0,5.0,9.0,52.0,33.0,133.0,43.0,47.0,26.0,10.0,220.0,176.0,15.0,109.0,203.0,380.0,20.0
1978,0.0,2.0,33.0,10.0,1.0,29.0,30.0,3.0,5.0,7.0,4.0,8.0,31.0,9.0,11.0,22.0,15.0,35.0,28.0,17.0,27.0,499.0,433.0,95.0,6.0,58.0,13.0,43.0,120.0,253.0
2027,0.0,1.0,4.0,15.0,3.0,12.0,53.0,6.0,2.0,5.0,16.0,46.0,411.0,21.0,32.0,43.0,20.0,19.0,162.0,13.0,61.0,24.0,40.0,10.0,35.0,164.0,137.0,17.0,11.0,7.0
2076,0.0,1.0,57.0,4.0,3.0,30.0,8.0,6.0,5.0,2.0,14.0,29.0,97.0,17.0,9.0,13.0,38.0,7.0,191.0,88.0,53.0,12.0,10.0,61.0,86.0,94.0,43.0,70.0,11.0,22.0
2125,0.0,1.0,20.0,2.0,7.0,36.0,17.0,22.0,5.0,10.0,3.0,32.0,41.0,26.0,18.0,44.0,99.0,164.0,6.0,58.0,70.0,19.0,66.0,59.0,13.0,38.0,11.0,30.0,232.0,23.0
2174,1.0,0.0,63.0,3.0,15.0,97.0,17.0,11.0,6.0,5.0,78.0,487.0,409.0,39.0,8.0,10.0,149.0,47.0,181.0,109.0,105.0,24.0,199.0,58.0,13.0,435.0,57.0,21.0,14.0,31.0
2223,0.0,1.0,6.0,15.0,5.0,3.0,69.0,32.0,4.0,11.0,2.0,10.0,7.0,9.0,8.0,17.0,25.0,22.0,18.0,14.0,37.0,121.0,59.0,125.0,19.0,16.0,42.0,35.0,53.0,28.0
2272,0.0,1.0,70.0,2.0,4.0,61.0,18.0,38.0,3.0,14.0,26.0,7.0,15.0,29.0,6.0,11.0,107.0,87.0,32.0,46.0,426.0,120.0,327.0,41.0,9.0,47.0,23.0,5.0,152.0,513.0
2321,0.0,5.0,90.0,1.0,8.0,2.0,12.0,21.0,29.0,177.0,37.0,76.0,39.0,6.0,3.0,20.0,50.0,9.0,42.0,4.0,63.0,73.0,81.0,31.0,115.0,380.0,72.0,45.0,25.0,208.0
2370,0.0,1.0,13.0,5.0,15.0,21.0,3.0,7.0,41.0,18.0,9.0,2.0,58.0,6.0,20.0,11.0,17.0,10.0,23.0,8.0,175.0,65.0,36.0,19.0,4.0,191.0,528.0,16.0,561.0,45.0
