,KIAA1217_DEL,ZBTB20_AMP,DOCK10_AMP,BRAF_MUT,FMN2_AMP,BMPR2_AMP,GSTTP1_AMP,UNC13C_MUT,SORD_AMP,PTCH1_AMP,SESTD1_AMP,BCAS1_AMP,CDC73_AMP,ZNF705G_AMP,NRXN3_DEL,NRXN1_DEL,FAM35B_DEL,BCL2_DEL,MST1P9_AMP,FFAR3_DEL,PCCB_DEL,LINC00221_DEL,AMY2A_DEL,MGAM_DEL,BRAF.V600E_MUT,SIRPB1_AMP,ARHGAP22_DEL,BTNL3_DEL,SORL1_MUT,ATG10_DEL
29,1.0,0.0,2.0,33.0,5.0,19.0,3.0,11.0,7.0,28.0,24.0,23.0,14.0,6.0,8.0,83.0,54.0,10.0,38.0,26.0,44.0,41.0,30.0,25.0,199.0,9.0,13.0,4.0,27.0,34.0
78,2.0,0.0,22.0,51.0,9.0,15.0,26.0,6.0,683.0,104.0,90.0,27.0,34.0,18.0,11.0,65.0,17.0,14.0,74.0,3.0,100.0,13.0,92.0,153.0,468.0,49.0,36.0,77.0,735.0,142.0
127,1.0,3.0,0.0,48.0,14.0,35.0,10.0,9.0,6.0,16.0,15.0,23.0,18.0,11.0,7.0,59.0,17.0,27.0,51.0,5.0,46.0,37.0,54.0,21.0,260.0,32.0,73.0,2.0,20.0,143.0
176,3.0,1.0,0.0,67.0,34.0,18.0,7.0,8.0,27.0,10.0,37.0,22.0,12.0,9.0,4.0,56.0,31.0,13.0,24.0,49.0,32.0,19.0,28.0,65.0,744.0,327.0,25.0,6.0,47.0,40.0
225,1.0,0.0,2.0,6.0,3.0,18.0,30.0,7.0,399.0,4.0,1027.0,8.0,15.0,20.0,13.0,185.0,29.0,38.0,74.0,28.0,77.0,32.0,31.0,5.0,34.0,12.0,57.0,10.0,26.0,132.0
274,3.0,1.0,0.0,5.0,31.0,10.0,13.0,18.0,29.0,23.0,8.0,9.0,61.0,2.0,6.0,68.0,15.0,22.0,38.0,32.0,69.0,11.0,46.0,21.0,36.0,56.0,30.0,7.0,47.0,52.0
323,6.0,0.0,1.0,65.0,192.0,26.0,2.0,29.0,18.0,175.0,30.0,11.0,19.0,4.0,3.0,22.0,20.0,16.0,92.0,32.0,56.0,15.0,174.0,31.0,1026.0,7.0,14.0,5.0,157.0,47.0
372,3.0,0.0,1.0,42.0,32.0,34.0,4.0,7.0,23.0,14.0,33.0,27.0,9.0,12.0,5.0,47.0,17.0,21.0,13.0,10.0,84.0,24.0,22.0,16.0,332.0,64.0,41.0,8.0,61.0,48.0
421,12.0,2.0,4.0,27.0,5.0,278.0,7.0,37.0,62.0,31.0,36.0,43.0,18.0,21.0,9.0,42.0,45.0,46.0,73.0,13.0,64.0,25.0,19.0,32.0,378.0,30.0,40.0,1.0,24.0,20.0
470,6.0,0.0,1.0,100.0,41.0,35.0,32.0,3.0,2.0,16.0,63.0,5.0,53.0,15.0,10.0,199.0,71.0,122.0,8.0,40.0,23.0,737.0,13.0,342.0,149.0,14.0,19.0,7.0,38.0,24.0
519,0.0,9.0,1.0,3.0,5.0,17.0,4.0,10.0,1518.0,79.0,2.0,20.0,30.0,12.0,70.0,28.0,8.0,26.0,62.0,59.0,96.0,24.0,35.0,102.0,13.0,58.0,23.0,27.0,68.0,84.0
568,1.0,3.0,7.0,0.0,16.0,14.0,33.0,13.0,69.0,37.0,4.0,17.0,85.0,6.0,72.0,99.0,25.0,87.0,15.0,28.0,42.0,10.0,62.0,11.0,12.0,44.0,39.0,5.0,40.0,52.0
617,1.0,0.0,3.0,2.0,6.0,4.0,11.0,23.0,43.0,50.0,7.0,22.0,26.0,14.0,55.0,46.0,17.0,18.0,27.0,19.0,114.0,16.0,31.0,15.0,9.0,25.0,28.0,21.0,35.0,116.0
666,7.0,5.0,6.0,3.0,11.0,13.0,2.0,12.0,5091.0,60.0,14.0,10.0,35.0,0.0,48.0,24.0,8.0,17.0,9.0,16.0,95.0,1.0,61.0,69.0,46.0,183.0,52.0,33.0,205.0,167.0
715,1.0,0.0,4.0,7.0,9.0,3.0,8.0,19.0,40.0,71.0,45.0,10.0,6.0,15.0,126.0,129.0,24.0,12.0,29.0,311.0,121.0,18.0,37.0,43.0,22.0,31.0,75.0,21.0,68.0,26.0
764,1.0,14.0,3.0,5.0,0.0,20.0,4.0,29.0,83.0,111.0,21.0,11.0,40.0,7.0,99.0,17.0,19.0,10.0,18.0,104.0,267.0,13.0,36.0,42.0,9.0,26.0,166.0,75.0,25.0,86.0
813,8.0,12.0,3.0,6.0,0.0,17.0,7.0,62.0,112.0,43.0,5.0,18.0,35.0,11.0,25.0,28.0,9.0,29.0,21.0,48.0,79.0,13.0,50.0,47.0,57.0,185.0,24.0,1.0,44.0,88.0
862,1.0,18.0,0.0,2.0,6.0,13.0,5.0,22.0,46.0,70.0,3.0,12.0,25.0,20.0,38.0,42.0,11.0,23.0,19.0,32.0,69.0,29.0,31.0,82.0,7.0,291.0,45.0,17.0,63.0,33.0
911,1.0,10.0,3.0,0.0,8.0,11.0,18.0,21.0,86.0,49.0,9.0,76.0,20.0,7.0,88.0,35.0,2.0,17.0,22.0,55.0,29.0,19.0,24.0,280.0,5.0,196.0,41.0,14.0,42.0,50.0
