,TAZ,Bcl-2,SHP-2_pY542,Transglutaminase,Rad50,Annexin 1,Rb,p38_pT180_Y182,TSC1,CD31,Shc_pY317,Rb_pS807_S811,HER2,FoxM1,GATA3,Src,HER2_pY1248,Bcl-xL,NF2,RSK1-2-3,Caveolin-1,C-Raf_pS338,Beclin,Cyclin_D1,Bad_pS112,ACVRL1,Myosin IIa pS1943,p53,Gab2,AMPK_pT172
1,0.0,9.0,2.0,47.0,24.0,11.0,6.0,1.0,3.0,14.0,16.0,20.0,43.0,13.0,8.0,7.0,39.0,5.0,15.0,4.0,12.0,40.0,91.0,17.0,30.0,35.0,19.0,52.0,63.0,28.0
50,0.0,1.0,5.0,11.0,35.0,14.0,12.0,43.0,2.0,7.0,13.0,50.0,31.0,56.0,45.0,3.0,27.0,9.0,25.0,15.0,17.0,4.0,18.0,16.0,19.0,58.0,20.0,28.0,41.0,75.0
99,0.0,3.0,1.0,2.0,29.0,41.0,7.0,21.0,9.0,4.0,14.0,17.0,5.0,23.0,10.0,16.0,13.0,44.0,20.0,8.0,32.0,45.0,19.0,24.0,18.0,38.0,64.0,65.0,11.0,70.0
148,0.0,9.0,3.0,2.0,48.0,22.0,1.0,33.0,11.0,4.0,10.0,25.0,7.0,16.0,28.0,5.0,40.0,12.0,13.0,6.0,46.0,23.0,58.0,30.0,19.0,18.0,26.0,15.0,27.0,68.0
197,3.0,1.0,7.0,19.0,29.0,4.0,5.0,10.0,2.0,18.0,11.0,15.0,8.0,20.0,9.0,0.0,12.0,13.0,23.0,24.0,49.0,82.0,38.0,51.0,33.0,68.0,32.0,41.0,6.0,37.0
246,0.0,2.0,5.0,10.0,8.0,15.0,7.0,14.0,4.0,11.0,13.0,45.0,17.0,6.0,46.0,1.0,25.0,38.0,83.0,3.0,20.0,78.0,31.0,12.0,30.0,18.0,21.0,23.0,36.0,22.0
295,0.0,11.0,3.0,16.0,25.0,36.0,2.0,18.0,6.0,24.0,13.0,10.0,21.0,17.0,19.0,1.0,28.0,15.0,5.0,4.0,12.0,33.0,81.0,49.0,7.0,32.0,20.0,70.0,8.0,74.0
344,0.0,2.0,39.0,7.0,12.0,20.0,1.0,10.0,25.0,3.0,30.0,34.0,4.0,33.0,66.0,14.0,18.0,24.0,48.0,6.0,16.0,19.0,63.0,23.0,8.0,15.0,50.0,9.0,38.0,103.0
393,0.0,2.0,4.0,21.0,3.0,23.0,1.0,9.0,5.0,11.0,13.0,19.0,12.0,10.0,22.0,14.0,16.0,40.0,8.0,7.0,28.0,43.0,24.0,18.0,29.0,25.0,30.0,37.0,17.0,54.0
442,5.0,7.0,1.0,13.0,9.0,14.0,3.0,11.0,25.0,16.0,29.0,12.0,27.0,10.0,63.0,23.0,22.0,15.0,0.0,2.0,51.0,6.0,59.0,20.0,17.0,100.0,4.0,18.0,28.0,92.0
491,2.0,6.0,8.0,0.0,7.0,51.0,57.0,3.0,27.0,14.0,18.0,34.0,22.0,1.0,29.0,11.0,36.0,46.0,30.0,19.0,52.0,13.0,35.0,17.0,4.0,39.0,37.0,21.0,28.0,56.0
540,1.0,7.0,18.0,8.0,5.0,19.0,16.0,9.0,10.0,11.0,23.0,12.0,22.0,28.0,49.0,15.0,56.0,13.0,29.0,0.0,37.0,14.0,46.0,40.0,67.0,42.0,52.0,2.0,83.0,30.0
589,0.0,8.0,10.0,17.0,1.0,28.0,32.0,9.0,27.0,20.0,14.0,26.0,47.0,23.0,48.0,4.0,90.0,18.0,52.0,46.0,38.0,24.0,6.0,16.0,5.0,49.0,11.0,7.0,80.0,44.0
