,XXbac-BPG181B23.7,MICALL1,VANGL2,PCDHB6,AMOT,SCD5,IL32,PCDHB2,CCND2,GALNT14,ZNF69,PTH2R,ZBED6CL,PPP1R14C,RIN2,TRIM35,PSAT1,S100A2,CTB-36O1.3,IQCA1,CCDC61,SH3BP1,ZNF192P1,TMEM117,TEX15,POU3F3,RP11-2B6.3,SETD6,RP11-215G15.5,ZNF853
10,2.0,25.0,10.0,12.0,8.0,14.0,23.0,0.0,4.0,11.0,20.0,29.0,116.0,52.0,15.0,61.0,3.0,19.0,131.0,26.0,175.0,53.0,55.0,510.0,9.0,64.0,13.0,68.0,49.0,133.0
59,2.0,1.0,10.0,21.0,0.0,12.0,3.0,17.0,5.0,35.0,62.0,34.0,46.0,25.0,124.0,131.0,4.0,123.0,176.0,63.0,96.0,28.0,11.0,717.0,9.0,16.0,230.0,7.0,47.0,81.0
108,3.0,38.0,12.0,63.0,6.0,43.0,1.0,41.0,0.0,19.0,18.0,2.0,69.0,102.0,21.0,80.0,8.0,74.0,146.0,28.0,31.0,16.0,4.0,557.0,49.0,114.0,33.0,47.0,13.0,40.0
157,10.0,9.0,13.0,12.0,15.0,5.0,0.0,23.0,1.0,7.0,40.0,38.0,50.0,65.0,6.0,44.0,2.0,72.0,11.0,49.0,20.0,18.0,3.0,1267.0,28.0,55.0,56.0,134.0,22.0,30.0
206,21.0,1.0,20.0,15.0,28.0,25.0,2.0,92.0,13.0,35.0,299.0,17.0,8.0,83.0,23.0,36.0,7.0,94.0,123.0,99.0,10.0,14.0,3.0,1280.0,5.0,308.0,74.0,91.0,48.0,46.0
255,22.0,16.0,37.0,17.0,61.0,21.0,2.0,12.0,5.0,77.0,89.0,31.0,39.0,8.0,11.0,34.0,4.0,58.0,47.0,14.0,13.0,9.0,6.0,1279.0,3.0,57.0,23.0,307.0,29.0,35.0
304,1.0,3.0,10.0,19.0,28.0,11.0,5.0,30.0,47.0,140.0,48.0,6.0,32.0,0.0,102.0,64.0,18.0,14.0,1514.0,31.0,70.0,4.0,7.0,1608.0,52.0,549.0,16.0,104.0,15.0,130.0
353,8.0,1.0,16.0,157.0,18.0,17.0,4.0,150.0,5.0,26.0,2.0,20.0,52.0,61.0,25.0,92.0,21.0,36.0,46.0,139.0,48.0,10.0,6.0,383.0,22.0,41.0,62.0,12.0,51.0,65.0
402,9.0,6.0,5.0,97.0,8.0,25.0,15.0,421.0,22.0,175.0,74.0,19.0,16.0,1.0,42.0,40.0,2.0,111.0,107.0,69.0,81.0,10.0,0.0,437.0,7.0,43.0,67.0,93.0,37.0,135.0
451,10.0,8.0,18.0,30.0,5.0,1.0,3.0,112.0,2.0,44.0,57.0,36.0,94.0,56.0,11.0,99.0,22.0,121.0,46.0,35.0,17.0,21.0,12.0,523.0,91.0,9.0,43.0,141.0,15.0,83.0
500,0.0,1.0,30.0,3.0,105.0,12.0,18.0,22.0,9.0,154.0,458.0,33.0,284.0,15.0,96.0,48.0,43.0,258.0,17.0,102.0,218.0,7.0,31.0,20.0,606.0,100.0,240.0,14.0,36.0,8.0
549,0.0,3.0,8.0,2.0,66.0,5.0,222.0,54.0,26.0,269.0,103.0,113.0,24.0,57.0,158.0,14.0,45.0,96.0,27.0,11.0,87.0,25.0,74.0,16.0,379.0,61.0,30.0,46.0,10.0,37.0
598,0.0,1.0,91.0,10.0,84.0,55.0,51.0,27.0,17.0,188.0,104.0,41.0,6.0,18.0,437.0,4.0,29.0,44.0,32.0,63.0,2.0,71.0,24.0,182.0,291.0,65.0,61.0,13.0,72.0,7.0
647,1.0,7.0,20.0,12.0,11.0,3.0,33.0,9.0,8.0,45.0,56.0,122.0,77.0,152.0,64.0,16.0,59.0,95.0,10.0,54.0,46.0,96.0,66.0,191.0,387.0,61.0,71.0,210.0,14.0,37.0
696,0.0,6.0,59.0,13.0,177.0,7.0,20.0,5.0,4.0,97.0,44.0,18.0,24.0,26.0,11.0,8.0,268.0,51.0,31.0,58.0,14.0,48.0,75.0,121.0,556.0,108.0,46.0,145.0,1.0,3.0
745,8.0,5.0,286.0,0.0,419.0,1.0,10.0,109.0,45.0,38.0,82.0,44.0,2.0,81.0,242.0,9.0,6.0,39.0,3.0,113.0,47.0,200.0,26.0,24.0,23.0,116.0,37.0,76.0,28.0,160.0
794,0.0,5.0,24.0,1.0,309.0,2.0,107.0,12.0,6.0,307.0,517.0,11.0,14.0,103.0,50.0,8.0,75.0,76.0,34.0,58.0,22.0,60.0,90.0,72.0,180.0,112.0,113.0,66.0,4.0,15.0
843,0.0,1.0,8.0,13.0,17.0,5.0,73.0,15.0,227.0,22.0,109.0,385.0,12.0,10.0,69.0,11.0,39.0,20.0,4.0,54.0,34.0,61.0,9.0,213.0,475.0,49.0,31.0,226.0,6.0,46.0
892,1.0,2.0,7.0,3.0,69.0,33.0,12.0,0.0,76.0,93.0,398.0,17.0,27.0,45.0,48.0,22.0,54.0,533.0,6.0,117.0,63.0,43.0,32.0,46.0,140.0,39.0,282.0,26.0,13.0,72.0
941,15.0,10.0,23.0,8.0,185.0,42.0,7.0,2.0,285.0,210.0,12.0,52.0,0.0,39.0,69.0,18.0,27.0,127.0,21.0,84.0,4.0,20.0,22.0,234.0,72.0,102.0,6.0,92.0,66.0,16.0
