,hsa-miR-190,hsa-miR-584,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-548b-5p,hsa-miR-574-5p,hsa-miR-143,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-1908,hsa-miR-384,hsa-miR-1976,ebv-miR-BART13,hsa-miR-1271,hsa-miR-548q,hsa-miR-606,hsa-miR-668,hsa-miR-1308,hsa-miR-1227,hsa-miR-423-3p,hsa-miR-567,hsa-miR-625,hsa-miR-628-5p,hsa-miR-562,hsa-miR-361-3p,hsa-miR-1291,hsa-miR-330-3p,hsa-miR-886-5p,ebv-miR-BART20-5p,hsa-miR-139-5p,hsv1-miR-H2-5p
3298,16.0,17.0,68.0,2.0,0.0,62.0,57.0,25.0,79.0,143.0,9.0,28.0,30.0,69.0,98.0,18.0,15.0,54.0,40.0,51.0,43.0,14.0,31.0,39.0,74.0,11.0,8.0,3.0,21.0,50.0
3347,4.0,26.0,56.0,21.0,0.0,14.0,87.0,34.0,30.0,273.0,60.0,28.0,22.0,76.0,6.0,69.0,15.0,119.0,71.0,251.0,35.0,1.0,11.0,8.0,50.0,31.0,62.0,13.0,48.0,39.0
3396,3.0,11.0,18.0,0.0,1.0,7.0,80.0,55.0,44.0,270.0,22.0,14.0,9.0,57.0,45.0,195.0,28.0,181.0,89.0,153.0,26.0,8.0,67.0,66.0,51.0,151.0,17.0,35.0,21.0,40.0
3445,6.0,3.0,9.0,34.0,0.0,157.0,10.0,2.0,19.0,8.0,13.0,4.0,1.0,29.0,21.0,79.0,23.0,66.0,17.0,22.0,7.0,28.0,12.0,131.0,43.0,33.0,267.0,32.0,45.0,221.0
3494,4.0,1.0,9.0,18.0,8.0,299.0,14.0,2.0,10.0,26.0,17.0,6.0,16.0,0.0,12.0,24.0,11.0,116.0,15.0,63.0,5.0,61.0,40.0,80.0,51.0,83.0,303.0,172.0,3.0,379.0
3543,11.0,24.0,7.0,12.0,10.0,119.0,6.0,0.0,17.0,54.0,13.0,5.0,4.0,18.0,1.0,170.0,22.0,27.0,57.0,25.0,49.0,55.0,46.0,288.0,26.0,45.0,384.0,106.0,124.0,235.0
3592,16.0,4.0,2.0,1.0,11.0,132.0,6.0,15.0,12.0,10.0,8.0,0.0,3.0,5.0,22.0,56.0,20.0,23.0,66.0,34.0,28.0,128.0,61.0,160.0,18.0,150.0,237.0,80.0,76.0,68.0
3641,17.0,0.0,9.0,4.0,2.0,151.0,48.0,7.0,68.0,3.0,12.0,6.0,5.0,52.0,32.0,28.0,299.0,38.0,45.0,8.0,40.0,26.0,13.0,241.0,35.0,93.0,278.0,44.0,20.0,255.0
3690,13.0,34.0,0.0,5.0,7.0,52.0,12.0,1.0,9.0,21.0,16.0,4.0,3.0,6.0,2.0,71.0,15.0,95.0,42.0,59.0,20.0,93.0,41.0,114.0,10.0,144.0,289.0,169.0,11.0,461.0
3739,0.0,3.0,9.0,20.0,5.0,39.0,78.0,1.0,28.0,38.0,10.0,2.0,4.0,52.0,6.0,22.0,41.0,120.0,64.0,15.0,11.0,27.0,19.0,140.0,13.0,46.0,186.0,200.0,8.0,139.0
3788,4.0,1.0,6.0,7.0,9.0,36.0,40.0,5.0,3.0,31.0,2.0,0.0,16.0,10.0,19.0,25.0,11.0,37.0,28.0,18.0,12.0,94.0,76.0,99.0,53.0,103.0,167.0,284.0,8.0,241.0
3837,12.0,11.0,3.0,4.0,1.0,180.0,29.0,2.0,26.0,19.0,10.0,5.0,0.0,6.0,21.0,254.0,33.0,78.0,42.0,18.0,45.0,131.0,37.0,190.0,7.0,158.0,291.0,69.0,16.0,206.0
3886,2.0,5.0,3.0,7.0,4.0,142.0,9.0,6.0,11.0,20.0,24.0,0.0,12.0,1.0,17.0,65.0,27.0,104.0,18.0,25.0,26.0,46.0,14.0,95.0,22.0,43.0,350.0,164.0,13.0,222.0
3935,10.0,0.0,7.0,8.0,1.0,31.0,4.0,5.0,22.0,9.0,67.0,36.0,55.0,2.0,164.0,18.0,50.0,35.0,11.0,189.0,61.0,83.0,19.0,39.0,78.0,222.0,24.0,17.0,14.0,117.0
3984,28.0,0.0,1.0,15.0,3.0,17.0,30.0,37.0,2.0,31.0,18.0,106.0,62.0,38.0,71.0,83.0,98.0,10.0,8.0,145.0,77.0,163.0,205.0,6.0,66.0,25.0,73.0,26.0,54.0,16.0
4033,11.0,0.0,8.0,60.0,21.0,74.0,46.0,25.0,47.0,17.0,76.0,99.0,36.0,9.0,233.0,30.0,2.0,4.0,10.0,211.0,15.0,149.0,162.0,3.0,122.0,40.0,6.0,118.0,183.0,59.0
4082,2.0,1.0,4.0,9.0,16.0,155.0,10.0,15.0,25.0,12.0,42.0,54.0,66.0,3.0,176.0,0.0,31.0,21.0,14.0,126.0,89.0,77.0,47.0,26.0,82.0,99.0,116.0,18.0,52.0,22.0
4131,9.0,4.0,0.0,6.0,7.0,12.0,34.0,11.0,61.0,18.0,31.0,27.0,5.0,1.0,205.0,3.0,10.0,59.0,38.0,342.0,90.0,211.0,64.0,20.0,49.0,23.0,91.0,13.0,14.0,29.0
4180,8.0,21.0,19.0,13.0,4.0,56.0,1.0,5.0,24.0,12.0,29.0,34.0,27.0,7.0,50.0,63.0,45.0,3.0,28.0,215.0,253.0,148.0,92.0,55.0,73.0,53.0,44.0,113.0,100.0,40.0
4229,2.0,25.0,1.0,12.0,0.0,16.0,9.0,27.0,54.0,67.0,42.0,45.0,75.0,7.0,119.0,3.0,14.0,33.0,32.0,238.0,204.0,84.0,97.0,15.0,41.0,47.0,19.0,29.0,46.0,13.0
4278,4.0,0.0,3.0,9.0,7.0,47.0,5.0,2.0,23.0,10.0,56.0,49.0,67.0,1.0,71.0,15.0,19.0,25.0,26.0,254.0,112.0,79.0,97.0,20.0,18.0,58.0,33.0,43.0,53.0,30.0
4327,3.0,0.0,1.0,15.0,9.0,16.0,20.0,19.0,6.0,4.0,33.0,39.0,96.0,2.0,144.0,14.0,13.0,45.0,25.0,204.0,79.0,92.0,93.0,61.0,29.0,46.0,48.0,27.0,12.0,18.0
4376,1.0,0.0,2.0,19.0,3.0,37.0,23.0,20.0,14.0,10.0,15.0,32.0,59.0,7.0,83.0,5.0,8.0,17.0,12.0,112.0,102.0,110.0,82.0,18.0,30.0,68.0,26.0,36.0,48.0,4.0
4425,2.0,8.0,0.0,32.0,14.0,12.0,16.0,5.0,3.0,10.0,58.0,116.0,68.0,498.0,6.0,124.0,241.0,19.0,31.0,17.0,13.0,25.0,45.0,30.0,29.0,4.0,36.0,70.0,220.0,182.0
4474,13.0,85.0,3.0,18.0,70.0,10.0,6.0,14.0,11.0,20.0,15.0,38.0,48.0,385.0,19.0,104.0,205.0,9.0,32.0,7.0,200.0,2.0,66.0,102.0,8.0,4.0,296.0,17.0,199.0,5.0
4523,12.0,8.0,2.0,28.0,13.0,23.0,1.0,32.0,45.0,5.0,26.0,101.0,105.0,252.0,30.0,48.0,226.0,40.0,43.0,16.0,124.0,0.0,3.0,44.0,36.0,18.0,75.0,19.0,218.0,47.0
4572,27.0,8.0,17.0,9.0,11.0,1.0,0.0,2.0,4.0,16.0,10.0,50.0,88.0,298.0,14.0,68.0,149.0,21.0,66.0,19.0,29.0,5.0,33.0,122.0,12.0,6.0,181.0,128.0,338.0,102.0
4621,30.0,6.0,9.0,2.0,1.0,13.0,20.0,34.0,3.0,8.0,5.0,87.0,58.0,237.0,18.0,262.0,110.0,10.0,15.0,12.0,70.0,63.0,105.0,39.0,16.0,32.0,101.0,41.0,157.0,26.0
4670,3.0,5.0,2.0,25.0,33.0,0.0,15.0,26.0,4.0,24.0,6.0,45.0,14.0,254.0,12.0,50.0,125.0,7.0,8.0,11.0,30.0,48.0,71.0,53.0,39.0,34.0,114.0,134.0,305.0,77.0
4719,2.0,12.0,0.0,5.0,24.0,1.0,92.0,38.0,8.0,7.0,4.0,25.0,65.0,66.0,31.0,149.0,260.0,110.0,18.0,28.0,26.0,42.0,280.0,165.0,21.0,44.0,30.0,83.0,194.0,116.0
4768,9.0,23.0,4.0,11.0,5.0,8.0,7.0,2.0,0.0,17.0,14.0,166.0,84.0,257.0,28.0,77.0,39.0,12.0,22.0,87.0,239.0,16.0,47.0,51.0,19.0,6.0,268.0,32.0,219.0,49.0
4817,36.0,7.0,2.0,18.0,1.0,11.0,3.0,9.0,0.0,6.0,21.0,20.0,51.0,104.0,12.0,59.0,224.0,41.0,42.0,37.0,55.0,8.0,147.0,44.0,47.0,16.0,113.0,87.0,204.0,67.0
4866,41.0,11.0,5.0,13.0,8.0,4.0,20.0,53.0,1.0,3.0,2.0,84.0,23.0,176.0,12.0,100.0,134.0,7.0,42.0,61.0,94.0,14.0,182.0,200.0,40.0,6.0,60.0,18.0,179.0,15.0
