,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,BRAF.MC_MUT,OR2T34_AMP,DPP6_DEL,SORD_AMP,RHD_DEL,LOC100287534_AMP,OR51A2_DEL,ARHGEF5_AMP,ZBTB20_AMP,MAML3_MUT,AMY2A_DEL,HERC2P2_AMP,PTPRC_MUT,LOC284395_DEL,HLA-DQB1_DEL,GSTTP1_AMP,ZNF705G_AMP,ASAH2_DEL,NRXN3_DEL,PRSS3P2_DEL,OR2T29_AMP,PRSS2_DEL,LRP1_MUT,ADAMTSL3_MUT,BMPR2_AMP,CBR3-AS1_DEL,MUC20_AMP
29,0.0,1.0,4.0,3.0,2.0,221.0,241.0,18.0,6.0,17.0,8.0,25.0,49.0,19.0,17248.0,39.0,78.0,234.0,11.0,1284.0,20.0,28.0,38.0,16.0,37.0,21.0,30.0,50.0,29.0,263.0
78,0.0,1.0,2.0,5.0,6.0,97.0,11421.0,23.0,9.0,14.0,4.0,64.0,95.0,21.0,2754.0,42.0,94.0,2586.0,8.0,368.0,189.0,10.0,39.0,43.0,40.0,28.0,15.0,120.0,33.0,18.0
127,0.0,1.0,2.0,5.0,33.0,123.0,759.0,66.0,13.0,6.0,3.0,34.0,26.0,65.0,22314.0,31.0,88.0,358.0,10.0,50.0,41.0,28.0,16.0,401.0,15.0,14.0,19.0,54.0,87.0,48.0
176,0.0,1.0,2.0,5.0,3.0,62.0,1949.0,10.0,31.0,4.0,8.0,231.0,36.0,113.0,9565.0,19.0,137.0,55.0,12.0,618.0,42.0,20.0,56.0,38.0,57.0,34.0,17.0,53.0,50.0,51.0
225,0.0,1.0,2.0,3.0,5.0,16.0,4699.0,7.0,10.0,11.0,4.0,18.0,38.0,32.0,21522.0,22.0,97.0,60.0,35.0,54.0,31.0,44.0,46.0,14.0,47.0,12.0,21.0,39.0,129.0,127.0
274,0.0,1.0,6.0,5.0,3.0,12.0,183.0,48.0,2.0,24.0,9.0,95.0,25.0,40.0,1416.0,37.0,80.0,13.0,21.0,190.0,11.0,10.0,89.0,17.0,90.0,18.0,60.0,8.0,38.0,49.0
323,0.0,1.0,3.0,2.0,4.0,9.0,67.0,24.0,11.0,13.0,26.0,5.0,117.0,33.0,24078.0,59.0,1320.0,249.0,43.0,123.0,8.0,21.0,23.0,18.0,22.0,72.0,75.0,77.0,226.0,399.0
372,0.0,1.0,2.0,7.0,3.0,80.0,188.0,11.0,9.0,10.0,5.0,16.0,40.0,72.0,12067.0,27.0,98.0,1658.0,22.0,128.0,37.0,21.0,31.0,25.0,30.0,4.0,49.0,33.0,42.0,526.0
421,0.0,1.0,2.0,3.0,4.0,41.0,411.0,20.0,54.0,18.0,7.0,10.0,40.0,33.0,22630.0,55.0,91.0,152.0,24.0,60.0,30.0,31.0,359.0,38.0,358.0,9.0,49.0,32.0,53.0,100.0
470,0.0,1.0,2.0,3.0,7.0,112.0,40.0,57.0,8.0,33.0,12.0,292.0,51.0,74.0,3265.0,31.0,308.0,5544.0,34.0,15.0,23.0,39.0,86.0,136.0,87.0,16.0,66.0,118.0,53.0,356.0
519,0.0,2.0,1.0,13.0,11.0,7.0,10.0,6.0,3.0,9.0,26.0,12.0,24.0,44.0,254.0,14.0,16.0,8.0,28.0,84.0,40.0,45.0,5.0,19.0,4.0,35.0,33.0,22.0,112.0,34.0
568,0.0,1.0,2.0,5.0,11.0,12.0,3.0,4.0,9.0,7.0,80.0,6.0,30.0,16.0,4552.0,151.0,282.0,8.0,41.0,149.0,32.0,56.0,22.0,34.0,21.0,25.0,210.0,10.0,274.0,51.0
617,0.0,1.0,2.0,10.0,13.0,16.0,8.0,5.0,3.0,15.0,19.0,17.0,28.0,42.0,10833.0,26.0,30.0,25.0,50.0,131.0,9.0,143.0,6.0,54.0,7.0,27.0,35.0,20.0,127.0,49.0
