, TLR, Wnt, PI3K_only, H2O2, JAK-STAT, TNFa, TGFB, MAPK_PI3K, VEGF, MAPK_only, IL-1
3318,0.0,1.0,4.0,3.0,2.0,8.0,5.0,6.0,7.0,9.0,10.0
3367,0.0,1.0,4.0,6.0,3.0,2.0,8.0,7.0,5.0,10.0,9.0
3416,0.0,1.0,4.0,2.0,3.0,5.0,8.0,6.0,7.0,9.0,10.0
3465,6.0,1.0,0.0,2.0,3.0,8.0,5.0,4.0,9.0,7.0,10.0
3514,2.0,3.0,0.0,1.0,4.0,9.0,5.0,6.0,7.0,8.0,10.0
3563,4.0,2.0,0.0,1.0,3.0,7.0,5.0,6.0,8.0,10.0,9.0
3612,1.0,3.0,0.0,2.0,4.0,8.0,6.0,7.0,10.0,5.0,9.0
3661,3.0,0.0,1.0,2.0,4.0,8.0,7.0,6.0,9.0,5.0,10.0
3710,3.0,1.0,0.0,2.0,5.0,7.0,6.0,8.0,10.0,4.0,9.0
3759,4.0,1.0,0.0,5.0,2.0,9.0,6.0,7.0,10.0,3.0,8.0
3808,4.0,1.0,0.0,2.0,6.0,8.0,3.0,7.0,10.0,5.0,9.0
3857,3.0,0.0,1.0,2.0,5.0,10.0,6.0,4.0,8.0,7.0,9.0
3906,2.0,3.0,1.0,0.0,5.0,10.0,4.0,6.0,7.0,8.0,9.0
3955,0.0,1.0,4.0,3.0,6.0,5.0,2.0,9.0,7.0,10.0,8.0
4004,1.0,5.0,2.0,0.0,6.0,4.0,3.0,7.0,8.0,9.0,10.0
4053,2.0,1.0,4.0,0.0,8.0,3.0,6.0,5.0,10.0,7.0,9.0
4102,0.0,3.0,4.0,1.0,5.0,8.0,2.0,7.0,6.0,9.0,10.0
4151,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,9.0,7.0,10.0
4200,0.0,3.0,4.0,1.0,5.0,2.0,6.0,9.0,8.0,10.0,7.0
4249,1.0,3.0,4.0,0.0,6.0,2.0,5.0,8.0,7.0,9.0,10.0
4298,2.0,1.0,4.0,0.0,6.0,5.0,3.0,7.0,10.0,8.0,9.0
4347,2.0,0.0,5.0,1.0,4.0,6.0,3.0,7.0,9.0,10.0,8.0
4396,0.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,10.0,9.0,8.0
4445,1.0,0.0,2.0,3.0,4.0,9.0,7.0,5.0,6.0,8.0,10.0
4494,3.0,0.0,1.0,5.0,2.0,6.0,7.0,4.0,9.0,10.0,8.0
4543,2.0,0.0,1.0,5.0,3.0,4.0,6.0,7.0,9.0,8.0,10.0
4592,5.0,1.0,2.0,3.0,0.0,4.0,10.0,7.0,6.0,8.0,9.0
4641,1.0,0.0,3.0,6.0,2.0,5.0,7.0,4.0,9.0,8.0,10.0
4690,7.0,0.0,1.0,2.0,4.0,3.0,6.0,5.0,8.0,9.0,10.0
4739,1.0,0.0,2.0,4.0,6.0,3.0,9.0,7.0,5.0,8.0,10.0
4788,2.0,0.0,1.0,4.0,3.0,5.0,6.0,8.0,7.0,10.0,9.0
4837,1.0,0.0,5.0,3.0,2.0,4.0,9.0,7.0,6.0,10.0,8.0
4886,5.0,0.0,1.0,2.0,3.0,4.0,7.0,8.0,6.0,10.0,9.0
