,MEK1_pS217_S221,A-Raf_pS299,Akt_pS473,Annexin_VII,CDK1,SHP-2_pY542,GAPDH,VAV1,PDK1,Bcl-2,Src,Claudin-7,RAD51,PDK1_pS241,p70S6K_pT389,XBP1,p90RSK_pT359_S363,AR,GATA3,ACC1,Chk2,TIGAR,VEGFR2,Shc_pY317,Rab25,PRAS40_pT246,MIG-6,PI3K-p85,Rictor_pT1135,Caveolin-1
0,0.0,2.0,1.0,14.0,43.0,13.0,116.0,6.0,4.0,73.0,66.0,19.0,108.0,3.0,40.0,72.0,11.0,87.0,17.0,47.0,122.0,9.0,85.0,51.0,30.0,26.0,57.0,101.0,44.0,20.0
49,0.0,3.0,7.0,19.0,16.0,4.0,61.0,32.0,14.0,1.0,18.0,2.0,11.0,36.0,41.0,71.0,12.0,85.0,73.0,13.0,130.0,10.0,103.0,59.0,84.0,89.0,72.0,63.0,124.0,22.0
98,0.0,2.0,1.0,12.0,3.0,13.0,73.0,34.0,26.0,11.0,4.0,10.0,37.0,41.0,18.0,148.0,89.0,115.0,59.0,7.0,116.0,127.0,22.0,55.0,19.0,53.0,71.0,33.0,105.0,16.0
147,0.0,4.0,11.0,1.0,3.0,2.0,94.0,26.0,8.0,18.0,10.0,5.0,20.0,77.0,13.0,73.0,24.0,80.0,15.0,35.0,72.0,53.0,102.0,21.0,42.0,142.0,46.0,23.0,43.0,7.0
196,0.0,1.0,3.0,2.0,4.0,8.0,6.0,52.0,34.0,5.0,32.0,9.0,46.0,24.0,113.0,153.0,71.0,102.0,69.0,105.0,61.0,26.0,62.0,11.0,14.0,133.0,30.0,95.0,107.0,68.0
245,2.0,0.0,7.0,8.0,100.0,3.0,10.0,61.0,16.0,1.0,23.0,9.0,53.0,26.0,31.0,50.0,12.0,65.0,43.0,4.0,137.0,164.0,54.0,86.0,32.0,143.0,146.0,17.0,67.0,46.0
294,0.0,1.0,37.0,4.0,6.0,12.0,62.0,88.0,36.0,8.0,22.0,16.0,3.0,10.0,64.0,127.0,89.0,17.0,52.0,7.0,93.0,26.0,42.0,125.0,81.0,82.0,9.0,71.0,29.0,108.0
343,1.0,6.0,0.0,4.0,8.0,5.0,35.0,10.0,36.0,3.0,11.0,26.0,13.0,7.0,29.0,112.0,9.0,14.0,44.0,23.0,73.0,20.0,34.0,146.0,55.0,139.0,30.0,81.0,96.0,59.0
392,1.0,0.0,5.0,3.0,7.0,4.0,31.0,37.0,46.0,23.0,45.0,14.0,18.0,87.0,9.0,19.0,32.0,33.0,110.0,16.0,98.0,42.0,52.0,28.0,10.0,40.0,41.0,164.0,21.0,47.0
441,2.0,0.0,3.0,1.0,7.0,10.0,140.0,27.0,29.0,37.0,121.0,9.0,43.0,6.0,52.0,14.0,11.0,13.0,8.0,40.0,44.0,18.0,130.0,36.0,41.0,98.0,24.0,4.0,106.0,82.0
