,GPR35,GNA12,ETV4,SYNC,ZNF793,VPS37B,EHF,MAGEE1,UCHL1,IL20RA,VILL,MLTK,MC5R,SH3TC2,RP11-114H23.1,TMEM132A,CD99L2,RAB30,DIAPH2-AS1,AC005624.2,PCDH1,S100A6,FAT4,ALG1L2,ARRDC1,SPECC1L,APLP1,DUSP6,RP11-366L5.1,TMC6
11,2.0,7.0,4.0,3.0,5.0,33.0,0.0,47.0,11.0,48.0,27.0,43.0,56.0,21853.0,15.0,1.0,114.0,26.0,19.0,64.0,28.0,23.0,18.0,150.0,20598.0,246.0,42.0,6329.0,204.0,11734.0
60,1.0,55.0,10.0,2.0,11.0,57.0,5.0,7.0,4.0,50.0,0.0,109.0,64.0,20885.0,22.0,9.0,13.0,24.0,44.0,18.0,30.0,51.0,36.0,14693.0,87.0,99.0,6.0,34.0,61.0,224.0
109,1.0,2.0,4.0,7.0,6.0,69.0,30.0,13.0,10.0,0.0,14.0,13240.0,85.0,3.0,17.0,23.0,20.0,37.0,56.0,5.0,46.0,121.0,29.0,2262.0,38.0,74.0,25.0,6957.0,15.0,931.0
158,1.0,4.0,3.0,0.0,6.0,16.0,2.0,10.0,55.0,14.0,15.0,28.0,104.0,2118.0,44.0,21.0,24.0,32.0,34.0,43.0,5.0,29.0,65.0,14694.0,48.0,13.0,8.0,17.0,11.0,171.0
207,0.0,23.0,2.0,1.0,3.0,12.0,13.0,16.0,6.0,7.0,9.0,80.0,24.0,10.0,19.0,25.0,20.0,8.0,11.0,11388.0,54.0,39.0,1747.0,14705.0,50.0,14.0,28.0,17.0,40.0,11828.0
256,0.0,5.0,9.0,1.0,10.0,15.0,32.0,6.0,16.0,14.0,3.0,12.0,7.0,2.0,4.0,29.0,27.0,21.0,8.0,30.0,11.0,98.0,72.0,14692.0,70.0,22.0,38.0,40.0,13454.0,62.0
305,3.0,0.0,8.0,2.0,10.0,46.0,112.0,11.0,1.0,13.0,4.0,152.0,18.0,16.0,67.0,17.0,143.0,50.0,32.0,7.0,68.0,134.0,14318.0,211.0,20371.0,9051.0,14.0,282.0,76.0,11889.0
354,1.0,4.0,28.0,2.0,10.0,54.0,81.0,17.0,39.0,21.0,3.0,9.0,6.0,22.0,8.0,11.0,20.0,35.0,16.0,30.0,73.0,264.0,14325.0,14786.0,209.0,153.0,34.0,281.0,78.0,11769.0
403,0.0,3.0,17.0,6.0,20.0,15.0,11.0,4.0,24.0,13.0,166.0,31.0,18.0,80.0,14.0,7.0,27.0,1.0,32.0,5.0,8.0,12.0,14336.0,948.0,94.0,218.0,22.0,16.0,50.0,11888.0
452,2.0,160.0,9.0,6.0,123.0,40.0,33.0,0.0,18.0,34.0,110.0,13267.0,92.0,7.0,41.0,3.0,22.0,26.0,28.0,38.0,5.0,4.0,2356.0,97.0,47.0,9027.0,32.0,17.0,13.0,11767.0
501,4.0,9.0,21.0,37.0,5.0,100.0,182.0,88.0,26.0,58.0,19.0,3.0,20.0,0.0,22.0,15.0,18.0,24.0,46.0,10.0,2.0,12.0,16.0,14812.0,103.0,29.0,7889.0,56.0,92.0,44.0
550,3.0,47.0,24.0,5.0,9.0,19.0,5062.0,15.0,43.0,59.0,2.0,7.0,123.0,1649.0,0.0,34.0,22.0,32.0,48.0,1.0,8.0,51.0,11.0,35.0,49.0,79.0,57.0,87.0,65.0,31.0
599,2.0,107.0,0.0,13.0,15.0,14.0,75.0,21.0,16.0,4.0,20.0,39.0,19.0,23.0,1.0,37.0,33.0,66.0,31.0,25.0,6.0,8.0,14365.0,89.0,43.0,122.0,7902.0,6969.0,13697.0,78.0
648,5.0,66.0,1.0,38.0,13.0,111.0,26.0,14.0,10.0,9.0,8.0,16.0,87.0,178.0,58.0,61.0,7.0,73.0,42.0,0.0,4.0,70.0,92.0,12.0,34.0,222.0,11551.0,208.0,20.0,116.0
697,3.0,47.0,1.0,11.0,185.0,14.0,256.0,10.0,21.0,13.0,5.0,9.0,15.0,30.0,24.0,70.0,36.0,62.0,108.0,7.0,2.0,29.0,40.0,97.0,106.0,235.0,25.0,6951.0,17.0,80.0
746,0.0,132.0,3.0,10.0,2.0,48.0,72.0,1.0,28.0,9.0,12471.0,21.0,12.0,94.0,14.0,31.0,4.0,43.0,15.0,32.0,11.0,88.0,7.0,68.0,80.0,102.0,176.0,22.0,60.0,211.0
795,0.0,123.0,8.0,5.0,162.0,5184.0,4.0,14.0,31.0,94.0,1.0,10.0,15.0,289.0,3.0,19.0,2.0,45.0,37.0,12.0,7.0,126.0,34.0,64.0,41.0,91.0,95.0,5703.0,13253.0,25.0
844,4.0,3.0,0.0,8.0,23.0,5.0,73.0,2.0,18.0,6.0,42.0,426.0,29.0,21768.0,11.0,47.0,19.0,40.0,55.0,52.0,1.0,41.0,76.0,62.0,56.0,94.0,189.0,24.0,13.0,57.0
893,1.0,40.0,14.0,11.0,123.0,10.0,275.0,35.0,45.0,7.0,29.0,8.0,37.0,20873.0,60.0,61.0,67.0,108.0,73.0,54.0,2.0,43.0,757.0,34.0,82.0,140.0,7892.0,36.0,53.0,299.0
