,CARD8,LGR4,NPC2,ARHGAP23,RIOK1,SOX7,RP11-550I24.2,HECA,ARHGDIB,GPR128,PSMG4,IDE,HHEX,LRRC70,B3GALT4,AC092798.2,RP11-800A18.4,N4BP2L1,NUPR1,ALDH1L1,LCA5L,NR2C1,FGFR4,CCNDBP1,LINC00649,GNAZ,VWA7,RRP36,ACYP2,FOXA2
11,25.0,12.0,320.0,510.0,443.0,390.0,29.0,2509.0,17.0,41.0,379.0,503.0,28.0,515.0,430.0,120.0,876.0,1651.0,10721.0,1508.0,7628.0,194.0,914.0,330.0,27.0,9.0,92.0,21702.0,930.0,228.0
60,3.0,16.0,271.0,10369.0,69.0,15.0,167.0,17.0,66.0,590.0,174.0,36.0,144.0,23.0,21053.0,104.0,665.0,98.0,43.0,4.0,7602.0,125.0,20978.0,4105.0,7632.0,705.0,397.0,22950.0,16779.0,18.0
109,38.0,5.0,1708.0,572.0,40.0,1288.0,159.0,6.0,457.0,22.0,216.0,269.0,20411.0,57.0,48.0,878.0,80.0,1221.0,874.0,688.0,704.0,370.0,4.0,1546.0,8285.0,8650.0,349.0,331.0,17508.0,10.0
158,42.0,3740.0,269.0,10361.0,100.0,199.0,76.0,7.0,169.0,299.0,20715.0,476.0,93.0,398.0,142.0,222.0,1102.0,1837.0,531.0,45.0,364.0,303.0,613.0,4462.0,787.0,677.0,465.0,915.0,16703.0,10.0
207,60.0,53.0,167.0,848.0,92.0,18665.0,2.0,160.0,7070.0,256.0,1439.0,26.0,19348.0,267.0,198.0,6.0,301.0,5222.0,10783.0,32.0,7640.0,5798.0,85.0,254.0,259.0,9279.0,381.0,486.0,262.0,17.0
256,4.0,68.0,209.0,12078.0,128.0,18800.0,14.0,7.0,482.0,472.0,58.0,19412.0,202.0,365.0,21107.0,23.0,11617.0,122.0,10632.0,51.0,308.0,7170.0,1794.0,1629.0,8875.0,563.0,34.0,22964.0,16734.0,46.0
305,231.0,66.0,279.0,166.0,69.0,137.0,186.0,562.0,330.0,418.0,29.0,302.0,298.0,21703.0,111.0,12837.0,75.0,6117.0,617.0,1.0,7600.0,251.0,6.0,4044.0,1665.0,9276.0,77.0,484.0,16789.0,618.0
354,65.0,47.0,3309.0,10375.0,151.0,466.0,226.0,0.0,245.0,13040.0,354.0,413.0,25.0,7.0,21111.0,114.0,92.0,1516.0,478.0,14773.0,9385.0,44.0,80.0,1432.0,7599.0,31.0,318.0,22968.0,16747.0,182.0
403,90.0,9.0,219.0,6.0,13.0,18808.0,220.0,7.0,6884.0,30.0,1194.0,19471.0,207.0,65.0,88.0,12832.0,993.0,5494.0,10740.0,232.0,9409.0,2499.0,225.0,3366.0,1492.0,9311.0,21103.0,22939.0,16713.0,7255.0
452,11.0,12.0,113.0,10437.0,20728.0,114.0,81.0,1.0,27.0,24.0,14.0,19358.0,19355.0,23.0,137.0,86.0,411.0,5334.0,589.0,21.0,7620.0,85.0,46.0,3382.0,7635.0,10.0,342.0,21112.0,57.0,436.0
501,14.0,883.0,92.0,210.0,60.0,148.0,158.0,116.0,418.0,23.0,56.0,1565.0,39.0,159.0,21070.0,196.0,155.0,380.0,234.0,46.0,9420.0,201.0,2.0,625.0,1078.0,93.0,124.0,4.0,18.0,7431.0
