,DHAP/glyceraldehyde 3P,serotonin,inositol,C36:4 PC-B,C18:0 LPE,C22:6 LPC,C56:5 TAG,C20:4 CE,GABA,isocitrate,adenosine,taurodeoxycholate,butyrylcarnitine/isobutyrylcarnitine,putrescine,phosphocreatine,cotinine,NADP,glutamine,N-carbamoyl-beta-alanine,serine,beta-alanine,hypoxanthine,2-deoxyadenosine,alpha-glycerophosphocholine,valerylcarnitine,alpha-hydroxybutyrate,hippurate,uridine,palmitoylcarnitine,niacinamide
23,3.0,1.0,5.0,6.0,12.0,2.0,4.0,11.0,13.0,9.0,10.0,21.0,0.0,7.0,23.0,31.0,29.0,27.0,8.0,16.0,15.0,17.0,24.0,22.0,19.0,14.0,30.0,25.0,18.0,48.0
72,2.0,9.0,3.0,4.0,1.0,10.0,0.0,15.0,6.0,16.0,17.0,28.0,7.0,12.0,5.0,30.0,21.0,19.0,8.0,11.0,14.0,20.0,26.0,18.0,23.0,27.0,29.0,13.0,25.0,42.0
121,1.0,3.0,0.0,7.0,6.0,11.0,2.0,12.0,9.0,4.0,10.0,27.0,8.0,13.0,15.0,19.0,22.0,18.0,17.0,16.0,20.0,5.0,35.0,14.0,32.0,25.0,31.0,29.0,30.0,42.0
170,0.0,4.0,5.0,3.0,2.0,6.0,8.0,19.0,12.0,1.0,14.0,17.0,7.0,13.0,9.0,32.0,22.0,20.0,11.0,16.0,29.0,10.0,30.0,31.0,28.0,24.0,46.0,18.0,15.0,25.0
219,1.0,2.0,0.0,13.0,3.0,6.0,7.0,15.0,8.0,10.0,20.0,22.0,5.0,9.0,11.0,35.0,28.0,26.0,17.0,16.0,21.0,4.0,18.0,19.0,29.0,25.0,27.0,32.0,14.0,40.0
268,2.0,9.0,4.0,3.0,6.0,5.0,0.0,17.0,1.0,7.0,11.0,15.0,10.0,8.0,18.0,22.0,40.0,27.0,13.0,16.0,20.0,21.0,12.0,25.0,24.0,29.0,37.0,34.0,19.0,46.0
317,0.0,8.0,11.0,4.0,1.0,10.0,3.0,18.0,9.0,6.0,13.0,34.0,2.0,7.0,14.0,46.0,20.0,30.0,5.0,23.0,16.0,21.0,22.0,12.0,24.0,15.0,38.0,32.0,19.0,42.0
366,0.0,2.0,3.0,1.0,9.0,4.0,5.0,13.0,6.0,7.0,19.0,25.0,17.0,16.0,15.0,41.0,10.0,30.0,12.0,26.0,21.0,18.0,8.0,32.0,11.0,14.0,44.0,22.0,33.0,43.0
415,5.0,1.0,2.0,8.0,4.0,11.0,0.0,14.0,13.0,3.0,6.0,27.0,7.0,15.0,9.0,33.0,19.0,20.0,10.0,12.0,18.0,21.0,16.0,17.0,25.0,24.0,42.0,29.0,22.0,35.0
464,1.0,8.0,0.0,7.0,3.0,10.0,2.0,23.0,9.0,4.0,17.0,14.0,5.0,6.0,15.0,34.0,25.0,24.0,20.0,12.0,18.0,22.0,16.0,13.0,19.0,27.0,46.0,21.0,11.0,26.0
513,6.0,4.0,0.0,5.0,8.0,2.0,1.0,9.0,7.0,10.0,13.0,17.0,12.0,3.0,40.0,27.0,16.0,14.0,11.0,24.0,18.0,32.0,21.0,26.0,28.0,35.0,15.0,39.0,36.0,29.0
