, MAPK_PI3K, JAK-STAT, TGFB, H2O2, TLR, PI3K_only, IL-1, MAPK_only, TNFa, VEGF, Wnt
2882,2.0,1.0,0.0,4.0,6.0,7.0,8.0,5.0,9.0,3.0,10.0
2931,6.0,1.0,0.0,2.0,9.0,10.0,7.0,5.0,3.0,4.0,8.0
2980,0.0,1.0,2.0,4.0,3.0,10.0,6.0,7.0,5.0,8.0,9.0
3029,0.0,1.0,7.0,2.0,3.0,4.0,9.0,5.0,8.0,6.0,10.0
3078,0.0,2.0,3.0,1.0,5.0,10.0,4.0,7.0,9.0,8.0,6.0
3127,0.0,4.0,3.0,2.0,8.0,5.0,1.0,7.0,10.0,6.0,9.0
3176,0.0,1.0,10.0,2.0,4.0,7.0,5.0,6.0,3.0,9.0,8.0
3225,0.0,2.0,8.0,1.0,3.0,5.0,9.0,4.0,6.0,10.0,7.0
3274,5.0,0.0,1.0,3.0,6.0,8.0,2.0,4.0,7.0,9.0,10.0
3323,0.0,1.0,5.0,6.0,4.0,9.0,2.0,3.0,7.0,8.0,10.0
3372,0.0,5.0,9.0,7.0,3.0,6.0,4.0,8.0,1.0,2.0,10.0
3421,0.0,2.0,5.0,4.0,9.0,8.0,6.0,3.0,1.0,10.0,7.0
3470,0.0,1.0,7.0,5.0,2.0,3.0,6.0,4.0,9.0,8.0,10.0
3519,0.0,1.0,2.0,10.0,8.0,9.0,4.0,6.0,5.0,3.0,7.0
3568,0.0,3.0,6.0,1.0,4.0,8.0,5.0,9.0,7.0,10.0,2.0
3617,0.0,1.0,3.0,8.0,5.0,7.0,2.0,6.0,4.0,9.0,10.0
3666,0.0,6.0,10.0,1.0,7.0,3.0,5.0,4.0,2.0,8.0,9.0
3715,0.0,4.0,1.0,5.0,3.0,6.0,2.0,8.0,10.0,7.0,9.0
3764,0.0,1.0,2.0,3.0,10.0,5.0,4.0,7.0,9.0,6.0,8.0
3813,5.0,0.0,2.0,1.0,9.0,3.0,8.0,6.0,4.0,10.0,7.0
3862,6.0,3.0,1.0,0.0,5.0,8.0,2.0,7.0,4.0,9.0,10.0
3911,0.0,2.0,4.0,1.0,5.0,6.0,3.0,10.0,7.0,8.0,9.0
3960,0.0,1.0,3.0,2.0,9.0,5.0,4.0,7.0,6.0,8.0,10.0
4009,0.0,1.0,2.0,3.0,8.0,6.0,5.0,4.0,9.0,10.0,7.0
4058,0.0,1.0,2.0,6.0,8.0,4.0,5.0,7.0,9.0,3.0,10.0
4107,6.0,0.0,1.0,2.0,7.0,9.0,3.0,4.0,5.0,10.0,8.0
4156,8.0,0.0,1.0,4.0,3.0,9.0,2.0,10.0,7.0,5.0,6.0
4205,4.0,0.0,1.0,2.0,9.0,8.0,10.0,7.0,3.0,5.0,6.0
4254,9.0,1.0,0.0,2.0,4.0,3.0,6.0,5.0,8.0,10.0,7.0
4303,0.0,1.0,2.0,4.0,9.0,3.0,5.0,7.0,8.0,10.0,6.0
4352,0.0,1.0,2.0,9.0,6.0,3.0,5.0,7.0,4.0,8.0,10.0
4401,1.0,0.0,3.0,2.0,10.0,6.0,4.0,7.0,5.0,9.0,8.0
4450,0.0,7.0,1.0,2.0,5.0,3.0,4.0,6.0,10.0,8.0,9.0
4499,2.0,1.0,4.0,0.0,9.0,5.0,10.0,6.0,3.0,7.0,8.0
4548,0.0,1.0,8.0,3.0,5.0,6.0,7.0,4.0,9.0,2.0,10.0
4597,2.0,0.0,1.0,4.0,10.0,3.0,5.0,6.0,8.0,7.0,9.0
4646,0.0,4.0,1.0,5.0,8.0,3.0,7.0,2.0,6.0,9.0,10.0
4695,3.0,1.0,2.0,8.0,6.0,4.0,5.0,0.0,9.0,7.0,10.0
4744,1.0,2.0,3.0,7.0,8.0,4.0,0.0,5.0,9.0,10.0,6.0
4793,0.0,2.0,3.0,1.0,6.0,4.0,7.0,5.0,10.0,9.0,8.0
4842,1.0,0.0,3.0,9.0,5.0,4.0,6.0,2.0,7.0,10.0,8.0
4891,2.0,0.0,4.0,5.0,7.0,9.0,8.0,3.0,6.0,1.0,10.0
