,putrescine,inositol,beta-alanine,DHAP/glyceraldehyde 3P,butyrylcarnitine/isobutyrylcarnitine,creatine,GABA,niacinamide,adenosine,pyroglutamic acid,glutamine,C56:5 TAG,C36:4 PC-B,C34:2 DAG,C20:4 CE,valerylcarnitine,C18:0 LPC,isocitrate,C22:6 LPC,hypoxanthine,serine,serotonin,C18:0 LPE,dCMP,NADP,5-HIAA,alpha-hydroxybutyrate,2-deoxyadenosine,C34:4 PC,palmitoylcarnitine
22,0.0,1.0,2.0,5.0,6.0,8.0,3.0,9.0,10.0,14.0,12.0,7.0,22.0,29.0,18.0,42.0,4.0,11.0,15.0,44.0,13.0,41.0,24.0,28.0,21.0,16.0,20.0,27.0,19.0,34.0
71,0.0,3.0,13.0,6.0,1.0,7.0,21.0,9.0,12.0,17.0,14.0,4.0,34.0,46.0,15.0,20.0,5.0,2.0,18.0,10.0,30.0,54.0,55.0,11.0,27.0,8.0,28.0,19.0,23.0,24.0
120,0.0,2.0,3.0,8.0,14.0,12.0,6.0,11.0,7.0,10.0,13.0,9.0,16.0,34.0,5.0,20.0,4.0,18.0,15.0,23.0,28.0,56.0,40.0,1.0,17.0,21.0,37.0,29.0,24.0,31.0
169,0.0,1.0,3.0,6.0,2.0,10.0,8.0,9.0,15.0,4.0,12.0,13.0,20.0,26.0,5.0,29.0,7.0,16.0,11.0,52.0,31.0,36.0,32.0,27.0,25.0,14.0,24.0,28.0,39.0,17.0
218,1.0,0.0,2.0,3.0,4.0,19.0,16.0,6.0,7.0,12.0,10.0,5.0,14.0,24.0,8.0,22.0,11.0,17.0,13.0,31.0,20.0,39.0,40.0,9.0,18.0,15.0,25.0,35.0,21.0,27.0
267,0.0,3.0,5.0,12.0,4.0,9.0,1.0,14.0,2.0,8.0,21.0,22.0,15.0,17.0,13.0,24.0,6.0,7.0,23.0,33.0,18.0,32.0,42.0,25.0,11.0,16.0,10.0,34.0,31.0,28.0
316,0.0,1.0,19.0,7.0,3.0,12.0,2.0,11.0,8.0,14.0,9.0,20.0,34.0,24.0,21.0,36.0,10.0,5.0,13.0,51.0,6.0,56.0,46.0,15.0,23.0,4.0,16.0,42.0,28.0,27.0
365,0.0,1.0,2.0,5.0,7.0,11.0,4.0,17.0,6.0,12.0,8.0,14.0,15.0,22.0,16.0,19.0,3.0,21.0,13.0,45.0,9.0,55.0,31.0,10.0,23.0,18.0,26.0,35.0,37.0,20.0
414,0.0,1.0,3.0,2.0,4.0,8.0,7.0,9.0,13.0,12.0,18.0,17.0,14.0,26.0,30.0,27.0,10.0,5.0,11.0,33.0,16.0,42.0,28.0,6.0,38.0,15.0,23.0,36.0,34.0,21.0
463,1.0,4.0,3.0,9.0,11.0,5.0,10.0,8.0,0.0,19.0,12.0,17.0,22.0,27.0,7.0,28.0,2.0,13.0,15.0,30.0,23.0,53.0,46.0,18.0,47.0,6.0,24.0,50.0,14.0,26.0
512,1.0,4.0,10.0,3.0,0.0,2.0,11.0,5.0,26.0,12.0,9.0,16.0,23.0,7.0,6.0,21.0,13.0,27.0,25.0,15.0,17.0,37.0,24.0,31.0,18.0,55.0,28.0,19.0,22.0,53.0
561,14.0,7.0,1.0,0.0,4.0,6.0,24.0,3.0,5.0,22.0,15.0,33.0,17.0,9.0,2.0,19.0,31.0,27.0,16.0,37.0,10.0,29.0,28.0,13.0,11.0,35.0,8.0,23.0,30.0,38.0
610,2.0,5.0,4.0,0.0,1.0,6.0,3.0,7.0,14.0,12.0,20.0,9.0,10.0,8.0,11.0,17.0,27.0,23.0,26.0,15.0,22.0,25.0,29.0,56.0,24.0,47.0,19.0,41.0,46.0,18.0
659,0.0,1.0,4.0,2.0,5.0,9.0,17.0,3.0,23.0,7.0,28.0,6.0,16.0,10.0,14.0,11.0,18.0,25.0,29.0,26.0,13.0,19.0,20.0,33.0,8.0,32.0,24.0,21.0,40.0,31.0
