,hsa-miR-548d-3p,hsa-miR-892a,hsa-miR-508-3p,hsa-miR-574-5p,hsa-miR-921,hsa-miR-223,hsa-miR-590-5p,hsa-miR-1245,hcmv-miR-US25-2-5p,hsa-miR-591,hsa-miR-222,hsa-miR-186,hsa-miR-548c-5p,hsa-miR-27b,hsa-miR-765,hsa-miR-31,hsa-miR-597,hsa-miR-135b,hsa-miR-323-5p,hsa-miR-711,hsa-miR-33b,hsa-miR-645,hsa-miR-296-5p,hsa-miR-658,hsa-miR-155,hsa-miR-508-5p,hsa-miR-556-3p,hsa-miR-320c,hsa-miR-596,hsa-miR-1233
16,2.0,0.0,3.0,1.0,11.0,39.0,4.0,41.0,21.0,7.0,5.0,14.0,8.0,254.0,29.0,9.0,16.0,10.0,13.0,17.0,19.0,12.0,6.0,32.0,63.0,49.0,25.0,110.0,38.0,46.0
65,0.0,1.0,10.0,8.0,2.0,29.0,4.0,12.0,9.0,3.0,20.0,5.0,11.0,110.0,15.0,77.0,6.0,19.0,16.0,49.0,26.0,30.0,21.0,60.0,18.0,126.0,233.0,115.0,7.0,50.0
114,0.0,2.0,7.0,6.0,18.0,14.0,1.0,72.0,49.0,4.0,47.0,8.0,5.0,19.0,15.0,17.0,12.0,115.0,20.0,22.0,10.0,16.0,34.0,65.0,108.0,95.0,118.0,99.0,9.0,26.0
163,0.0,6.0,3.0,19.0,5.0,16.0,26.0,50.0,51.0,4.0,36.0,7.0,32.0,116.0,10.0,2.0,18.0,60.0,20.0,30.0,14.0,15.0,1.0,9.0,44.0,42.0,65.0,296.0,22.0,8.0
212,0.0,2.0,1.0,4.0,7.0,20.0,3.0,59.0,54.0,9.0,12.0,5.0,88.0,60.0,82.0,8.0,15.0,42.0,165.0,34.0,39.0,95.0,6.0,13.0,212.0,43.0,58.0,80.0,31.0,10.0
261,5.0,0.0,4.0,15.0,1.0,30.0,3.0,41.0,12.0,10.0,71.0,6.0,7.0,23.0,34.0,18.0,8.0,22.0,14.0,43.0,17.0,9.0,2.0,77.0,70.0,52.0,108.0,116.0,13.0,24.0
310,1.0,0.0,5.0,7.0,2.0,19.0,6.0,26.0,44.0,12.0,16.0,15.0,13.0,17.0,27.0,22.0,10.0,25.0,14.0,20.0,36.0,9.0,3.0,33.0,124.0,58.0,21.0,110.0,8.0,4.0
359,0.0,3.0,1.0,6.0,2.0,28.0,4.0,52.0,55.0,7.0,14.0,5.0,26.0,38.0,19.0,15.0,8.0,33.0,9.0,43.0,25.0,10.0,22.0,23.0,127.0,56.0,53.0,96.0,16.0,29.0
408,0.0,2.0,4.0,10.0,3.0,31.0,1.0,44.0,12.0,5.0,22.0,9.0,24.0,76.0,18.0,16.0,25.0,30.0,11.0,8.0,15.0,7.0,6.0,14.0,46.0,29.0,56.0,88.0,13.0,83.0
457,1.0,8.0,4.0,5.0,0.0,16.0,3.0,30.0,7.0,24.0,26.0,13.0,19.0,6.0,39.0,2.0,10.0,60.0,18.0,46.0,40.0,58.0,22.0,106.0,44.0,32.0,153.0,105.0,21.0,9.0
506,0.0,4.0,12.0,3.0,2.0,7.0,37.0,10.0,13.0,28.0,22.0,9.0,1.0,242.0,54.0,5.0,61.0,24.0,158.0,48.0,14.0,32.0,8.0,56.0,26.0,15.0,80.0,35.0,53.0,16.0
555,8.0,0.0,6.0,3.0,11.0,1.0,48.0,21.0,13.0,7.0,2.0,5.0,12.0,35.0,46.0,25.0,34.0,19.0,274.0,20.0,38.0,53.0,16.0,22.0,15.0,42.0,115.0,51.0,54.0,23.0
604,4.0,0.0,13.0,1.0,7.0,2.0,28.0,9.0,6.0,10.0,15.0,3.0,31.0,24.0,68.0,22.0,25.0,48.0,52.0,50.0,8.0,27.0,84.0,33.0,17.0,36.0,195.0,82.0,89.0,39.0
653,4.0,1.0,10.0,19.0,52.0,0.0,21.0,8.0,44.0,23.0,9.0,2.0,11.0,83.0,38.0,128.0,14.0,33.0,108.0,42.0,6.0,53.0,16.0,54.0,15.0,66.0,30.0,51.0,46.0,47.0
702,0.0,2.0,6.0,21.0,7.0,1.0,42.0,11.0,4.0,13.0,17.0,3.0,16.0,8.0,166.0,39.0,27.0,12.0,56.0,48.0,59.0,33.0,14.0,75.0,19.0,46.0,31.0,87.0,93.0,74.0
751,5.0,1.0,30.0,12.0,2.0,0.0,14.0,3.0,7.0,26.0,50.0,24.0,15.0,4.0,95.0,6.0,46.0,16.0,102.0,17.0,40.0,32.0,35.0,152.0,9.0,34.0,306.0,56.0,71.0,33.0
800,2.0,0.0,9.0,3.0,19.0,1.0,42.0,8.0,4.0,24.0,12.0,20.0,16.0,14.0,86.0,5.0,10.0,37.0,61.0,90.0,13.0,73.0,87.0,69.0,26.0,34.0,68.0,64.0,27.0,28.0
849,2.0,0.0,19.0,39.0,3.0,1.0,26.0,12.0,13.0,41.0,7.0,22.0,6.0,11.0,112.0,38.0,20.0,16.0,131.0,9.0,5.0,45.0,125.0,87.0,24.0,32.0,25.0,57.0,40.0,8.0
898,2.0,3.0,11.0,5.0,0.0,1.0,30.0,57.0,20.0,10.0,14.0,7.0,24.0,18.0,90.0,13.0,56.0,12.0,133.0,31.0,16.0,6.0,29.0,70.0,23.0,32.0,119.0,52.0,43.0,17.0
947,3.0,0.0,33.0,7.0,8.0,1.0,65.0,36.0,13.0,26.0,6.0,4.0,16.0,30.0,18.0,9.0,35.0,23.0,80.0,74.0,11.0,42.0,113.0,38.0,43.0,55.0,158.0,136.0,49.0,5.0
996,0.0,14.0,6.0,1.0,4.0,16.0,13.0,8.0,11.0,10.0,17.0,25.0,5.0,27.0,20.0,12.0,7.0,48.0,19.0,82.0,37.0,87.0,80.0,92.0,2.0,57.0,78.0,26.0,88.0,32.0
1045,0.0,7.0,1.0,8.0,10.0,12.0,4.0,15.0,6.0,17.0,3.0,32.0,5.0,31.0,110.0,108.0,16.0,28.0,11.0,25.0,21.0,43.0,254.0,73.0,9.0,52.0,46.0,34.0,41.0,123.0
1094,0.0,3.0,1.0,6.0,14.0,10.0,4.0,25.0,18.0,33.0,9.0,16.0,2.0,84.0,67.0,23.0,11.0,12.0,30.0,15.0,41.0,43.0,76.0,104.0,7.0,29.0,5.0,28.0,81.0,245.0
1143,1.0,21.0,6.0,2.0,0.0,42.0,24.0,7.0,3.0,18.0,9.0,11.0,30.0,8.0,27.0,14.0,10.0,93.0,17.0,44.0,25.0,136.0,185.0,71.0,4.0,68.0,104.0,37.0,102.0,46.0
1192,0.0,8.0,2.0,9.0,5.0,7.0,11.0,16.0,28.0,22.0,4.0,33.0,3.0,1.0,35.0,10.0,23.0,20.0,15.0,6.0,88.0,40.0,30.0,127.0,36.0,55.0,45.0,17.0,93.0,67.0
1241,0.0,20.0,3.0,1.0,2.0,13.0,14.0,9.0,5.0,19.0,4.0,24.0,8.0,12.0,11.0,37.0,16.0,17.0,50.0,10.0,30.0,99.0,146.0,80.0,22.0,54.0,51.0,36.0,190.0,92.0
1290,0.0,28.0,4.0,11.0,2.0,14.0,6.0,3.0,9.0,12.0,7.0,19.0,1.0,13.0,63.0,25.0,16.0,212.0,21.0,17.0,46.0,101.0,414.0,87.0,8.0,32.0,94.0,36.0,29.0,43.0
1339,0.0,6.0,8.0,9.0,1.0,3.0,7.0,12.0,13.0,16.0,10.0,38.0,2.0,5.0,15.0,11.0,14.0,22.0,30.0,18.0,39.0,70.0,65.0,85.0,4.0,41.0,82.0,23.0,108.0,126.0
1388,1.0,67.0,0.0,2.0,11.0,23.0,10.0,36.0,17.0,15.0,9.0,4.0,3.0,7.0,29.0,5.0,37.0,30.0,66.0,13.0,40.0,234.0,238.0,26.0,14.0,43.0,148.0,25.0,87.0,189.0
1437,0.0,2.0,3.0,4.0,19.0,7.0,5.0,10.0,26.0,6.0,24.0,29.0,1.0,9.0,14.0,25.0,12.0,82.0,41.0,116.0,31.0,152.0,18.0,86.0,21.0,80.0,8.0,60.0,47.0,40.0
1486,0.0,30.0,1.0,4.0,3.0,2.0,7.0,20.0,6.0,18.0,10.0,5.0,14.0,41.0,48.0,12.0,49.0,65.0,86.0,9.0,33.0,156.0,17.0,15.0,46.0,26.0,22.0,39.0,13.0,58.0
1535,3.0,4.0,0.0,9.0,11.0,2.0,7.0,12.0,1.0,29.0,6.0,13.0,8.0,35.0,5.0,34.0,20.0,16.0,70.0,19.0,62.0,72.0,45.0,18.0,41.0,48.0,47.0,93.0,15.0,202.0
1584,2.0,3.0,0.0,4.0,15.0,1.0,19.0,21.0,14.0,38.0,13.0,6.0,12.0,95.0,37.0,25.0,33.0,5.0,26.0,27.0,122.0,79.0,36.0,17.0,24.0,28.0,9.0,32.0,22.0,88.0
1633,0.0,15.0,1.0,3.0,21.0,6.0,10.0,50.0,2.0,5.0,9.0,13.0,18.0,230.0,4.0,22.0,72.0,28.0,37.0,49.0,130.0,87.0,35.0,8.0,51.0,12.0,57.0,32.0,52.0,261.0
1682,3.0,127.0,1.0,39.0,6.0,14.0,5.0,20.0,2.0,15.0,12.0,11.0,18.0,41.0,9.0,16.0,111.0,0.0,66.0,19.0,91.0,45.0,36.0,23.0,271.0,13.0,88.0,26.0,8.0,190.0
1731,7.0,3.0,0.0,4.0,21.0,1.0,5.0,63.0,6.0,13.0,9.0,2.0,138.0,57.0,12.0,14.0,68.0,10.0,23.0,108.0,48.0,142.0,8.0,11.0,112.0,22.0,141.0,38.0,17.0,135.0
1780,1.0,4.0,0.0,17.0,9.0,2.0,6.0,53.0,14.0,15.0,18.0,11.0,12.0,31.0,24.0,30.0,128.0,7.0,38.0,5.0,41.0,104.0,117.0,3.0,22.0,37.0,25.0,32.0,19.0,71.0
1829,3.0,15.0,0.0,5.0,39.0,2.0,4.0,30.0,1.0,11.0,21.0,10.0,48.0,46.0,19.0,14.0,141.0,7.0,25.0,23.0,55.0,33.0,65.0,6.0,153.0,28.0,17.0,51.0,18.0,43.0
1878,4.0,7.0,3.0,10.0,8.0,6.0,9.0,56.0,0.0,15.0,17.0,5.0,30.0,31.0,2.0,1.0,46.0,16.0,45.0,28.0,38.0,137.0,54.0,25.0,58.0,37.0,26.0,80.0,12.0,42.0
1927,1.0,2.0,0.0,20.0,17.0,3.0,4.0,54.0,61.0,26.0,5.0,6.0,92.0,156.0,48.0,14.0,70.0,9.0,73.0,39.0,84.0,130.0,16.0,7.0,163.0,25.0,29.0,27.0,28.0,11.0
1976,0.0,1.0,3.0,10.0,13.0,8.0,6.0,14.0,11.0,19.0,9.0,15.0,4.0,16.0,20.0,2.0,47.0,17.0,73.0,44.0,66.0,7.0,34.0,81.0,36.0,22.0,5.0,30.0,76.0,57.0
2025,4.0,0.0,1.0,3.0,8.0,7.0,5.0,22.0,11.0,21.0,30.0,18.0,6.0,23.0,77.0,16.0,14.0,31.0,15.0,9.0,35.0,10.0,87.0,47.0,95.0,27.0,2.0,52.0,28.0,58.0
2074,0.0,1.0,36.0,8.0,5.0,6.0,3.0,7.0,18.0,14.0,42.0,9.0,13.0,10.0,22.0,4.0,31.0,28.0,12.0,25.0,43.0,19.0,191.0,70.0,21.0,16.0,2.0,41.0,68.0,84.0
2123,1.0,0.0,2.0,4.0,21.0,11.0,15.0,12.0,6.0,8.0,16.0,13.0,5.0,7.0,54.0,3.0,24.0,17.0,20.0,39.0,64.0,14.0,31.0,70.0,32.0,18.0,10.0,65.0,128.0,44.0
2172,0.0,1.0,3.0,10.0,9.0,4.0,15.0,5.0,7.0,17.0,25.0,11.0,8.0,19.0,67.0,23.0,21.0,105.0,28.0,32.0,53.0,20.0,13.0,16.0,6.0,30.0,2.0,31.0,62.0,27.0
2221,0.0,1.0,2.0,6.0,9.0,5.0,7.0,14.0,25.0,24.0,16.0,8.0,10.0,3.0,28.0,22.0,20.0,11.0,18.0,12.0,153.0,13.0,33.0,44.0,26.0,36.0,4.0,51.0,64.0,34.0
2270,0.0,1.0,5.0,8.0,25.0,9.0,18.0,23.0,16.0,13.0,29.0,10.0,4.0,12.0,26.0,6.0,22.0,37.0,24.0,3.0,68.0,15.0,35.0,57.0,28.0,14.0,2.0,78.0,61.0,86.0
