,hsa-miR-584,hsa-miR-921,hsa-miR-137,hsa-miR-155,hsa-miR-105,hsa-miR-330-3p,hsa-miR-642,hsa-miR-1293,hsa-miR-223,hsa-miR-491-3p,hsa-miR-1321,hsa-miR-142-5p,hsa-miR-1245,hsa-miR-448,hsa-miR-934,hsa-miR-103,hsa-miR-541,hsa-miR-888,hsa-miR-556-3p,hsa-miR-630,hsa-miR-601,hsa-miR-762,hsa-miR-301b,hsa-miR-148b,hsa-miR-924,hsa-miR-181c,hsa-miR-1226,hsa-miR-383,kshv-miR-K12-2,hsa-miR-143
4426,1.0,10.0,3.0,7.0,53.0,5.0,0.0,24.0,31.0,35.0,19.0,37.0,21.0,54.0,4.0,60.0,29.0,77.0,26.0,2.0,9.0,17.0,36.0,8.0,57.0,12.0,38.0,56.0,23.0,34.0
4475,3.0,0.0,2.0,17.0,65.0,9.0,1.0,72.0,43.0,27.0,19.0,14.0,49.0,16.0,18.0,37.0,31.0,33.0,30.0,20.0,12.0,26.0,59.0,4.0,62.0,7.0,63.0,5.0,71.0,34.0
4524,1.0,3.0,11.0,9.0,17.0,5.0,0.0,92.0,66.0,4.0,36.0,22.0,43.0,20.0,33.0,15.0,7.0,73.0,14.0,23.0,16.0,28.0,27.0,12.0,41.0,19.0,45.0,25.0,40.0,24.0
4573,0.0,2.0,1.0,19.0,72.0,35.0,4.0,31.0,50.0,86.0,12.0,47.0,78.0,41.0,77.0,14.0,16.0,15.0,57.0,20.0,11.0,22.0,39.0,10.0,79.0,3.0,34.0,8.0,38.0,17.0
4622,0.0,2.0,1.0,9.0,26.0,17.0,3.0,35.0,64.0,8.0,12.0,30.0,61.0,63.0,46.0,40.0,28.0,32.0,25.0,14.0,6.0,21.0,29.0,7.0,44.0,18.0,33.0,4.0,38.0,34.0
4671,0.0,2.0,1.0,11.0,18.0,9.0,5.0,64.0,16.0,10.0,31.0,6.0,47.0,13.0,30.0,80.0,21.0,42.0,48.0,4.0,59.0,26.0,37.0,3.0,35.0,7.0,67.0,14.0,15.0,32.0
4720,0.0,3.0,2.0,22.0,44.0,6.0,1.0,90.0,68.0,5.0,10.0,25.0,75.0,33.0,8.0,72.0,4.0,70.0,38.0,11.0,13.0,12.0,91.0,18.0,71.0,24.0,111.0,14.0,17.0,41.0
4769,1.0,0.0,3.0,6.0,21.0,8.0,2.0,26.0,35.0,13.0,17.0,125.0,32.0,43.0,14.0,36.0,22.0,38.0,33.0,4.0,78.0,24.0,23.0,5.0,29.0,9.0,77.0,11.0,12.0,39.0
4818,0.0,3.0,2.0,10.0,22.0,44.0,1.0,42.0,74.0,45.0,5.0,14.0,54.0,28.0,39.0,35.0,9.0,66.0,12.0,33.0,15.0,11.0,88.0,4.0,59.0,21.0,60.0,20.0,7.0,70.0
4867,1.0,0.0,2.0,14.0,7.0,20.0,3.0,18.0,80.0,8.0,12.0,28.0,57.0,35.0,69.0,42.0,24.0,33.0,45.0,15.0,31.0,21.0,29.0,4.0,27.0,10.0,98.0,13.0,34.0,38.0
