, IL-1, JAK-STAT, Wnt, H2O2, MAPK_PI3K, PI3K_only, MAPK_only, TLR, TGFB, TNFa, VEGF
1021,1.0,2.0,0.0,8.0,4.0,3.0,9.0,5.0,6.0,7.0,10.0
1070,1.0,2.0,6.0,7.0,3.0,0.0,4.0,9.0,8.0,5.0,10.0
1119,2.0,3.0,1.0,5.0,7.0,0.0,6.0,8.0,4.0,10.0,9.0
1168,1.0,2.0,4.0,0.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0
1217,2.0,4.0,1.0,6.0,5.0,0.0,9.0,7.0,3.0,8.0,10.0
1266,5.0,3.0,4.0,7.0,2.0,1.0,9.0,6.0,0.0,8.0,10.0
1315,0.0,2.0,6.0,7.0,3.0,1.0,9.0,8.0,10.0,4.0,5.0
1364,1.0,6.0,2.0,8.0,0.0,5.0,7.0,4.0,3.0,9.0,10.0
1413,0.0,7.0,5.0,3.0,4.0,1.0,9.0,6.0,2.0,8.0,10.0
1462,0.0,5.0,3.0,4.0,7.0,2.0,6.0,1.0,9.0,8.0,10.0
1511,1.0,0.0,3.0,9.0,7.0,8.0,6.0,2.0,10.0,4.0,5.0
1560,10.0,1.0,2.0,9.0,5.0,4.0,3.0,0.0,7.0,8.0,6.0
1609,7.0,0.0,3.0,10.0,2.0,8.0,5.0,1.0,9.0,6.0,4.0
1658,5.0,0.0,1.0,8.0,4.0,9.0,3.0,2.0,10.0,6.0,7.0
1707,6.0,0.0,2.0,10.0,1.0,9.0,3.0,4.0,7.0,5.0,8.0
1756,0.0,2.0,5.0,9.0,4.0,7.0,3.0,1.0,8.0,10.0,6.0
1805,8.0,3.0,0.0,7.0,1.0,4.0,2.0,9.0,5.0,6.0,10.0
1854,1.0,2.0,4.0,8.0,0.0,9.0,5.0,3.0,7.0,6.0,10.0
1903,2.0,3.0,0.0,9.0,1.0,6.0,4.0,5.0,10.0,7.0,8.0
1952,0.0,2.0,7.0,10.0,1.0,9.0,8.0,3.0,5.0,4.0,6.0
2001,3.0,5.0,1.0,2.0,9.0,8.0,4.0,0.0,10.0,6.0,7.0
2050,3.0,5.0,0.0,2.0,7.0,8.0,9.0,1.0,4.0,6.0,10.0
2099,8.0,1.0,2.0,5.0,10.0,7.0,6.0,4.0,0.0,9.0,3.0
2148,5.0,3.0,2.0,1.0,4.0,7.0,9.0,6.0,0.0,10.0,8.0
2197,1.0,2.0,4.0,0.0,8.0,5.0,6.0,9.0,3.0,7.0,10.0
2246,1.0,3.0,0.0,6.0,9.0,4.0,8.0,10.0,2.0,5.0,7.0
2295,0.0,4.0,6.0,7.0,8.0,9.0,2.0,3.0,1.0,5.0,10.0
