,GPX3,ADORA1,SYTL1,PRKCH,FAM110C,NDN,LINC00942,RP11-390F4.3,DSG2,GPX1P1,AIF1L,CORO2A,SCEL,NLRP2,MFAP5,RP11-560J1.2,RP11-47I22.1,SULF2,MPP7,MBOAT1,CTD-2354A18.1,RTKN2,RNF224,NKX2-8,KCNK1,ZBED6CL,MYEOV,HMGA1P4,HTATSF1P2,SFTA1P
9,0.0,15.0,5.0,62.0,73.0,1.0,3.0,7.0,2.0,56.0,286.0,8.0,16.0,30.0,27.0,24.0,55.0,102.0,12.0,82.0,18.0,19.0,37.0,33.0,98.0,51.0,81.0,28.0,4.0,14.0
58,0.0,1.0,2.0,8.0,52.0,6.0,5.0,13.0,4.0,44.0,14.0,16.0,62.0,3.0,30.0,23.0,24.0,36.0,9.0,42.0,26.0,12.0,39.0,102.0,60.0,49.0,63.0,125.0,126.0,111.0
107,0.0,1.0,18.0,12.0,7.0,6.0,5.0,22.0,28.0,23.0,21.0,2.0,8.0,38.0,190.0,90.0,24.0,224.0,43.0,88.0,305.0,27.0,58.0,81.0,19.0,15.0,13.0,33.0,31.0,16.0
156,0.0,1.0,17.0,18.0,58.0,2.0,7.0,127.0,3.0,13.0,48.0,9.0,11.0,30.0,175.0,53.0,68.0,70.0,5.0,78.0,24.0,81.0,29.0,394.0,75.0,176.0,8.0,35.0,10.0,14.0
205,0.0,1.0,5.0,3.0,19.0,7.0,4.0,8.0,9.0,273.0,77.0,2.0,97.0,6.0,119.0,41.0,24.0,84.0,15.0,53.0,672.0,270.0,11.0,1232.0,65.0,16.0,40.0,33.0,82.0,708.0
254,1.0,0.0,22.0,53.0,32.0,8.0,7.0,46.0,11.0,90.0,3.0,9.0,52.0,5.0,10.0,62.0,45.0,207.0,12.0,59.0,41.0,23.0,36.0,182.0,27.0,49.0,106.0,43.0,127.0,6.0
303,0.0,2.0,4.0,8.0,36.0,15.0,1.0,5.0,9.0,165.0,48.0,3.0,6.0,23.0,19.0,140.0,10.0,130.0,24.0,30.0,264.0,13.0,16.0,47.0,90.0,31.0,45.0,29.0,12.0,20.0
352,0.0,1.0,11.0,28.0,10.0,2.0,3.0,13.0,4.0,57.0,32.0,7.0,38.0,50.0,53.0,91.0,58.0,85.0,18.0,14.0,47.0,12.0,39.0,130.0,71.0,33.0,68.0,22.0,9.0,176.0
401,0.0,1.0,16.0,96.0,9.0,4.0,2.0,12.0,5.0,120.0,24.0,19.0,34.0,3.0,18.0,53.0,59.0,61.0,8.0,82.0,35.0,29.0,10.0,201.0,20.0,129.0,32.0,52.0,6.0,55.0
450,0.0,2.0,5.0,25.0,4.0,13.0,1.0,11.0,9.0,67.0,15.0,6.0,45.0,643.0,19.0,69.0,59.0,29.0,40.0,14.0,30.0,47.0,28.0,12.0,21.0,92.0,18.0,112.0,23.0,33.0
499,1.0,9.0,3.0,5.0,6.0,0.0,32.0,10.0,2.0,7.0,44.0,4.0,75.0,29.0,731.0,76.0,80.0,37.0,11.0,15.0,636.0,130.0,230.0,16.0,168.0,385.0,191.0,81.0,810.0,277.0
548,0.0,8.0,1.0,3.0,9.0,19.0,26.0,15.0,12.0,31.0,55.0,6.0,430.0,95.0,1056.0,46.0,45.0,33.0,69.0,39.0,5426.0,29.0,173.0,159.0,841.0,1391.0,58.0,303.0,268.0,503.0
597,0.0,11.0,5.0,2.0,3.0,1.0,34.0,10.0,9.0,68.0,6.0,23.0,814.0,7.0,431.0,84.0,21.0,197.0,8.0,147.0,489.0,14.0,83.0,43.0,93.0,51.0,252.0,101.0,485.0,70.0
646,1.0,2.0,3.0,4.0,0.0,5.0,33.0,15.0,6.0,300.0,8.0,12.0,660.0,14.0,299.0,90.0,37.0,97.0,18.0,75.0,503.0,19.0,293.0,35.0,221.0,436.0,96.0,228.0,349.0,76.0
695,0.0,2.0,40.0,4.0,6.0,1.0,11.0,16.0,17.0,13.0,36.0,5.0,259.0,15.0,1130.0,75.0,25.0,127.0,20.0,28.0,432.0,9.0,77.0,41.0,298.0,117.0,163.0,88.0,339.0,155.0
744,6.0,20.0,15.0,4.0,0.0,7.0,34.0,14.0,2.0,30.0,5.0,1.0,1186.0,1195.0,856.0,21.0,111.0,16.0,54.0,13.0,352.0,12.0,364.0,10.0,25.0,46.0,41.0,241.0,120.0,342.0
793,0.0,1.0,14.0,9.0,2.0,6.0,83.0,19.0,3.0,5.0,13.0,4.0,57.0,7.0,644.0,24.0,68.0,156.0,20.0,89.0,541.0,42.0,84.0,99.0,116.0,224.0,51.0,98.0,1574.0,63.0
842,0.0,8.0,3.0,4.0,2.0,1.0,10.0,6.0,5.0,26.0,30.0,14.0,141.0,27.0,774.0,57.0,25.0,34.0,36.0,38.0,1105.0,12.0,278.0,15.0,242.0,76.0,181.0,56.0,261.0,370.0
891,0.0,6.0,7.0,9.0,8.0,2.0,12.0,21.0,3.0,149.0,10.0,4.0,1012.0,1.0,779.0,18.0,45.0,20.0,22.0,78.0,44.0,26.0,304.0,52.0,91.0,43.0,60.0,237.0,225.0,366.0
940,0.0,14.0,2.0,6.0,5.0,3.0,9.0,8.0,1.0,112.0,18.0,4.0,385.0,17.0,283.0,58.0,52.0,71.0,24.0,35.0,398.0,21.0,108.0,106.0,114.0,28.0,145.0,59.0,784.0,153.0
989,0.0,2.0,29.0,28.0,17.0,8.0,12.0,19.0,4.0,5.0,13.0,1.0,83.0,7.0,108.0,24.0,137.0,26.0,64.0,3.0,37.0,23.0,79.0,11.0,38.0,21.0,165.0,100.0,6.0,106.0
1038,0.0,20.0,16.0,14.0,13.0,7.0,4.0,5.0,3.0,18.0,1.0,12.0,49.0,251.0,29.0,26.0,59.0,32.0,132.0,6.0,41.0,9.0,203.0,8.0,27.0,120.0,62.0,686.0,2.0,40.0
1087,0.0,3.0,4.0,9.0,25.0,14.0,2.0,23.0,1.0,5.0,13.0,8.0,54.0,106.0,86.0,37.0,49.0,159.0,535.0,7.0,65.0,72.0,44.0,36.0,81.0,22.0,155.0,265.0,12.0,17.0
1136,0.0,1.0,2.0,19.0,3.0,281.0,4.0,12.0,8.0,24.0,10.0,9.0,133.0,56.0,159.0,59.0,192.0,62.0,76.0,6.0,26.0,43.0,16.0,45.0,33.0,65.0,63.0,123.0,83.0,37.0
1185,0.0,1.0,4.0,3.0,6.0,16.0,242.0,332.0,17.0,2.0,5.0,10.0,43.0,42.0,62.0,11.0,40.0,167.0,49.0,8.0,15.0,33.0,35.0,23.0,18.0,30.0,232.0,284.0,22.0,71.0
1234,0.0,2.0,21.0,6.0,4.0,12.0,10.0,71.0,1.0,5.0,24.0,32.0,72.0,35.0,340.0,16.0,58.0,36.0,99.0,8.0,263.0,9.0,33.0,13.0,478.0,158.0,282.0,359.0,59.0,320.0
1283,0.0,3.0,2.0,5.0,23.0,14.0,1.0,24.0,12.0,21.0,6.0,7.0,114.0,38.0,154.0,13.0,124.0,8.0,54.0,15.0,30.0,32.0,33.0,69.0,20.0,4.0,61.0,50.0,39.0,109.0
1332,0.0,19.0,8.0,16.0,17.0,5.0,4.0,2.0,9.0,1.0,25.0,10.0,54.0,266.0,53.0,33.0,102.0,7.0,204.0,42.0,44.0,43.0,57.0,11.0,48.0,74.0,49.0,111.0,3.0,121.0
1381,1.0,15.0,8.0,14.0,20.0,3.0,2.0,11.0,12.0,0.0,46.0,4.0,37.0,5.0,31.0,7.0,117.0,32.0,299.0,19.0,6.0,26.0,114.0,49.0,153.0,93.0,45.0,100.0,10.0,25.0
1430,0.0,17.0,3.0,5.0,2.0,4.0,34.0,24.0,1.0,8.0,14.0,9.0,23.0,149.0,136.0,35.0,40.0,269.0,301.0,41.0,532.0,130.0,481.0,12.0,86.0,15.0,1388.0,55.0,54.0,36.0
