,GPX3,ADORA1,SYTL1,PRKCH,FAM110C,NDN,LINC00942,RP11-390F4.3,DSG2,GPX1P1,AIF1L,CORO2A,SCEL,NLRP2,MFAP5,RP11-560J1.2,RP11-47I22.1,SULF2,MPP7,MBOAT1,CTD-2354A18.1,RTKN2,RNF224,NKX2-8,KCNK1,ZBED6CL,MYEOV,HMGA1P4,HTATSF1P2,SFTA1P
1479,0.0,2.0,17.0,7.0,11.0,345.0,10.0,5.0,25.0,127.0,19.0,898.0,4.0,1.0,15.0,75.0,22.0,21.0,40.0,84.0,138.0,495.0,196.0,361.0,13.0,24.0,33.0,26.0,122.0,27.0
1528,0.0,3.0,9.0,5.0,6.0,2.0,36.0,1.0,4.0,10.0,11.0,55.0,21.0,7.0,19.0,33.0,14.0,38.0,46.0,40.0,136.0,412.0,26.0,27.0,54.0,22.0,297.0,70.0,314.0,18.0
1577,1.0,2.0,11.0,7.0,3.0,9.0,14.0,106.0,10.0,0.0,8.0,21.0,15.0,4.0,16.0,6.0,23.0,5.0,79.0,62.0,12.0,353.0,25.0,225.0,76.0,68.0,85.0,53.0,357.0,121.0
1626,0.0,1.0,10.0,4.0,6.0,13.0,7.0,26.0,12.0,3.0,2.0,49.0,11.0,16.0,5.0,27.0,34.0,8.0,25.0,21.0,43.0,134.0,20.0,145.0,40.0,19.0,160.0,192.0,149.0,23.0
1675,0.0,1.0,23.0,8.0,6.0,11.0,3.0,17.0,7.0,2.0,53.0,16.0,5.0,9.0,21.0,14.0,15.0,52.0,62.0,38.0,18.0,230.0,59.0,13.0,79.0,4.0,225.0,46.0,122.0,10.0
1724,0.0,5.0,3.0,10.0,9.0,11.0,7.0,2.0,8.0,1.0,225.0,20.0,35.0,29.0,59.0,37.0,23.0,31.0,102.0,92.0,66.0,534.0,49.0,58.0,370.0,60.0,93.0,46.0,34.0,1169.0
1773,0.0,1.0,12.0,9.0,2.0,5.0,4.0,8.0,15.0,6.0,3.0,13.0,16.0,71.0,23.0,46.0,14.0,10.0,387.0,33.0,181.0,265.0,76.0,32.0,47.0,102.0,81.0,148.0,65.0,11.0
1822,0.0,3.0,7.0,21.0,10.0,4.0,5.0,11.0,8.0,1.0,14.0,16.0,6.0,23.0,29.0,25.0,50.0,2.0,34.0,27.0,13.0,175.0,131.0,39.0,24.0,35.0,49.0,12.0,301.0,87.0
1871,0.0,1.0,6.0,12.0,9.0,22.0,3.0,53.0,2.0,11.0,14.0,20.0,13.0,30.0,23.0,101.0,15.0,19.0,90.0,118.0,175.0,67.0,31.0,373.0,129.0,32.0,451.0,55.0,51.0,94.0
1920,1.0,2.0,6.0,16.0,0.0,14.0,93.0,17.0,5.0,11.0,3.0,21.0,39.0,23.0,107.0,40.0,284.0,8.0,125.0,13.0,27.0,536.0,183.0,9.0,62.0,26.0,457.0,29.0,286.0,36.0
1969,0.0,4.0,71.0,3.0,5.0,21.0,81.0,130.0,199.0,24.0,6.0,65.0,2.0,1.0,51.0,13.0,7.0,88.0,76.0,103.0,210.0,18.0,49.0,91.0,150.0,220.0,78.0,110.0,28.0,52.0
2018,1.0,3.0,8.0,2.0,16.0,46.0,42.0,157.0,106.0,6.0,4.0,29.0,0.0,78.0,9.0,24.0,12.0,194.0,18.0,27.0,10.0,5.0,37.0,22.0,174.0,245.0,26.0,45.0,77.0,40.0
2067,0.0,6.0,19.0,1.0,15.0,50.0,51.0,378.0,96.0,16.0,5.0,63.0,2.0,3.0,10.0,56.0,7.0,17.0,69.0,71.0,61.0,13.0,8.0,218.0,181.0,203.0,11.0,65.0,28.0,94.0
2116,0.0,1.0,131.0,15.0,27.0,59.0,34.0,56.0,5.0,89.0,2.0,40.0,8.0,163.0,16.0,268.0,156.0,593.0,57.0,43.0,3.0,4.0,23.0,121.0,128.0,739.0,11.0,451.0,33.0,28.0
2165,7.0,0.0,6.0,2.0,10.0,186.0,111.0,253.0,177.0,18.0,1.0,95.0,4.0,12.0,5.0,51.0,17.0,345.0,150.0,67.0,3.0,50.0,29.0,277.0,22.0,100.0,39.0,262.0,23.0,27.0
2214,1.0,6.0,19.0,0.0,9.0,190.0,766.0,513.0,97.0,177.0,4.0,134.0,2.0,33.0,26.0,71.0,8.0,186.0,107.0,72.0,444.0,17.0,53.0,287.0,16.0,144.0,31.0,143.0,21.0,61.0
2263,0.0,3.0,59.0,2.0,9.0,146.0,39.0,567.0,41.0,4.0,1.0,103.0,5.0,62.0,7.0,47.0,6.0,145.0,85.0,43.0,16.0,11.0,23.0,18.0,70.0,77.0,13.0,105.0,12.0,58.0
2312,0.0,4.0,44.0,2.0,8.0,76.0,193.0,33.0,51.0,14.0,3.0,17.0,1.0,94.0,22.0,133.0,6.0,214.0,65.0,30.0,29.0,19.0,15.0,21.0,53.0,162.0,7.0,164.0,13.0,46.0
2361,1.0,15.0,19.0,6.0,46.0,576.0,80.0,144.0,102.0,13.0,118.0,2.0,0.0,5.0,4.0,39.0,17.0,233.0,25.0,48.0,7.0,43.0,61.0,356.0,123.0,33.0,37.0,92.0,51.0,313.0
2410,10.0,2.0,186.0,9.0,3.0,171.0,64.0,258.0,191.0,0.0,8.0,6.0,4.0,508.0,15.0,18.0,22.0,17.0,129.0,62.0,1.0,5.0,119.0,20.0,27.0,88.0,13.0,169.0,40.0,60.0
2459,8.0,2.0,4.0,7.0,11.0,10.0,1.0,0.0,62.0,5.0,44.0,74.0,6.0,3.0,9.0,12.0,15.0,721.0,17.0,52.0,64.0,88.0,30.0,21.0,18.0,171.0,46.0,27.0,80.0,56.0
2508,8.0,7.0,2.0,1.0,3.0,142.0,90.0,300.0,74.0,0.0,12.0,5.0,9.0,11.0,15.0,10.0,23.0,413.0,78.0,16.0,224.0,49.0,25.0,605.0,22.0,44.0,238.0,35.0,768.0,316.0
2557,0.0,16.0,4.0,31.0,82.0,5.0,10.0,12.0,34.0,2.0,419.0,6.0,1.0,23.0,8.0,43.0,60.0,334.0,13.0,37.0,7.0,233.0,27.0,14.0,25.0,54.0,41.0,20.0,138.0,81.0
2606,4.0,6.0,1.0,41.0,38.0,5.0,2.0,3.0,53.0,0.0,131.0,15.0,8.0,7.0,13.0,65.0,190.0,145.0,43.0,122.0,18.0,46.0,51.0,25.0,17.0,307.0,16.0,31.0,805.0,61.0
2655,0.0,20.0,2.0,9.0,60.0,30.0,7.0,4.0,226.0,1.0,52.0,27.0,3.0,49.0,5.0,35.0,25.0,139.0,17.0,94.0,43.0,65.0,13.0,18.0,14.0,132.0,6.0,11.0,149.0,37.0
2704,0.0,59.0,6.0,4.0,27.0,3.0,28.0,1.0,107.0,74.0,175.0,15.0,2.0,260.0,7.0,13.0,19.0,1450.0,21.0,39.0,63.0,53.0,31.0,26.0,12.0,44.0,125.0,37.0,50.0,89.0
2753,0.0,4.0,3.0,6.0,30.0,5.0,7.0,11.0,50.0,2.0,27.0,8.0,1.0,67.0,10.0,49.0,23.0,260.0,39.0,25.0,91.0,33.0,20.0,31.0,101.0,63.0,14.0,37.0,90.0,15.0
2802,0.0,3.0,4.0,5.0,23.0,8.0,7.0,2.0,70.0,12.0,42.0,15.0,1.0,9.0,6.0,11.0,14.0,238.0,19.0,60.0,33.0,45.0,10.0,56.0,24.0,48.0,34.0,54.0,13.0,101.0
2851,2.0,63.0,1.0,8.0,102.0,9.0,5.0,0.0,46.0,4.0,35.0,14.0,3.0,39.0,7.0,6.0,13.0,653.0,11.0,76.0,15.0,26.0,19.0,32.0,21.0,112.0,40.0,64.0,397.0,43.0
2900,0.0,8.0,1.0,6.0,82.0,9.0,4.0,5.0,25.0,3.0,56.0,29.0,2.0,7.0,10.0,24.0,19.0,288.0,80.0,44.0,84.0,118.0,62.0,22.0,51.0,38.0,49.0,63.0,42.0,146.0
2949,0.0,1.0,10.0,5.0,3.0,6.0,62.0,2.0,9.0,16.0,4.0,97.0,22.0,23.0,46.0,53.0,57.0,61.0,36.0,93.0,52.0,63.0,85.0,40.0,20.0,31.0,14.0,49.0,250.0,79.0
2998,0.0,26.0,1.0,8.0,17.0,11.0,36.0,2.0,10.0,48.0,5.0,33.0,279.0,7.0,67.0,38.0,233.0,6.0,20.0,32.0,12.0,221.0,28.0,655.0,9.0,22.0,4.0,25.0,131.0,629.0
3047,0.0,1.0,13.0,5.0,6.0,4.0,59.0,14.0,24.0,2.0,3.0,369.0,31.0,11.0,83.0,20.0,35.0,7.0,280.0,48.0,141.0,66.0,15.0,237.0,9.0,19.0,61.0,22.0,29.0,12.0
3096,0.0,9.0,15.0,10.0,36.0,2.0,8.0,1.0,12.0,140.0,3.0,266.0,175.0,47.0,165.0,17.0,28.0,70.0,14.0,43.0,287.0,78.0,44.0,13.0,85.0,666.0,98.0,117.0,4.0,76.0
3145,0.0,1.0,10.0,43.0,3.0,8.0,16.0,5.0,11.0,23.0,12.0,18.0,31.0,74.0,51.0,15.0,94.0,13.0,9.0,6.0,63.0,64.0,318.0,7.0,26.0,25.0,54.0,24.0,80.0,42.0
3194,0.0,7.0,4.0,11.0,18.0,5.0,14.0,12.0,2.0,130.0,3.0,1047.0,33.0,1.0,6.0,16.0,30.0,8.0,88.0,108.0,32.0,185.0,37.0,41.0,52.0,46.0,27.0,13.0,17.0,15.0
3243,0.0,3.0,4.0,41.0,57.0,1.0,5.0,2.0,11.0,16.0,7.0,325.0,52.0,10.0,19.0,127.0,133.0,13.0,20.0,81.0,34.0,80.0,117.0,46.0,61.0,113.0,83.0,37.0,8.0,88.0
3292,2.0,0.0,6.0,10.0,8.0,5.0,213.0,9.0,34.0,31.0,1.0,194.0,24.0,4.0,11.0,33.0,26.0,70.0,13.0,199.0,3.0,42.0,15.0,569.0,14.0,135.0,12.0,56.0,129.0,48.0
3341,0.0,1.0,10.0,9.0,6.0,3.0,17.0,2.0,25.0,521.0,5.0,81.0,62.0,4.0,51.0,16.0,42.0,8.0,26.0,41.0,13.0,92.0,34.0,82.0,7.0,20.0,73.0,68.0,19.0,24.0
3390,0.0,1.0,11.0,55.0,26.0,21.0,17.0,2.0,58.0,29.0,3.0,14.0,44.0,4.0,10.0,8.0,124.0,19.0,6.0,96.0,7.0,106.0,36.0,203.0,16.0,56.0,40.0,42.0,76.0,64.0
3439,3.0,24.0,1.0,23.0,20.0,123.0,16.0,26.0,56.0,683.0,27.0,17.0,0.0,36.0,91.0,4.0,49.0,217.0,8.0,10.0,134.0,508.0,92.0,12.0,118.0,15.0,21.0,6.0,13.0,87.0
3488,0.0,1.0,2.0,6.0,52.0,31.0,3.0,12.0,8.0,110.0,37.0,56.0,5.0,18.0,93.0,7.0,50.0,21.0,57.0,14.0,78.0,662.0,90.0,60.0,126.0,35.0,10.0,17.0,24.0,15.0
3537,1.0,3.0,0.0,5.0,7.0,40.0,63.0,2.0,14.0,108.0,57.0,48.0,11.0,6.0,88.0,8.0,16.0,160.0,35.0,28.0,78.0,496.0,85.0,158.0,12.0,9.0,67.0,30.0,366.0,215.0
3586,0.0,1.0,3.0,6.0,2.0,22.0,5.0,20.0,7.0,39.0,36.0,122.0,4.0,8.0,15.0,10.0,12.0,43.0,213.0,16.0,100.0,442.0,80.0,29.0,83.0,61.0,30.0,48.0,17.0,9.0
3635,1.0,2.0,4.0,10.0,9.0,258.0,3.0,7.0,5.0,24.0,27.0,31.0,13.0,6.0,53.0,17.0,38.0,130.0,63.0,8.0,45.0,214.0,50.0,221.0,58.0,14.0,21.0,19.0,0.0,32.0
3684,0.0,1.0,2.0,42.0,8.0,46.0,4.0,19.0,9.0,27.0,47.0,7.0,3.0,5.0,31.0,15.0,69.0,323.0,17.0,16.0,258.0,75.0,43.0,58.0,264.0,67.0,73.0,10.0,6.0,39.0
3733,5.0,2.0,0.0,12.0,3.0,35.0,7.0,6.0,19.0,11.0,72.0,49.0,62.0,580.0,129.0,50.0,171.0,14.0,31.0,38.0,16.0,307.0,165.0,1.0,37.0,113.0,24.0,79.0,116.0,52.0
3782,0.0,2.0,17.0,27.0,7.0,1612.0,3.0,101.0,15.0,19.0,126.0,45.0,8.0,1.0,11.0,18.0,72.0,24.0,29.0,53.0,39.0,214.0,62.0,598.0,93.0,4.0,10.0,44.0,56.0,64.0
3831,0.0,2.0,17.0,11.0,12.0,3.0,18.0,23.0,7.0,571.0,58.0,8.0,15.0,152.0,50.0,4.0,19.0,31.0,24.0,14.0,151.0,71.0,91.0,190.0,106.0,142.0,13.0,79.0,5.0,53.0
3880,0.0,4.0,1.0,5.0,2.0,17.0,8.0,14.0,7.0,16.0,21.0,34.0,20.0,6.0,117.0,15.0,23.0,267.0,111.0,46.0,179.0,609.0,225.0,43.0,101.0,332.0,71.0,31.0,11.0,22.0
3929,0.0,2.0,3.0,8.0,62.0,43.0,10.0,1.0,299.0,21.0,4.0,881.0,5.0,33.0,15.0,92.0,26.0,6.0,35.0,150.0,124.0,49.0,22.0,46.0,73.0,9.0,7.0,130.0,39.0,14.0
3978,0.0,1.0,8.0,4.0,5.0,270.0,146.0,239.0,457.0,2.0,6.0,184.0,3.0,45.0,10.0,25.0,16.0,66.0,24.0,115.0,47.0,51.0,20.0,224.0,141.0,55.0,56.0,40.0,154.0,17.0
4027,0.0,1.0,11.0,17.0,31.0,25.0,4.0,5.0,91.0,13.0,24.0,114.0,21.0,34.0,19.0,119.0,41.0,7.0,33.0,80.0,89.0,55.0,38.0,116.0,36.0,3.0,2.0,22.0,12.0,18.0
4076,0.0,4.0,15.0,5.0,83.0,52.0,12.0,2.0,102.0,17.0,109.0,147.0,32.0,120.0,31.0,48.0,9.0,1.0,43.0,26.0,187.0,128.0,90.0,82.0,153.0,36.0,3.0,72.0,8.0,34.0
4125,0.0,1.0,10.0,8.0,81.0,111.0,4.0,147.0,376.0,2.0,9.0,286.0,27.0,7.0,19.0,86.0,20.0,5.0,51.0,53.0,57.0,31.0,21.0,336.0,22.0,15.0,25.0,36.0,3.0,35.0
4174,0.0,3.0,1.0,2.0,22.0,36.0,35.0,18.0,125.0,13.0,12.0,449.0,19.0,9.0,30.0,20.0,11.0,4.0,52.0,84.0,120.0,81.0,82.0,38.0,57.0,8.0,10.0,66.0,42.0,27.0
4223,0.0,5.0,1.0,9.0,156.0,97.0,30.0,6.0,48.0,2.0,10.0,280.0,22.0,3.0,15.0,51.0,46.0,7.0,146.0,259.0,36.0,18.0,33.0,340.0,136.0,4.0,47.0,28.0,52.0,183.0
4272,0.0,1.0,6.0,245.0,16.0,268.0,7.0,3.0,148.0,5.0,22.0,30.0,126.0,14.0,38.0,289.0,403.0,2.0,51.0,301.0,116.0,113.0,24.0,350.0,20.0,90.0,4.0,477.0,48.0,206.0
4321,0.0,1.0,2.0,5.0,81.0,31.0,42.0,10.0,692.0,6.0,11.0,339.0,3.0,78.0,13.0,362.0,29.0,61.0,22.0,148.0,141.0,101.0,18.0,32.0,34.0,69.0,17.0,71.0,24.0,57.0
4370,1.0,5.0,2.0,3.0,4.0,804.0,53.0,13.0,350.0,34.0,7.0,39.0,42.0,51.0,784.0,18.0,20.0,21.0,128.0,28.0,8046.0,103.0,261.0,31.0,40.0,10.0,152.0,23.0,86.0,269.0
4419,1.0,5.0,24.0,11.0,6.0,4.0,35.0,2.0,61.0,0.0,184.0,12.0,8.0,10.0,18.0,27.0,22.0,19.0,85.0,444.0,3.0,21.0,38.0,389.0,16.0,14.0,140.0,42.0,2590.0,686.0
4468,0.0,4.0,34.0,9.0,1.0,2.0,94.0,14.0,11.0,6.0,7.0,22.0,13.0,403.0,134.0,90.0,12.0,10.0,254.0,918.0,24.0,5.0,138.0,137.0,33.0,71.0,190.0,105.0,81.0,230.0
4517,0.0,3.0,82.0,101.0,22.0,1.0,58.0,11.0,39.0,318.0,89.0,2.0,18.0,76.0,45.0,19.0,60.0,16.0,183.0,57.0,8.0,15.0,140.0,174.0,28.0,38.0,323.0,163.0,233.0,949.0
4566,1.0,9.0,13.0,3.0,4.0,7.0,500.0,38.0,77.0,19.0,61.0,8.0,5.0,2.0,50.0,17.0,18.0,26.0,28.0,137.0,11.0,0.0,72.0,740.0,34.0,87.0,1122.0,58.0,2523.0,1286.0
4615,1.0,5.0,4.0,11.0,16.0,3.0,112.0,210.0,23.0,0.0,91.0,6.0,73.0,22.0,334.0,18.0,83.0,10.0,98.0,29.0,105.0,8.0,106.0,25.0,53.0,358.0,646.0,71.0,1326.0,1315.0
4664,0.0,1.0,22.0,30.0,27.0,13.0,107.0,6.0,36.0,5.0,73.0,4.0,2.0,39.0,61.0,25.0,34.0,9.0,80.0,331.0,3.0,16.0,113.0,228.0,23.0,10.0,42.0,20.0,2244.0,563.0
4713,0.0,21.0,14.0,32.0,2.0,5.0,90.0,22.0,26.0,18.0,133.0,3.0,1.0,129.0,56.0,186.0,37.0,29.0,109.0,52.0,36.0,9.0,74.0,31.0,27.0,93.0,621.0,73.0,437.0,2557.0
4762,0.0,6.0,17.0,20.0,11.0,1.0,41.0,36.0,35.0,2.0,45.0,13.0,21.0,5.0,71.0,22.0,48.0,16.0,174.0,536.0,4.0,3.0,55.0,307.0,19.0,49.0,331.0,59.0,247.0,560.0
4811,0.0,15.0,1.0,137.0,4.0,10.0,104.0,13.0,6.0,36.0,99.0,5.0,57.0,29.0,161.0,117.0,194.0,28.0,149.0,346.0,2.0,31.0,141.0,259.0,11.0,115.0,865.0,32.0,2288.0,656.0
4860,0.0,3.0,13.0,28.0,14.0,1.0,137.0,5.0,19.0,21.0,37.0,38.0,18.0,2.0,80.0,51.0,63.0,272.0,65.0,541.0,15.0,4.0,94.0,83.0,29.0,99.0,936.0,41.0,164.0,429.0
