,ABCA12,ENPP1,DSG2,RP11-902B17.1,TSTD1,ELF3,NRSN2,IL18,PRSS16,DAPP1,GALNT3,TUBA1A,STXBP2,PCDHGC3,EVPL,DDR2,ALS2CL,COPS8,DLG4,PCDH9,SPARC,IL1RN,SLFN13,RP11-44F14.2,TNFAIP8,AC002128.5,ARMCX1,MCOLN1,CNRIP1,ANO9
2069,2.0,5.0,0.0,6.0,3.0,12.0,7.0,4.0,14.0,19.0,45.0,71.0,1.0,24.0,22.0,11.0,21.0,10.0,9.0,25.0,73.0,23.0,47.0,59.0,21894.0,27.0,8965.0,40.0,42.0,19805.0
2118,0.0,13.0,5.0,12.0,1.0,4.0,9.0,11.0,59.0,7.0,234.0,6655.0,2.0,23.0,10.0,37.0,34.0,36.0,15.0,8.0,21.0,17.0,19.0,57.0,6.0,55.0,177.0,51.0,18.0,115.0
2167,4.0,1.0,7.0,6.0,2.0,9.0,0.0,25.0,84.0,8.0,23.0,11.0,3.0,28.0,42.0,50.0,24.0,16.0,17.0,12.0,33.0,5.0,29.0,72.0,19.0,65.0,22.0,66.0,13.0,19762.0
2216,0.0,1.0,5.0,6.0,4.0,8.0,9.0,3.0,65.0,17.0,23.0,11.0,2.0,18.0,37.0,7.0,40.0,16.0,41.0,13.0,12.0,25.0,27.0,22.0,47.0,79.0,8903.0,52.0,83.0,19730.0
2265,0.0,12.0,1.0,9.0,17.0,2.0,4.0,3.0,11.0,15.0,23.0,60.0,5.0,21833.0,20.0,7.0,28.0,53.0,6.0,8.0,54.0,10.0,22.0,10686.0,45.0,40.0,62.0,57.0,19.0,19719.0
2314,2.0,931.0,0.0,6.0,10.0,1.0,8.0,11.0,9.0,15.0,65.0,57.0,3.0,22.0,21.0,17438.0,28.0,4.0,7.0,5.0,26.0,14.0,73.0,30.0,27.0,45.0,23.0,60.0,25.0,24.0
2363,0.0,3.0,9.0,8.0,1.0,10.0,6.0,4.0,68.0,21.0,44.0,2524.0,2.0,22.0,30.0,17476.0,34.0,25.0,5.0,7.0,17.0,27.0,23.0,60.0,26.0,75.0,20.0,13.0,70.0,121.0
2412,1.0,983.0,0.0,5.0,14.0,9.0,6.0,2.0,13.0,22.0,32.0,18.0,3.0,8.0,10.0,7.0,24.0,15.0,16.0,4.0,11.0,25.0,33.0,35.0,68.0,57.0,838.0,41.0,20.0,75.0
2461,1.0,0.0,6.0,4.0,8.0,10.0,3.0,18.0,23.0,2.0,15.0,13.0,572.0,35.0,137.0,51.0,55.0,9.0,12.0,164.0,30.0,16.0,9814.0,57.0,7.0,91.0,42.0,50.0,59.0,29.0
2510,1.0,0.0,8.0,3.0,2.0,6.0,5.0,17.0,16.0,7.0,10.0,75.0,49.0,14.0,20.0,9.0,89.0,41.0,45.0,76.0,13.0,137.0,72.0,27.0,33.0,102.0,19.0,21.0,52.0,55.0
2559,0.0,1.0,6.0,5.0,11.0,13.0,3.0,12.0,7.0,2.0,9.0,8.0,25.0,10.0,24.0,43.0,40.0,21.0,19.0,100.0,63.0,59.0,9782.0,39.0,17.0,44.0,16.0,55.0,33.0,4.0
2608,2.0,1.0,10.0,0.0,19.0,11.0,4.0,50.0,7.0,3.0,5.0,15.0,11127.0,18.0,8.0,49.0,6.0,12.0,31.0,83.0,37.0,95.0,9840.0,22.0,23.0,131.0,34.0,27.0,32.0,13.0
2657,1.0,0.0,5.0,2.0,3.0,6.0,8.0,14.0,20.0,11.0,10.0,12.0,9.0,18.0,21.0,7.0,55.0,64.0,4.0,25.0,15.0,49.0,31.0,41.0,22.0,62.0,53.0,69.0,29.0,76.0
2706,6.0,1.0,16.0,0.0,8.0,5.0,4.0,24.0,14.0,7.0,2.0,12.0,19.0,21.0,15.0,31.0,29.0,22.0,13.0,70.0,50.0,45.0,60.0,44.0,40.0,28.0,33.0,92.0,43.0,67.0
2755,0.0,1.0,10.0,4.0,5.0,11.0,3.0,15.0,14.0,7.0,16.0,30.0,33.0,9.0,8.0,2.0,65.0,63.0,25.0,6353.0,48.0,35.0,17.0,32.0,22020.0,98.0,43.0,93.0,45.0,1099.0
2804,1.0,0.0,7.0,4.0,3.0,2.0,5.0,12.0,14.0,16.0,10.0,8.0,141.0,19.0,13.0,6.0,21.0,23.0,92.0,15.0,52.0,30.0,147.0,38.0,51.0,43.0,63.0,44.0,50.0,32.0
2853,3.0,0.0,23.0,7.0,1.0,11.0,2.0,16.0,82.0,5.0,6.0,10.0,33.0,13.0,4.0,35.0,34.0,67.0,750.0,79.0,36.0,60.0,32.0,64.0,18.0,9704.0,55.0,41.0,58.0,644.0
2902,2.0,0.0,13.0,1.0,12.0,4.0,3.0,24.0,11.0,6.0,9.0,8.0,2545.0,21.0,19.0,5.0,56.0,14.0,7.0,117.0,27.0,160.0,78.0,32.0,35.0,55.0,33.0,64.0,22.0,38.0
2951,2.0,9.0,3.0,4.0,0.0,1.0,7.0,21.0,13.0,11.0,16.0,70.0,10.0,23.0,14.0,54.0,49.0,40.0,5.0,19.0,32.0,27.0,147.0,10501.0,200.0,47.0,55.0,33.0,76.0,48.0
3000,1.0,8.0,2.0,3.0,7.0,6.0,12.0,0.0,5.0,15.0,14.0,67.0,9.0,13.0,112.0,29.0,42.0,51.0,10.0,31.0,36.0,57.0,126.0,25.0,39.0,33.0,35.0,19.0,17.0,21.0
3049,0.0,2.0,1.0,6.0,3.0,5.0,4.0,13.0,8.0,12.0,14.0,6634.0,11.0,26.0,21.0,28.0,30.0,15.0,9.0,29.0,45.0,22.0,86.0,18.0,46.0,33.0,31.0,52.0,17.0,16.0
3098,0.0,1.0,3.0,7.0,12.0,4.0,10.0,28.0,8.0,15.0,18.0,73.0,17.0,19.0,71.0,9.0,32.0,27.0,14.0,23.0,13.0,20.0,117.0,22.0,22004.0,31.0,2.0,24.0,51.0,55.0
3147,0.0,10.0,2.0,1.0,11.0,4.0,6.0,24.0,3.0,16.0,5.0,6614.0,12.0,22.0,25.0,35.0,28.0,63.0,15.0,100.0,37.0,51.0,14.0,21.0,18.0,33.0,46.0,50.0,17109.0,31.0
3196,1.0,14.0,4.0,3.0,5.0,2.0,9.0,13.0,6.0,8.0,12.0,5400.0,0.0,34.0,10.0,19.0,21.0,538.0,15.0,26.0,39.0,68.0,85.0,743.0,62.0,29.0,33.0,17.0,78.0,49.0
3245,5.0,9.0,8.0,3.0,1.0,0.0,4.0,15.0,6.0,19.0,22.0,5761.0,2.0,12.0,34.0,27.0,29.0,211.0,11.0,21.0,24.0,68.0,31.0,10681.0,13.0,28.0,20.0,48.0,17.0,57.0
3294,0.0,5.0,7.0,2.0,6.0,1.0,4.0,18.0,28.0,8.0,11.0,13.0,16.0,12.0,15.0,21.0,43.0,121.0,9.0,17.0,38.0,33.0,103.0,27.0,20.0,35.0,46.0,31.0,19.0,42.0
3343,2.0,10.0,1.0,5.0,7.0,0.0,8.0,3.0,9.0,18.0,118.0,738.0,6.0,24.0,20.0,46.0,29.0,13128.0,11.0,27.0,33.0,36.0,53.0,10434.0,49.0,50.0,8889.0,40.0,51.0,12.0
3392,4.0,2.0,1.0,6.0,0.0,3.0,9.0,22.0,8.0,19.0,11.0,12.0,10.0,20.0,79.0,36.0,18.0,681.0,5.0,81.0,26.0,45.0,62.0,25.0,43.0,27.0,47.0,7633.0,194.0,23.0
3441,0.0,7.0,6.0,5.0,15.0,1.0,2.0,4.0,67.0,3.0,11.0,94.0,10.0,8.0,19.0,23.0,18.0,26.0,187.0,13.0,52.0,9.0,22.0,42.0,43.0,35.0,58.0,48.0,12.0,70.0
3490,3.0,0.0,13.0,7.0,16.0,4.0,2.0,8.0,59.0,1.0,884.0,25.0,6.0,14.0,10.0,5.0,17.0,12.0,10874.0,22.0,27.0,49.0,119.0,58.0,61.0,20.0,38.0,50.0,26.0,19761.0
3539,6.0,21.0,1.0,8.0,7.0,2.0,3.0,15.0,24.0,18.0,0.0,109.0,9.0,5.0,12.0,14.0,22.0,67.0,9978.0,81.0,17.0,483.0,9867.0,68.0,95.0,35.0,4.0,55.0,32.0,72.0
3588,4.0,3.0,13.0,5.0,0.0,2.0,7.0,33.0,71.0,1.0,10.0,15.0,14.0,20.0,6.0,9.0,25.0,574.0,9970.0,17.0,8.0,79.0,12.0,47.0,72.0,31.0,39.0,68.0,52.0,11.0
3637,3.0,0.0,6.0,9.0,2.0,10.0,5.0,4.0,72.0,18.0,13223.0,5831.0,16.0,26.0,1.0,8.0,11.0,7.0,10433.0,12.0,23.0,17.0,58.0,101.0,94.0,33.0,42.0,57.0,31.0,19790.0
3686,0.0,10.0,4.0,6.0,3.0,5.0,12.0,9.0,18.0,7.0,11.0,63.0,2.0,22.0,8.0,1.0,31.0,13588.0,612.0,191.0,27.0,28.0,16.0,42.0,30.0,15.0,14.0,64.0,17.0,13.0
3735,0.0,2.0,4.0,5.0,6.0,7.0,10.0,3.0,11.0,8.0,22.0,69.0,18.0,9.0,12.0,1.0,24.0,13.0,158.0,156.0,38.0,14.0,20.0,37.0,33.0,23.0,31.0,58.0,32.0,16.0
3784,0.0,6.0,11.0,9.0,1.0,5.0,3.0,21.0,41.0,14.0,18.0,5462.0,4.0,15.0,67.0,7.0,37.0,47.0,118.0,8.0,19.0,145.0,27.0,63.0,33.0,20.0,12.0,23.0,2.0,13.0
3833,2.0,14.0,3.0,8.0,0.0,4.0,5.0,22.0,21.0,7.0,9.0,54.0,28.0,13.0,16.0,6.0,34.0,240.0,19.0,17.0,12.0,256.0,9841.0,45.0,67.0,18.0,35.0,11087.0,36.0,53.0
3882,0.0,21.0,1.0,5.0,8.0,9.0,6.0,22.0,3.0,2.0,10.0,139.0,7.0,30.0,446.0,32.0,29.0,62.0,329.0,15.0,28.0,26.0,66.0,45.0,50.0,17.0,49.0,48.0,55.0,1312.0
3931,3.0,0.0,1.0,2.0,11.0,9.0,7.0,40.0,26.0,5.0,28.0,12.0,19.0,21850.0,4.0,36.0,34.0,42.0,10.0,13.0,50.0,73.0,9846.0,53.0,29.0,45.0,372.0,122.0,8.0,74.0
3980,1.0,14.0,2.0,3.0,0.0,10.0,5.0,16.0,4.0,23.0,12.0,9.0,15.0,28.0,8.0,19.0,20.0,13571.0,7.0,13.0,29.0,30.0,43.0,46.0,68.0,37.0,118.0,11100.0,25.0,19761.0
4029,5.0,0.0,1.0,7.0,4.0,3.0,12.0,22.0,14.0,18.0,15.0,10.0,57.0,19.0,13.0,6.0,20.0,70.0,527.0,16.0,26.0,25.0,105.0,50.0,40.0,46.0,1634.0,112.0,67.0,2.0
4078,3.0,8.0,1.0,9.0,2.0,0.0,14.0,12.0,10.0,13.0,16.0,6.0,29.0,21.0,20.0,17455.0,4.0,25.0,67.0,23.0,20895.0,5.0,18.0,39.0,76.0,48.0,8986.0,11129.0,26.0,19808.0
4127,12.0,15.0,2.0,4.0,1.0,5.0,0.0,31.0,10.0,26.0,9.0,7.0,11.0,13.0,3.0,24.0,18.0,21.0,68.0,16.0,34.0,28.0,70.0,44.0,113.0,42.0,14.0,2812.0,8.0,19.0
4176,8.0,12.0,1.0,3.0,0.0,2.0,9.0,22.0,14.0,36.0,23.0,5.0,6.0,15.0,4.0,37.0,7.0,13576.0,343.0,13.0,32.0,109.0,35.0,31.0,59.0,39.0,8946.0,50.0,17147.0,64.0
4225,6.0,0.0,1.0,7.0,2.0,3.0,12.0,9.0,5.0,13.0,40.0,11.0,4.0,22.0,8.0,31.0,10.0,66.0,14.0,21.0,2378.0,16.0,39.0,53.0,44.0,63.0,8878.0,11049.0,17.0,70.0
4274,13717.0,4.0,2.0,3.0,0.0,5.0,7.0,38.0,10.0,23.0,11.0,9.0,71.0,22.0,1.0,35.0,43.0,137.0,26.0,8.0,20.0,66.0,34.0,10471.0,32.0,12.0,42.0,212.0,89.0,68.0
4323,1.0,12.0,0.0,6.0,4.0,2.0,15.0,3.0,9.0,19.0,24.0,11.0,7.0,18.0,5.0,16.0,17.0,13.0,8.0,10.0,14.0,90.0,133.0,62.0,57.0,69.0,8921.0,2180.0,47.0,19745.0
4372,1.0,5.0,0.0,6.0,4.0,2.0,3.0,9.0,11.0,14.0,10.0,6675.0,11135.0,19.0,7.0,8.0,30.0,20.0,1236.0,13.0,27.0,13390.0,43.0,25.0,34.0,61.0,35.0,17.0,79.0,19787.0
4421,2.0,8.0,1.0,3.0,0.0,9.0,12.0,4.0,15.0,23.0,10.0,5654.0,6.0,24.0,109.0,5.0,32.0,142.0,11.0,7.0,14.0,46.0,38.0,39.0,28.0,33.0,17.0,59.0,18.0,21.0
4470,0.0,2.0,13.0,3.0,12.0,5.0,4.0,6.0,10.0,17.0,13096.0,70.0,1.0,31.0,37.0,18.0,35.0,13524.0,11.0,52.0,7.0,55.0,82.0,10622.0,22.0,45.0,26.0,19.0,20.0,14.0
4519,0.0,1.0,4.0,2.0,9.0,6.0,5.0,12.0,18.0,14.0,2133.0,118.0,3.0,24.0,7.0,34.0,29.0,287.0,20.0,48.0,17.0,85.0,11.0,27.0,61.0,15.0,10.0,47.0,52.0,8.0
4568,0.0,4.0,11.0,1.0,18.0,6.0,10.0,7.0,2.0,15.0,14.0,52.0,5.0,24.0,11839.0,3.0,34.0,30.0,1335.0,12.0,53.0,49.0,19.0,45.0,56.0,42.0,47.0,11098.0,28.0,88.0
4617,0.0,4.0,7.0,2.0,11.0,1.0,6.0,18.0,51.0,3.0,13144.0,10.0,8.0,21.0,16.0,5.0,19.0,46.0,9.0,6695.0,28.0,43.0,12.0,10659.0,25.0,17.0,37.0,893.0,20.0,15.0
4666,1.0,0.0,9.0,2.0,3.0,5.0,15.0,6.0,8.0,13.0,13136.0,14.0,7.0,32.0,140.0,49.0,10.0,27.0,36.0,23.0,69.0,28.0,53.0,67.0,17.0,60.0,29.0,72.0,68.0,73.0
4715,0.0,1.0,3.0,6.0,7.0,8.0,13.0,9.0,12.0,18.0,13140.0,1064.0,11.0,10.0,14.0,2.0,26.0,116.0,94.0,101.0,710.0,33.0,21.0,61.0,25.0,43.0,46.0,40.0,5.0,15.0
4764,1.0,21.0,4.0,2.0,11.0,6.0,7.0,5.0,43.0,3.0,29.0,13.0,0.0,19.0,12.0,10.0,25.0,50.0,8.0,135.0,67.0,72.0,33.0,37.0,20.0,54.0,34.0,70.0,16.0,38.0
4813,3.0,0.0,5.0,4.0,8.0,10.0,1.0,2.0,54.0,12.0,1008.0,139.0,9.0,23.0,136.0,43.0,6.0,17.0,30.0,110.0,573.0,88.0,77.0,3988.0,25.0,18.0,46.0,47.0,13.0,7.0
4862,0.0,2.0,1.0,4.0,7.0,3.0,6.0,24.0,31.0,14.0,13127.0,47.0,5.0,25.0,140.0,40.0,26.0,46.0,11.0,110.0,27.0,10.0,13.0,10675.0,28.0,33.0,8.0,69.0,9.0,15.0
