,DDB2,EDA2R,EMB,NDN,ZMAT3,PHLDA3,LINC01021,FDXR,SNX18P16,DGKA,TLE4,PTPN13,CFH,TRIM22,BHLHE41,FOXJ1,CITED4,FAM101A,PRKX,CD70,B4GALT6,FRYL,BAX,ERAP1,EVC2,CMTM7,MDM2,DOCK5,FAS,PCDHB17
10,1.0,28.0,0.0,2.0,4.0,11.0,10.0,5.0,3.0,31.0,15.0,20.0,17.0,8.0,24.0,6.0,14.0,25.0,29.0,133.0,77.0,27.0,52.0,19.0,2305.0,53.0,93.0,76.0,395.0,44.0
59,0.0,49.0,2.0,3.0,13.0,21.0,39.0,4.0,14.0,11.0,1.0,7.0,18.0,12.0,17.0,19.0,5.0,149.0,6.0,155.0,103.0,47.0,59.0,36.0,1201.0,29.0,101.0,38.0,148.0,32.0
108,0.0,2.0,17.0,1.0,12.0,3.0,5.0,7.0,8.0,10.0,13.0,9.0,14.0,25.0,4.0,53.0,34.0,11.0,15.0,23.0,58.0,45.0,47.0,62.0,603.0,63.0,39.0,41.0,51.0,42.0
157,0.0,49.0,13.0,3.0,24.0,6.0,12.0,26.0,5.0,23.0,28.0,14.0,8.0,11.0,4.0,2.0,1.0,81.0,22.0,237.0,57.0,32.0,150.0,39.0,306.0,66.0,82.0,242.0,235.0,158.0
206,2.0,27.0,5.0,1.0,10.0,9.0,3.0,8.0,0.0,11.0,6.0,4.0,12.0,14.0,26.0,36.0,7.0,30.0,18.0,82.0,40.0,16.0,288.0,22.0,397.0,73.0,69.0,28.0,56.0,19.0
255,1.0,44.0,3.0,27.0,6.0,2.0,60.0,10.0,5.0,9.0,0.0,7.0,49.0,51.0,42.0,12.0,14.0,50.0,37.0,74.0,33.0,31.0,58.0,89.0,815.0,43.0,81.0,79.0,83.0,48.0
304,4.0,23.0,2.0,0.0,9.0,14.0,20.0,16.0,7.0,43.0,1.0,28.0,10.0,18.0,5.0,19.0,175.0,50.0,3.0,74.0,155.0,63.0,44.0,149.0,455.0,70.0,73.0,112.0,33.0,331.0
353,1.0,59.0,0.0,3.0,12.0,11.0,16.0,65.0,8.0,10.0,63.0,6.0,67.0,4.0,31.0,15.0,2.0,46.0,9.0,395.0,19.0,29.0,189.0,21.0,634.0,36.0,196.0,112.0,42.0,17.0
402,1.0,16.0,3.0,0.0,76.0,4.0,12.0,26.0,20.0,5.0,21.0,15.0,7.0,24.0,9.0,13.0,2.0,19.0,30.0,48.0,151.0,6.0,97.0,38.0,748.0,106.0,67.0,10.0,58.0,150.0
451,1.0,38.0,0.0,2.0,13.0,24.0,10.0,23.0,7.0,12.0,16.0,14.0,21.0,33.0,70.0,25.0,3.0,5.0,15.0,160.0,47.0,6.0,176.0,46.0,444.0,165.0,133.0,20.0,102.0,40.0
500,0.0,4.0,182.0,187.0,17.0,9.0,21.0,8.0,10.0,23.0,2.0,1.0,13.0,5.0,3.0,29.0,11.0,16.0,147.0,33.0,133.0,6.0,164.0,46.0,7.0,27.0,294.0,49.0,106.0,15.0
549,4.0,0.0,33.0,51.0,6.0,1.0,26.0,2.0,8.0,15.0,9.0,5.0,10.0,7.0,3.0,18.0,69.0,11.0,137.0,12.0,16.0,20.0,25.0,140.0,17.0,43.0,27.0,128.0,50.0,46.0
598,5.0,0.0,43.0,873.0,4.0,12.0,26.0,2.0,9.0,10.0,1.0,3.0,16.0,53.0,6.0,7.0,11.0,8.0,83.0,195.0,27.0,37.0,34.0,181.0,13.0,19.0,20.0,14.0,30.0,17.0
647,2.0,0.0,82.0,13.0,12.0,7.0,5.0,16.0,11.0,15.0,3.0,9.0,10.0,6.0,1.0,17.0,89.0,48.0,143.0,44.0,35.0,18.0,28.0,67.0,4.0,22.0,40.0,158.0,23.0,79.0
696,1.0,0.0,15.0,5.0,7.0,3.0,20.0,6.0,11.0,8.0,2.0,9.0,10.0,19.0,4.0,180.0,16.0,38.0,117.0,24.0,26.0,22.0,43.0,83.0,14.0,12.0,78.0,44.0,42.0,86.0
745,7.0,9.0,10.0,8.0,5.0,6.0,16.0,4.0,33.0,38.0,0.0,21.0,3.0,12.0,1.0,17.0,42.0,13.0,280.0,2.0,50.0,14.0,124.0,84.0,56.0,11.0,40.0,146.0,34.0,399.0
794,0.0,1.0,101.0,22.0,10.0,6.0,170.0,3.0,13.0,17.0,9.0,2.0,12.0,8.0,5.0,7.0,24.0,18.0,95.0,26.0,40.0,19.0,28.0,57.0,27.0,15.0,44.0,35.0,14.0,23.0
843,2.0,0.0,83.0,18.0,12.0,4.0,6.0,3.0,8.0,11.0,5.0,1.0,13.0,7.0,23.0,22.0,32.0,9.0,90.0,44.0,56.0,20.0,59.0,79.0,15.0,62.0,37.0,82.0,17.0,481.0
892,1.0,0.0,65.0,19.0,8.0,2.0,15.0,4.0,7.0,5.0,9.0,10.0,23.0,3.0,33.0,32.0,42.0,18.0,243.0,26.0,79.0,49.0,12.0,131.0,6.0,186.0,16.0,38.0,11.0,60.0
941,1.0,0.0,34.0,5.0,4.0,10.0,68.0,8.0,11.0,25.0,7.0,3.0,15.0,6.0,2.0,32.0,28.0,26.0,288.0,79.0,31.0,60.0,38.0,43.0,29.0,151.0,51.0,179.0,105.0,48.0
990,7.0,0.0,20.0,2.0,3.0,11.0,4.0,8.0,10.0,9.0,5.0,1.0,13.0,21.0,23.0,28.0,25.0,108.0,19.0,37.0,171.0,60.0,33.0,46.0,14.0,195.0,50.0,45.0,76.0,64.0
1039,1.0,4.0,24.0,13.0,3.0,7.0,2.0,8.0,10.0,12.0,5.0,0.0,23.0,15.0,17.0,9.0,18.0,201.0,6.0,37.0,184.0,30.0,69.0,126.0,16.0,64.0,28.0,110.0,48.0,82.0
1088,2.0,0.0,114.0,11.0,6.0,13.0,5.0,4.0,3.0,12.0,1.0,29.0,17.0,14.0,7.0,15.0,24.0,16.0,54.0,57.0,265.0,150.0,39.0,223.0,619.0,261.0,10.0,31.0,44.0,48.0
1137,4.0,7.0,10.0,2.0,8.0,0.0,13.0,15.0,11.0,14.0,1.0,3.0,19.0,38.0,25.0,20.0,6.0,26.0,28.0,39.0,121.0,71.0,52.0,124.0,77.0,356.0,63.0,100.0,49.0,24.0
1186,0.0,6.0,13.0,5.0,1.0,7.0,8.0,12.0,9.0,85.0,3.0,2.0,4.0,37.0,10.0,11.0,74.0,39.0,15.0,20.0,44.0,19.0,18.0,107.0,90.0,197.0,28.0,272.0,33.0,24.0
1235,3.0,2.0,80.0,6.0,9.0,5.0,4.0,7.0,12.0,18.0,0.0,1.0,36.0,29.0,24.0,10.0,14.0,168.0,17.0,25.0,93.0,56.0,26.0,117.0,48.0,19.0,15.0,111.0,32.0,30.0
1284,2.0,0.0,16.0,9.0,3.0,4.0,1.0,8.0,6.0,18.0,5.0,10.0,7.0,11.0,12.0,20.0,24.0,143.0,14.0,115.0,242.0,188.0,28.0,81.0,157.0,51.0,25.0,173.0,42.0,245.0
1333,1.0,0.0,14.0,12.0,3.0,4.0,2.0,6.0,5.0,16.0,10.0,8.0,21.0,13.0,143.0,7.0,9.0,69.0,11.0,30.0,83.0,54.0,15.0,26.0,106.0,144.0,22.0,152.0,66.0,36.0
1382,1.0,0.0,22.0,7.0,3.0,9.0,2.0,6.0,5.0,11.0,4.0,13.0,50.0,8.0,58.0,14.0,23.0,80.0,28.0,19.0,299.0,54.0,18.0,30.0,70.0,74.0,36.0,37.0,76.0,15.0
1431,3.0,0.0,41.0,20.0,5.0,10.0,4.0,8.0,2.0,39.0,7.0,1.0,12.0,19.0,48.0,27.0,32.0,11.0,13.0,323.0,102.0,36.0,22.0,214.0,105.0,71.0,124.0,266.0,61.0,115.0
1480,1.0,24.0,63.0,0.0,10.0,8.0,48.0,7.0,58.0,11.0,18.0,32.0,3.0,21.0,9.0,6.0,35.0,2.0,53.0,5.0,38.0,13.0,122.0,62.0,55.0,16.0,33.0,37.0,146.0,195.0
1529,0.0,17.0,12.0,2.0,10.0,4.0,1.0,3.0,20.0,7.0,6.0,29.0,14.0,65.0,24.0,13.0,23.0,11.0,99.0,9.0,16.0,15.0,55.0,26.0,201.0,62.0,19.0,28.0,41.0,996.0
1578,0.0,9.0,28.0,1.0,19.0,10.0,5.0,4.0,3.0,14.0,8.0,56.0,6.0,22.0,15.0,23.0,205.0,7.0,24.0,2.0,27.0,41.0,18.0,44.0,145.0,34.0,12.0,51.0,108.0,121.0
1627,0.0,8.0,14.0,17.0,4.0,2.0,1.0,3.0,39.0,40.0,6.0,19.0,9.0,29.0,15.0,12.0,28.0,5.0,32.0,11.0,25.0,27.0,22.0,26.0,297.0,81.0,18.0,13.0,65.0,197.0
1676,1.0,15.0,6.0,3.0,13.0,2.0,4.0,8.0,14.0,9.0,115.0,69.0,10.0,18.0,106.0,5.0,26.0,0.0,16.0,22.0,34.0,12.0,80.0,40.0,89.0,50.0,52.0,19.0,121.0,150.0
1725,1.0,7.0,8.0,20.0,4.0,10.0,2.0,9.0,11.0,14.0,5.0,49.0,3.0,24.0,44.0,38.0,131.0,12.0,21.0,0.0,82.0,16.0,39.0,37.0,17.0,110.0,31.0,152.0,60.0,538.0
1774,0.0,2.0,25.0,3.0,6.0,10.0,15.0,4.0,31.0,5.0,17.0,9.0,8.0,12.0,13.0,14.0,192.0,24.0,34.0,20.0,152.0,28.0,22.0,32.0,313.0,162.0,26.0,45.0,19.0,229.0
1823,0.0,21.0,19.0,14.0,9.0,17.0,6.0,10.0,49.0,16.0,11.0,47.0,1.0,13.0,12.0,28.0,3.0,22.0,27.0,18.0,4.0,67.0,42.0,7.0,307.0,43.0,40.0,35.0,44.0,355.0
1872,0.0,17.0,4.0,18.0,45.0,13.0,16.0,1.0,29.0,5.0,6.0,23.0,10.0,15.0,2.0,14.0,98.0,3.0,47.0,12.0,40.0,21.0,63.0,11.0,262.0,30.0,26.0,50.0,77.0,263.0
1921,2.0,1.0,0.0,8.0,3.0,10.0,7.0,5.0,65.0,12.0,29.0,55.0,69.0,9.0,96.0,56.0,261.0,4.0,32.0,6.0,16.0,19.0,71.0,14.0,224.0,194.0,21.0,23.0,27.0,60.0
1970,0.0,6.0,1.0,25.0,11.0,2.0,8.0,50.0,13.0,19.0,7.0,30.0,39.0,20.0,12.0,15.0,26.0,91.0,115.0,21.0,86.0,283.0,41.0,80.0,3.0,10.0,100.0,150.0,93.0,5.0
2019,1.0,0.0,6.0,2.0,44.0,4.0,35.0,38.0,15.0,20.0,12.0,130.0,8.0,17.0,3.0,113.0,5.0,82.0,140.0,59.0,73.0,63.0,40.0,84.0,33.0,25.0,91.0,41.0,116.0,18.0
2068,0.0,1.0,19.0,5.0,12.0,8.0,4.0,10.0,6.0,15.0,2.0,9.0,13.0,14.0,60.0,110.0,23.0,553.0,39.0,17.0,150.0,107.0,18.0,45.0,16.0,34.0,41.0,30.0,96.0,29.0
2117,3.0,0.0,7.0,22.0,2.0,1.0,12.0,10.0,5.0,77.0,8.0,29.0,4.0,39.0,28.0,161.0,73.0,376.0,146.0,45.0,270.0,40.0,13.0,168.0,122.0,6.0,54.0,422.0,166.0,72.0
2166,4.0,1.0,2.0,6.0,0.0,8.0,29.0,44.0,7.0,57.0,3.0,35.0,20.0,11.0,30.0,18.0,45.0,311.0,62.0,90.0,72.0,106.0,24.0,63.0,100.0,38.0,114.0,70.0,26.0,33.0
2215,2.0,0.0,30.0,14.0,3.0,7.0,1.0,23.0,4.0,22.0,10.0,48.0,9.0,6.0,31.0,47.0,16.0,170.0,58.0,107.0,150.0,121.0,18.0,56.0,8.0,26.0,61.0,39.0,102.0,5.0
2264,3.0,5.0,6.0,14.0,1.0,13.0,0.0,9.0,7.0,25.0,18.0,16.0,24.0,50.0,8.0,22.0,42.0,754.0,35.0,227.0,31.0,43.0,19.0,170.0,4.0,2.0,82.0,75.0,44.0,28.0
2313,2.0,7.0,5.0,3.0,12.0,19.0,176.0,79.0,21.0,98.0,15.0,13.0,0.0,4.0,20.0,113.0,76.0,645.0,148.0,278.0,209.0,14.0,74.0,50.0,8.0,1.0,165.0,173.0,75.0,62.0
2362,0.0,1.0,7.0,3.0,14.0,2.0,6.0,13.0,9.0,33.0,12.0,17.0,21.0,44.0,30.0,15.0,19.0,188.0,41.0,28.0,683.0,53.0,16.0,74.0,119.0,58.0,26.0,34.0,8.0,99.0
2411,1.0,8.0,0.0,46.0,5.0,3.0,7.0,13.0,20.0,109.0,35.0,90.0,16.0,55.0,17.0,98.0,10.0,264.0,47.0,26.0,21.0,32.0,22.0,149.0,54.0,4.0,191.0,92.0,15.0,24.0
2460,0.0,1.0,6.0,62.0,5.0,2.0,30.0,14.0,11.0,12.0,32.0,4.0,10.0,35.0,7.0,60.0,3.0,36.0,26.0,25.0,8.0,139.0,29.0,13.0,154.0,9.0,38.0,330.0,18.0,27.0
