,pantothenate,cytidine,niacinamide,adenosine,alpha-glycerophosphocholine,leucine,hypoxanthine,beta-alanine,valerylcarnitine,serine,GABA,C56:5 TAG,putrescine,DHAP/glyceraldehyde 3P,C22:6 LPC,2-deoxyadenosine,glutamine,uridine,oxalate,C18:0 LPC,taurodeoxycholate,C16:0 LPE,N-carbamoyl-beta-alanine,butyrylcarnitine/isobutyrylcarnitine,pyroglutamic acid,creatinine,palmitoylcarnitine,C22:6 LPE,3-phosphoglycerate,sarcosine
24,0.0,5.0,7.0,4.0,2.0,9.0,1.0,8.0,16.0,11.0,18.0,23.0,10.0,3.0,25.0,22.0,42.0,6.0,15.0,17.0,38.0,14.0,27.0,20.0,21.0,54.0,56.0,26.0,46.0,24.0
73,1.0,3.0,11.0,0.0,5.0,9.0,6.0,19.0,29.0,7.0,44.0,13.0,26.0,10.0,15.0,18.0,49.0,14.0,12.0,24.0,16.0,4.0,20.0,28.0,25.0,55.0,33.0,23.0,34.0,31.0
122,2.0,1.0,10.0,0.0,9.0,8.0,12.0,5.0,14.0,19.0,31.0,11.0,15.0,3.0,28.0,21.0,44.0,13.0,18.0,17.0,7.0,4.0,24.0,27.0,30.0,55.0,25.0,23.0,32.0,47.0
171,0.0,3.0,4.0,1.0,8.0,10.0,13.0,16.0,19.0,41.0,30.0,9.0,2.0,15.0,17.0,29.0,7.0,6.0,5.0,26.0,18.0,12.0,21.0,25.0,23.0,46.0,59.0,27.0,22.0,48.0
220,1.0,5.0,8.0,2.0,3.0,9.0,7.0,6.0,28.0,11.0,37.0,18.0,13.0,10.0,31.0,25.0,14.0,4.0,15.0,30.0,16.0,20.0,21.0,27.0,24.0,23.0,29.0,32.0,26.0,35.0
269,2.0,0.0,10.0,1.0,6.0,3.0,13.0,8.0,33.0,14.0,43.0,17.0,4.0,5.0,19.0,32.0,15.0,44.0,7.0,29.0,12.0,18.0,22.0,26.0,24.0,21.0,54.0,30.0,23.0,28.0
318,0.0,3.0,10.0,1.0,12.0,2.0,6.0,9.0,34.0,11.0,19.0,8.0,4.0,13.0,18.0,14.0,16.0,20.0,7.0,29.0,15.0,30.0,41.0,26.0,33.0,23.0,27.0,31.0,24.0,28.0
367,0.0,2.0,3.0,1.0,4.0,15.0,8.0,19.0,11.0,10.0,9.0,12.0,18.0,16.0,14.0,6.0,23.0,17.0,22.0,28.0,20.0,21.0,24.0,32.0,27.0,26.0,51.0,29.0,25.0,46.0
416,1.0,3.0,2.0,0.0,5.0,19.0,9.0,7.0,12.0,18.0,13.0,4.0,8.0,14.0,24.0,16.0,23.0,10.0,22.0,30.0,11.0,21.0,41.0,34.0,28.0,25.0,50.0,51.0,27.0,29.0
465,0.0,15.0,4.0,1.0,5.0,20.0,11.0,2.0,22.0,47.0,36.0,3.0,18.0,19.0,21.0,16.0,12.0,7.0,9.0,8.0,10.0,13.0,34.0,27.0,33.0,30.0,28.0,24.0,35.0,29.0
