,CORO2A,AKR1E2,TSTD1,OCIAD2,SLFN13,RP11-2B6.3,LXN,ZBED6CL,RP11-390F4.3,C1orf186,PLAGL1,RAB3D,S100A2,FZD6,RP11-330L19.1,ADRB2,LAMB3,ZDHHC12,CCDC120,XDH,ANKS6,SYTL1,ZNF185,APOL1,PTPN3,RIN2,GALNT14,GPX3,ZNF876P,PRSS16
1478,0.0,26.0,15.0,3.0,126.0,14.0,20.0,53.0,4.0,7.0,12.0,11.0,9.0,19.0,182.0,100.0,27.0,17.0,61.0,13.0,273.0,178.0,28.0,34.0,239.0,63.0,1.0,36.0,150.0,78.0
1527,0.0,5.0,7.0,14.0,147.0,3.0,1.0,86.0,41.0,10.0,47.0,2.0,6.0,29.0,187.0,19.0,61.0,40.0,23.0,24.0,13.0,506.0,22.0,60.0,251.0,16.0,4.0,42.0,276.0,274.0
1576,0.0,3.0,1.0,5.0,14.0,13.0,2.0,12.0,4.0,9.0,10.0,48.0,11.0,98.0,669.0,157.0,63.0,27.0,6.0,99.0,44.0,51.0,76.0,53.0,447.0,177.0,7.0,879.0,72.0,23.0
1625,0.0,2.0,3.0,6.0,22.0,11.0,12.0,7.0,1.0,4.0,13.0,14.0,9.0,21.0,173.0,16.0,40.0,31.0,26.0,20.0,36.0,61.0,56.0,25.0,799.0,521.0,5.0,122.0,23.0,97.0
1674,0.0,2.0,1.0,6.0,47.0,9.0,29.0,5.0,4.0,13.0,43.0,12.0,3.0,18.0,600.0,11.0,103.0,69.0,15.0,10.0,49.0,354.0,25.0,33.0,3488.0,85.0,8.0,60.0,150.0,250.0
1723,0.0,5.0,10.0,2.0,35.0,7.0,53.0,1.0,3.0,6.0,107.0,8.0,4.0,12.0,253.0,11.0,73.0,23.0,29.0,72.0,360.0,321.0,25.0,16.0,346.0,101.0,74.0,122.0,169.0,231.0
1772,0.0,21.0,2.0,9.0,6.0,3.0,62.0,5.0,1.0,4.0,14.0,132.0,23.0,52.0,45.0,13.0,24.0,10.0,11.0,253.0,203.0,68.0,349.0,33.0,195.0,140.0,120.0,34.0,50.0,31.0
1821,0.0,17.0,10.0,2.0,13.0,5.0,1.0,9.0,22.0,6.0,35.0,7.0,8.0,11.0,18.0,12.0,109.0,66.0,25.0,39.0,20.0,115.0,30.0,65.0,132.0,40.0,3.0,34.0,99.0,41.0
1870,0.0,6.0,47.0,16.0,40.0,4.0,175.0,191.0,1.0,3.0,118.0,7.0,2.0,9.0,507.0,10.0,74.0,48.0,27.0,79.0,38.0,156.0,97.0,90.0,1014.0,41.0,8.0,225.0,85.0,51.0
1919,0.0,2.0,19.0,5.0,8.0,1.0,39.0,4.0,3.0,7.0,83.0,9.0,10.0,51.0,301.0,26.0,32.0,73.0,37.0,144.0,55.0,215.0,80.0,35.0,446.0,33.0,14.0,270.0,24.0,23.0
1968,0.0,4.0,5.0,6.0,8.0,15.0,7.0,1.0,53.0,32.0,198.0,155.0,139.0,2.0,13.0,36.0,38.0,69.0,23.0,120.0,157.0,266.0,1344.0,31.0,29.0,65.0,728.0,284.0,85.0,249.0
2017,0.0,6.0,1.0,4.0,3.0,5.0,21.0,2.0,30.0,22.0,301.0,47.0,42.0,11.0,23.0,51.0,25.0,14.0,50.0,278.0,146.0,97.0,256.0,27.0,8.0,104.0,314.0,106.0,56.0,92.0
2066,0.0,4.0,1.0,5.0,3.0,12.0,40.0,2.0,6.0,16.0,195.0,54.0,62.0,7.0,8.0,51.0,15.0,20.0,53.0,317.0,103.0,116.0,251.0,14.0,24.0,11.0,295.0,56.0,46.0,95.0
2115,0.0,6.0,1.0,2.0,4.0,12.0,29.0,3.0,9.0,61.0,162.0,33.0,158.0,11.0,24.0,95.0,18.0,53.0,72.0,157.0,263.0,36.0,65.0,20.0,14.0,10.0,188.0,76.0,55.0,48.0
2164,0.0,5.0,1.0,17.0,27.0,3.0,6.0,2.0,14.0,32.0,274.0,55.0,49.0,13.0,43.0,135.0,50.0,35.0,7.0,46.0,537.0,31.0,131.0,12.0,10.0,21.0,932.0,223.0,162.0,96.0
2213,0.0,22.0,4.0,3.0,1.0,8.0,11.0,2.0,10.0,14.0,134.0,26.0,33.0,6.0,9.0,60.0,15.0,34.0,103.0,180.0,132.0,149.0,460.0,16.0,12.0,41.0,305.0,1129.0,79.0,66.0
2262,0.0,69.0,5.0,12.0,4.0,18.0,25.0,3.0,77.0,11.0,14.0,2.0,21.0,41.0,23.0,144.0,7.0,10.0,381.0,396.0,190.0,33.0,59.0,6.0,27.0,15.0,43.0,72.0,877.0,70.0
2311,0.0,47.0,1.0,18.0,23.0,8.0,82.0,70.0,24.0,5.0,189.0,29.0,51.0,2.0,34.0,269.0,31.0,79.0,111.0,55.0,86.0,62.0,312.0,28.0,17.0,57.0,642.0,53.0,157.0,16.0
2360,0.0,26.0,3.0,8.0,5.0,15.0,848.0,1.0,13.0,42.0,274.0,24.0,33.0,11.0,23.0,17.0,2.0,37.0,109.0,153.0,334.0,36.0,276.0,10.0,61.0,78.0,383.0,88.0,49.0,91.0
2409,0.0,5.0,3.0,11.0,1.0,18.0,98.0,2.0,8.0,36.0,43.0,23.0,147.0,25.0,4.0,52.0,9.0,45.0,24.0,269.0,126.0,7.0,565.0,28.0,41.0,42.0,341.0,51.0,191.0,66.0
2458,0.0,2.0,13.0,15.0,25.0,21.0,1.0,17.0,5.0,85.0,30.0,50.0,445.0,43.0,14.0,420.0,16.0,9.0,33.0,89.0,110.0,42.0,7.0,47.0,23.0,19.0,277.0,263.0,66.0,24.0
2507,9.0,1.0,97.0,13.0,3.0,70.0,0.0,14.0,26.0,31.0,18.0,198.0,352.0,12.0,19.0,360.0,83.0,45.0,54.0,24.0,133.0,7.0,2.0,75.0,372.0,11.0,6.0,5.0,64.0,27.0
2556,0.0,13.0,2.0,195.0,65.0,14.0,38.0,810.0,25.0,9.0,10.0,39.0,432.0,93.0,24.0,516.0,155.0,18.0,17.0,53.0,126.0,3.0,5.0,40.0,365.0,81.0,11.0,80.0,54.0,64.0
2605,5.0,14.0,16.0,47.0,20.0,302.0,0.0,17.0,2.0,27.0,7.0,18.0,812.0,44.0,4.0,335.0,25.0,10.0,23.0,8.0,140.0,6.0,1.0,21.0,82.0,22.0,54.0,57.0,29.0,12.0
2654,9.0,1.0,6.0,15.0,77.0,67.0,0.0,11.0,53.0,19.0,74.0,17.0,1270.0,56.0,2.0,872.0,22.0,24.0,30.0,29.0,10.0,5.0,25.0,42.0,147.0,27.0,76.0,72.0,78.0,26.0
2703,0.0,3.0,5.0,81.0,20.0,16.0,2.0,18.0,27.0,12.0,10.0,76.0,330.0,28.0,6.0,313.0,24.0,8.0,193.0,220.0,25.0,48.0,15.0,44.0,148.0,11.0,49.0,61.0,19.0,63.0
2752,2.0,1.0,16.0,10.0,7.0,89.0,0.0,13.0,12.0,6.0,24.0,68.0,413.0,49.0,25.0,491.0,36.0,38.0,31.0,39.0,90.0,8.0,3.0,43.0,119.0,4.0,17.0,32.0,14.0,19.0
2801,0.0,7.0,10.0,33.0,19.0,109.0,38.0,4.0,25.0,12.0,5.0,59.0,322.0,130.0,3.0,11.0,41.0,21.0,81.0,99.0,258.0,8.0,9.0,43.0,141.0,205.0,142.0,15.0,263.0,60.0
2850,1.0,7.0,3.0,6.0,4.0,61.0,0.0,21.0,15.0,14.0,18.0,22.0,215.0,52.0,5.0,685.0,35.0,13.0,28.0,20.0,256.0,8.0,11.0,12.0,94.0,38.0,27.0,132.0,10.0,29.0
2899,1.0,0.0,10.0,15.0,80.0,13.0,57.0,6.0,3.0,9.0,81.0,115.0,207.0,88.0,23.0,53.0,70.0,41.0,26.0,97.0,325.0,27.0,22.0,56.0,637.0,11.0,212.0,149.0,129.0,25.0
2948,0.0,9.0,2.0,52.0,29.0,8.0,44.0,48.0,4.0,5.0,1.0,6.0,15.0,41.0,37.0,16.0,32.0,21.0,76.0,26.0,11.0,31.0,23.0,253.0,24.0,40.0,83.0,27.0,206.0,45.0
2997,0.0,14.0,5.0,38.0,561.0,6.0,17.0,258.0,8.0,9.0,1.0,31.0,12.0,26.0,170.0,60.0,77.0,32.0,57.0,13.0,20.0,188.0,54.0,420.0,30.0,124.0,48.0,231.0,212.0,46.0
3046,0.0,131.0,2.0,74.0,94.0,33.0,187.0,58.0,12.0,5.0,1.0,13.0,7.0,3.0,120.0,24.0,4.0,15.0,118.0,78.0,48.0,38.0,304.0,19.0,64.0,421.0,14.0,9.0,252.0,16.0
3095,0.0,11.0,1.0,115.0,31.0,16.0,20.0,263.0,13.0,8.0,2.0,4.0,24.0,30.0,111.0,218.0,37.0,18.0,177.0,10.0,28.0,41.0,6.0,130.0,54.0,29.0,22.0,26.0,84.0,21.0
3144,1.0,22.0,8.0,82.0,11.0,3.0,43.0,224.0,18.0,9.0,0.0,31.0,17.0,19.0,268.0,45.0,13.0,36.0,121.0,7.0,23.0,12.0,42.0,78.0,26.0,60.0,54.0,15.0,164.0,100.0
3193,0.0,3.0,4.0,22.0,23.0,8.0,38.0,168.0,10.0,13.0,1.0,5.0,17.0,19.0,247.0,35.0,51.0,31.0,109.0,9.0,44.0,43.0,25.0,97.0,12.0,87.0,130.0,82.0,86.0,27.0
3242,0.0,28.0,1.0,32.0,36.0,20.0,30.0,85.0,2.0,10.0,4.0,22.0,56.0,5.0,94.0,101.0,27.0,9.0,258.0,19.0,61.0,51.0,39.0,41.0,25.0,686.0,89.0,185.0,198.0,86.0
3291,0.0,4.0,3.0,10.0,51.0,59.0,32.0,37.0,2.0,12.0,1.0,49.0,8.0,30.0,219.0,45.0,29.0,106.0,128.0,17.0,54.0,23.0,28.0,193.0,53.0,139.0,16.0,18.0,96.0,44.0
3340,0.0,11.0,2.0,232.0,32.0,1.0,89.0,39.0,6.0,9.0,3.0,8.0,22.0,14.0,474.0,87.0,243.0,41.0,77.0,17.0,27.0,25.0,12.0,74.0,51.0,19.0,113.0,29.0,2432.0,30.0
3389,2.0,38.0,1.0,74.0,26.0,4.0,17.0,791.0,3.0,5.0,0.0,66.0,36.0,123.0,435.0,159.0,128.0,9.0,39.0,12.0,23.0,22.0,42.0,54.0,49.0,129.0,53.0,77.0,75.0,47.0
3438,3.0,2.0,5.0,8.0,11.0,174.0,0.0,15.0,33.0,46.0,44.0,1.0,18.0,48.0,28.0,4.0,27.0,98.0,65.0,7.0,32.0,62.0,13.0,42.0,84.0,121.0,73.0,14.0,21.0,75.0
3487,0.0,3.0,76.0,13.0,45.0,54.0,26.0,1.0,5.0,52.0,6.0,21.0,11.0,44.0,18.0,19.0,72.0,79.0,42.0,100.0,112.0,9.0,8.0,30.0,256.0,57.0,87.0,16.0,75.0,41.0
