,FRA1,MEK1_pS217_S221,Src_pY527,CDK1,CD49b,Annexin 1,HER3,Bax,Src,Src_pY416,YB-1_pS102,Gab2,Transglutaminase,PKC-pan_BetaII_pS660,TIGAR,Smac,Rab25,Raptor,E-Cadherin,Smad3,14-3-3_zeta,HSP70,Notch1,p53,XBP1,VAV1,Cyclin_E1,Rb,p90RSK_pT573,MIG-6
2,0.0,1.0,2.0,5.0,6.0,3.0,16.0,4.0,12.0,8.0,20.0,26.0,7.0,9.0,18.0,17.0,27.0,50.0,21.0,10.0,19.0,22.0,62.0,14.0,11.0,23.0,38.0,29.0,13.0,24.0
51,0.0,1.0,6.0,4.0,10.0,3.0,13.0,5.0,9.0,7.0,11.0,20.0,27.0,18.0,12.0,32.0,24.0,16.0,23.0,8.0,22.0,15.0,17.0,2.0,14.0,34.0,49.0,71.0,19.0,29.0
100,4.0,0.0,2.0,3.0,10.0,9.0,1.0,5.0,21.0,6.0,14.0,15.0,8.0,12.0,19.0,27.0,13.0,22.0,28.0,11.0,16.0,32.0,23.0,7.0,17.0,53.0,40.0,42.0,18.0,43.0
149,1.0,0.0,3.0,6.0,9.0,5.0,2.0,10.0,7.0,14.0,11.0,21.0,12.0,13.0,15.0,16.0,26.0,22.0,44.0,8.0,19.0,34.0,4.0,18.0,20.0,17.0,39.0,46.0,33.0,48.0
198,1.0,0.0,5.0,6.0,7.0,3.0,8.0,2.0,15.0,13.0,14.0,17.0,11.0,10.0,25.0,19.0,22.0,29.0,26.0,9.0,35.0,36.0,12.0,4.0,18.0,24.0,41.0,23.0,27.0,28.0
247,1.0,0.0,5.0,2.0,47.0,6.0,4.0,3.0,16.0,21.0,9.0,10.0,15.0,17.0,12.0,20.0,7.0,34.0,24.0,8.0,18.0,39.0,19.0,14.0,11.0,35.0,55.0,42.0,13.0,26.0
296,1.0,0.0,2.0,5.0,6.0,8.0,3.0,11.0,7.0,21.0,10.0,20.0,23.0,4.0,18.0,29.0,12.0,24.0,19.0,14.0,27.0,49.0,31.0,17.0,9.0,16.0,66.0,22.0,13.0,15.0
345,0.0,7.0,3.0,11.0,22.0,8.0,4.0,6.0,10.0,13.0,5.0,2.0,15.0,14.0,19.0,20.0,33.0,21.0,29.0,1.0,32.0,34.0,17.0,9.0,12.0,16.0,61.0,23.0,27.0,18.0
394,1.0,0.0,2.0,3.0,19.0,4.0,6.0,9.0,7.0,11.0,13.0,26.0,33.0,8.0,16.0,24.0,22.0,36.0,18.0,10.0,20.0,5.0,17.0,14.0,15.0,35.0,23.0,25.0,12.0,28.0
443,3.0,0.0,6.0,2.0,7.0,1.0,10.0,4.0,18.0,11.0,8.0,17.0,5.0,13.0,19.0,26.0,14.0,16.0,27.0,24.0,12.0,51.0,15.0,9.0,25.0,47.0,64.0,38.0,21.0,22.0
492,0.0,2.0,3.0,5.0,17.0,12.0,6.0,4.0,1.0,8.0,14.0,19.0,11.0,28.0,18.0,7.0,20.0,9.0,13.0,39.0,10.0,21.0,33.0,40.0,24.0,30.0,23.0,29.0,22.0,38.0
541,1.0,0.0,3.0,5.0,30.0,12.0,22.0,7.0,10.0,2.0,19.0,16.0,9.0,25.0,26.0,8.0,14.0,21.0,4.0,40.0,13.0,6.0,27.0,28.0,15.0,18.0,45.0,11.0,24.0,31.0
590,2.0,1.0,0.0,8.0,22.0,7.0,14.0,20.0,3.0,5.0,13.0,4.0,26.0,12.0,27.0,16.0,11.0,19.0,15.0,17.0,6.0,23.0,34.0,30.0,41.0,47.0,32.0,18.0,24.0,43.0
639,2.0,3.0,0.0,4.0,11.0,9.0,13.0,5.0,16.0,1.0,12.0,6.0,25.0,14.0,28.0,20.0,8.0,10.0,7.0,51.0,19.0,18.0,26.0,21.0,24.0,30.0,17.0,22.0,43.0,39.0
688,0.0,1.0,3.0,5.0,15.0,7.0,4.0,13.0,6.0,2.0,9.0,10.0,41.0,25.0,24.0,12.0,14.0,8.0,11.0,34.0,17.0,18.0,22.0,40.0,23.0,35.0,52.0,28.0,37.0,55.0
737,0.0,3.0,1.0,4.0,22.0,5.0,12.0,2.0,9.0,15.0,6.0,8.0,20.0,26.0,18.0,16.0,13.0,7.0,10.0,39.0,11.0,24.0,21.0,27.0,25.0,33.0,29.0,36.0,17.0,32.0
786,0.0,1.0,10.0,5.0,29.0,18.0,15.0,6.0,20.0,2.0,16.0,11.0,30.0,13.0,22.0,8.0,14.0,4.0,23.0,46.0,3.0,12.0,24.0,27.0,31.0,33.0,17.0,28.0,40.0,55.0
835,0.0,2.0,9.0,5.0,15.0,8.0,10.0,7.0,4.0,1.0,14.0,17.0,21.0,19.0,26.0,16.0,20.0,11.0,3.0,38.0,6.0,13.0,35.0,46.0,18.0,24.0,31.0,22.0,27.0,49.0
884,0.0,13.0,1.0,3.0,20.0,10.0,15.0,26.0,5.0,2.0,4.0,7.0,14.0,19.0,17.0,11.0,31.0,12.0,8.0,24.0,16.0,22.0,9.0,28.0,21.0,18.0,35.0,23.0,29.0,36.0
933,0.0,2.0,3.0,1.0,9.0,23.0,8.0,29.0,6.0,5.0,12.0,22.0,31.0,27.0,10.0,24.0,13.0,14.0,18.0,19.0,11.0,7.0,15.0,43.0,26.0,25.0,4.0,21.0,17.0,33.0
982,1.0,3.0,0.0,8.0,20.0,5.0,7.0,18.0,2.0,14.0,6.0,4.0,23.0,9.0,16.0,10.0,27.0,21.0,26.0,12.0,17.0,13.0,28.0,24.0,15.0,11.0,25.0,19.0,30.0,22.0
1031,0.0,1.0,3.0,2.0,10.0,8.0,5.0,9.0,4.0,25.0,14.0,26.0,11.0,7.0,12.0,15.0,22.0,33.0,20.0,6.0,21.0,23.0,39.0,16.0,46.0,27.0,13.0,18.0,30.0,19.0
1080,0.0,5.0,1.0,6.0,17.0,4.0,2.0,9.0,3.0,35.0,11.0,16.0,10.0,21.0,18.0,27.0,32.0,7.0,29.0,12.0,26.0,41.0,14.0,8.0,24.0,13.0,20.0,28.0,49.0,42.0
1129,0.0,2.0,34.0,1.0,10.0,11.0,15.0,14.0,20.0,7.0,8.0,17.0,3.0,13.0,4.0,9.0,21.0,6.0,23.0,5.0,16.0,27.0,25.0,32.0,22.0,28.0,18.0,31.0,24.0,12.0
1178,0.0,1.0,4.0,2.0,6.0,5.0,15.0,7.0,10.0,23.0,17.0,3.0,8.0,18.0,9.0,11.0,22.0,14.0,36.0,26.0,19.0,13.0,33.0,16.0,38.0,28.0,12.0,35.0,21.0,54.0
1227,4.0,2.0,0.0,1.0,22.0,6.0,3.0,18.0,5.0,23.0,15.0,7.0,12.0,14.0,11.0,8.0,20.0,17.0,29.0,13.0,16.0,30.0,9.0,33.0,25.0,28.0,10.0,21.0,54.0,19.0
1276,0.0,6.0,1.0,4.0,3.0,16.0,8.0,10.0,5.0,25.0,7.0,31.0,2.0,9.0,13.0,28.0,22.0,14.0,36.0,11.0,12.0,19.0,17.0,30.0,15.0,23.0,29.0,21.0,39.0,33.0
1325,0.0,2.0,1.0,4.0,3.0,7.0,14.0,31.0,5.0,10.0,11.0,16.0,8.0,9.0,15.0,13.0,17.0,22.0,40.0,12.0,18.0,6.0,19.0,20.0,25.0,32.0,30.0,29.0,23.0,50.0
1374,0.0,1.0,4.0,2.0,8.0,7.0,10.0,5.0,3.0,30.0,22.0,17.0,9.0,6.0,14.0,12.0,25.0,13.0,41.0,11.0,15.0,16.0,23.0,18.0,24.0,20.0,21.0,28.0,36.0,19.0
1423,0.0,1.0,7.0,3.0,15.0,4.0,18.0,12.0,2.0,19.0,16.0,11.0,6.0,8.0,14.0,5.0,26.0,20.0,32.0,13.0,17.0,22.0,10.0,9.0,28.0,27.0,21.0,23.0,25.0,30.0
1472,0.0,17.0,23.0,2.0,18.0,5.0,11.0,13.0,10.0,3.0,15.0,8.0,1.0,7.0,4.0,12.0,9.0,26.0,14.0,6.0,27.0,78.0,20.0,106.0,24.0,19.0,77.0,21.0,29.0,22.0
1521,0.0,15.0,11.0,3.0,5.0,1.0,4.0,8.0,20.0,14.0,7.0,6.0,28.0,9.0,19.0,26.0,16.0,13.0,2.0,25.0,22.0,39.0,12.0,29.0,18.0,38.0,44.0,42.0,35.0,33.0
1570,2.0,4.0,8.0,0.0,6.0,1.0,3.0,14.0,18.0,9.0,7.0,5.0,17.0,13.0,11.0,20.0,21.0,16.0,10.0,23.0,22.0,43.0,31.0,54.0,15.0,27.0,41.0,24.0,46.0,19.0
1619,0.0,6.0,11.0,2.0,17.0,1.0,7.0,3.0,13.0,16.0,8.0,4.0,9.0,10.0,14.0,15.0,26.0,5.0,19.0,18.0,20.0,65.0,23.0,59.0,22.0,28.0,56.0,27.0,30.0,45.0
1668,2.0,13.0,9.0,0.0,8.0,3.0,10.0,6.0,5.0,12.0,14.0,1.0,11.0,17.0,7.0,15.0,27.0,4.0,16.0,21.0,22.0,42.0,19.0,23.0,18.0,39.0,52.0,24.0,26.0,33.0
1717,0.0,9.0,6.0,2.0,3.0,1.0,12.0,4.0,14.0,11.0,8.0,5.0,10.0,15.0,13.0,22.0,18.0,7.0,17.0,16.0,20.0,43.0,26.0,35.0,19.0,32.0,30.0,27.0,47.0,23.0
1766,3.0,7.0,8.0,1.0,19.0,0.0,2.0,6.0,9.0,4.0,14.0,5.0,12.0,21.0,10.0,16.0,20.0,13.0,11.0,18.0,23.0,34.0,15.0,50.0,24.0,39.0,59.0,31.0,35.0,43.0
1815,0.0,10.0,4.0,5.0,6.0,1.0,2.0,7.0,11.0,13.0,8.0,3.0,9.0,12.0,20.0,24.0,22.0,15.0,14.0,16.0,25.0,33.0,23.0,51.0,18.0,35.0,64.0,21.0,36.0,29.0
1864,0.0,8.0,4.0,1.0,7.0,2.0,6.0,14.0,21.0,11.0,25.0,3.0,16.0,5.0,18.0,9.0,15.0,10.0,13.0,17.0,26.0,44.0,20.0,31.0,36.0,72.0,90.0,24.0,41.0,19.0
1913,0.0,4.0,2.0,12.0,11.0,1.0,13.0,10.0,7.0,8.0,9.0,3.0,5.0,6.0,20.0,15.0,19.0,18.0,14.0,16.0,22.0,47.0,30.0,44.0,17.0,45.0,37.0,26.0,31.0,23.0
1962,3.0,4.0,7.0,2.0,1.0,6.0,10.0,9.0,8.0,18.0,21.0,29.0,0.0,30.0,5.0,13.0,52.0,20.0,17.0,28.0,19.0,14.0,48.0,55.0,12.0,11.0,39.0,40.0,15.0,27.0
2011,2.0,4.0,5.0,1.0,0.0,12.0,21.0,13.0,11.0,15.0,7.0,8.0,3.0,37.0,9.0,10.0,25.0,18.0,20.0,27.0,30.0,16.0,54.0,41.0,14.0,17.0,44.0,29.0,23.0,35.0
2060,4.0,3.0,13.0,0.0,1.0,8.0,7.0,5.0,53.0,10.0,30.0,14.0,2.0,21.0,9.0,6.0,12.0,15.0,16.0,36.0,52.0,11.0,78.0,44.0,27.0,33.0,26.0,24.0,17.0,23.0
2109,1.0,4.0,11.0,2.0,0.0,9.0,21.0,24.0,8.0,10.0,20.0,5.0,3.0,16.0,7.0,6.0,28.0,18.0,15.0,17.0,26.0,13.0,60.0,40.0,27.0,35.0,30.0,22.0,14.0,29.0
2158,9.0,4.0,5.0,1.0,0.0,13.0,19.0,21.0,10.0,3.0,8.0,15.0,2.0,27.0,7.0,6.0,11.0,14.0,18.0,32.0,29.0,20.0,79.0,45.0,17.0,12.0,23.0,34.0,16.0,30.0
2207,5.0,4.0,8.0,3.0,0.0,7.0,12.0,21.0,14.0,24.0,1.0,9.0,2.0,15.0,11.0,16.0,26.0,13.0,6.0,36.0,27.0,10.0,68.0,54.0,18.0,22.0,39.0,30.0,28.0,17.0
2256,2.0,3.0,12.0,1.0,0.0,18.0,5.0,16.0,13.0,20.0,10.0,14.0,4.0,28.0,6.0,9.0,38.0,19.0,11.0,21.0,36.0,8.0,78.0,60.0,24.0,23.0,34.0,31.0,15.0,32.0
2305,3.0,1.0,5.0,4.0,0.0,20.0,9.0,18.0,26.0,6.0,16.0,7.0,2.0,19.0,8.0,10.0,15.0,14.0,13.0,30.0,55.0,11.0,86.0,39.0,25.0,24.0,22.0,45.0,12.0,28.0
2354,4.0,3.0,6.0,2.0,0.0,5.0,16.0,13.0,20.0,10.0,9.0,15.0,1.0,14.0,7.0,17.0,25.0,12.0,19.0,33.0,38.0,8.0,89.0,51.0,23.0,21.0,34.0,31.0,11.0,30.0
2403,6.0,0.0,12.0,3.0,2.0,14.0,9.0,15.0,8.0,4.0,11.0,19.0,1.0,13.0,7.0,10.0,5.0,22.0,23.0,20.0,48.0,27.0,46.0,61.0,24.0,18.0,62.0,38.0,16.0,26.0
2452,0.0,4.0,1.0,2.0,3.0,18.0,11.0,19.0,7.0,5.0,17.0,25.0,10.0,21.0,8.0,13.0,9.0,28.0,26.0,37.0,42.0,27.0,6.0,44.0,34.0,12.0,14.0,35.0,38.0,20.0
2501,4.0,2.0,1.0,6.0,0.0,11.0,3.0,18.0,10.0,14.0,13.0,42.0,15.0,24.0,21.0,26.0,5.0,12.0,9.0,35.0,40.0,23.0,8.0,33.0,28.0,17.0,7.0,27.0,31.0,41.0
2550,3.0,0.0,2.0,5.0,1.0,6.0,4.0,13.0,16.0,9.0,10.0,18.0,12.0,26.0,19.0,8.0,7.0,30.0,15.0,35.0,22.0,23.0,14.0,32.0,37.0,31.0,11.0,20.0,28.0,17.0
2599,1.0,0.0,3.0,4.0,2.0,7.0,6.0,21.0,10.0,11.0,18.0,24.0,16.0,27.0,15.0,8.0,5.0,20.0,22.0,39.0,38.0,33.0,17.0,9.0,75.0,31.0,14.0,26.0,37.0,45.0
