,hsa-miR-22,hsa-miR-210,hsa-miR-216a,hsa-miR-890,hsa-miR-135b,hsa-miR-142-5p,hsa-miR-193b,hsa-miR-1308,hsa-miR-24,hsa-miR-888,hsa-miR-137,hsa-miR-378,hsa-miR-148a,ebv-miR-BART7,hcmv-miR-US5-1,hsa-miR-186,hsa-miR-151-3p,hsa-miR-597,hsa-miR-485-3p,ebv-miR-BART2-5p,hsa-miR-2116,hsa-miR-7,hsa-miR-10a,hsa-miR-553,hsa-miR-1247,kshv-miR-K12-9,hsa-miR-541,hsa-miR-486-3p,hsa-let-7e,hsa-miR-300
19,4.0,12.0,13.0,20.0,14.0,21.0,52.0,71.0,77.0,99.0,48.0,600.0,106.0,57.0,89.0,46.0,144.0,80.0,110.0,22.0,65.0,295.0,64.0,128.0,39.0,261.0,104.0,34.0,82.0,10.0
68,3.0,12.0,80.0,45.0,52.0,1.0,27.0,16.0,34.0,336.0,28.0,67.0,108.0,72.0,69.0,393.0,96.0,100.0,79.0,65.0,50.0,116.0,15.0,152.0,430.0,260.0,86.0,120.0,57.0,11.0
117,1.0,30.0,15.0,87.0,5.0,377.0,410.0,426.0,27.0,336.0,382.0,0.0,81.0,66.0,85.0,424.0,101.0,42.0,97.0,17.0,593.0,36.0,102.0,74.0,68.0,55.0,130.0,19.0,23.0,570.0
166,0.0,18.0,35.0,56.0,24.0,5.0,414.0,32.0,39.0,242.0,103.0,87.0,390.0,72.0,132.0,374.0,55.0,84.0,74.0,68.0,494.0,331.0,93.0,127.0,431.0,62.0,20.0,90.0,108.0,567.0
215,13.0,17.0,34.0,12.0,41.0,3.0,91.0,384.0,101.0,106.0,116.0,16.0,56.0,73.0,78.0,14.0,93.0,35.0,49.0,79.0,118.0,323.0,20.0,100.0,429.0,29.0,103.0,67.0,30.0,5.0
264,3.0,29.0,31.0,50.0,58.0,59.0,389.0,17.0,103.0,74.0,81.0,1.0,383.0,36.0,27.0,43.0,109.0,63.0,49.0,236.0,92.0,110.0,32.0,86.0,449.0,255.0,177.0,99.0,42.0,18.0
313,23.0,62.0,4.0,8.0,32.0,48.0,29.0,18.0,34.0,93.0,47.0,14.0,490.0,55.0,85.0,16.0,487.0,100.0,60.0,13.0,102.0,314.0,88.0,41.0,20.0,134.0,68.0,40.0,127.0,80.0
362,8.0,34.0,18.0,94.0,16.0,378.0,63.0,31.0,30.0,27.0,86.0,36.0,387.0,43.0,46.0,65.0,33.0,110.0,103.0,265.0,423.0,341.0,68.0,87.0,430.0,174.0,107.0,105.0,59.0,570.0
411,12.0,59.0,5.0,34.0,1.0,378.0,29.0,65.0,112.0,36.0,13.0,562.0,369.0,47.0,55.0,10.0,43.0,49.0,90.0,338.0,113.0,256.0,101.0,84.0,91.0,205.0,99.0,107.0,121.0,568.0
460,1.0,13.0,44.0,18.0,42.0,120.0,8.0,31.0,21.0,23.0,27.0,28.0,55.0,70.0,52.0,391.0,110.0,75.0,57.0,19.0,493.0,25.0,58.0,107.0,427.0,254.0,30.0,90.0,454.0,32.0
509,55.0,61.0,21.0,64.0,19.0,32.0,11.0,45.0,14.0,115.0,15.0,601.0,373.0,80.0,36.0,87.0,43.0,190.0,69.0,327.0,84.0,90.0,100.0,30.0,432.0,219.0,110.0,125.0,113.0,117.0
558,44.0,19.0,27.0,104.0,50.0,78.0,29.0,11.0,32.0,45.0,379.0,551.0,33.0,75.0,279.0,37.0,68.0,83.0,51.0,232.0,4.0,60.0,36.0,10.0,429.0,98.0,123.0,71.0,454.0,573.0
607,584.0,32.0,588.0,334.0,390.0,22.0,15.0,384.0,9.0,33.0,51.0,562.0,364.0,62.0,115.0,10.0,360.0,85.0,101.0,230.0,96.0,313.0,43.0,88.0,77.0,255.0,92.0,502.0,78.0,75.0
656,584.0,6.0,15.0,53.0,18.0,84.0,21.0,16.0,39.0,27.0,126.0,561.0,364.0,113.0,22.0,14.0,361.0,127.0,47.0,58.0,85.0,40.0,95.0,78.0,458.0,256.0,90.0,89.0,42.0,71.0
705,1.0,16.0,32.0,50.0,45.0,378.0,70.0,6.0,21.0,33.0,84.0,525.0,370.0,96.0,111.0,422.0,113.0,72.0,110.0,226.0,59.0,34.0,53.0,48.0,89.0,159.0,125.0,501.0,455.0,571.0
754,59.0,18.0,28.0,39.0,23.0,89.0,8.0,1.0,9.0,130.0,94.0,12.0,112.0,48.0,75.0,30.0,128.0,238.0,105.0,263.0,58.0,373.0,74.0,93.0,25.0,277.0,92.0,113.0,297.0,108.0
803,4.0,15.0,52.0,38.0,74.0,58.0,32.0,436.0,19.0,119.0,80.0,614.0,481.0,115.0,21.0,10.0,55.0,229.0,71.0,253.0,113.0,100.0,131.0,92.0,104.0,274.0,93.0,53.0,297.0,49.0
