,DYRK4_MUT,VAT1L_DEL,OR4C11_DEL,FBXO31_DEL,THSD7B_AMP,SCYL2_MUT,FAM153C_AMP,RPL23AP82_DEL,PTEN_DEL,SELT_DEL,ETS1_DEL,ADM2_DEL,DBF4_MUT,BANP_DEL,OSGIN1_DEL,PIK3R4_MUT,IRF8_DEL,KLLN_DEL,PLXNB2_DEL,TBC1D3C_DEL,NHP2_AMP,ATAD1_DEL,CFL1P1_DEL,TTTY16_DEL,RAPGEF2_MUT,PCF11_AMP,DPP10_DEL,RP11-165H20.1_DEL,TTTY12_DEL,SGMS1_DEL
4393,32.0,6.0,42.0,98.0,1181.0,2.0,21.0,7333.0,224.0,135.0,0.0,8270.0,1.0,70.0,54.0,40.0,308.0,18893.0,5880.0,14.0,13.0,10332.0,329.0,6434.0,970.0,15143.0,64.0,185.0,1571.0,650.0
4442,8.0,6.0,1269.0,84.0,128.0,10926.0,49.0,7968.0,38.0,48.0,6303.0,8243.0,7.0,102.0,7083.0,209.0,91.0,45.0,1172.0,28.0,47.0,2222.0,20712.0,5964.0,0.0,50.0,13114.0,106.0,498.0,97.0
4491,2.0,25.0,57.0,33.0,99.0,1246.0,155.0,484.0,21.0,31.0,135.0,83.0,4.0,17.0,26.0,251.0,304.0,79.0,6960.0,0.0,78.0,200.0,143.0,2183.0,111.0,612.0,210.0,447.0,1889.0,3.0
4540,24.0,17.0,507.0,67.0,9.0,1500.0,289.0,8162.0,15.0,27.0,7748.0,8287.0,10118.0,37.0,49.0,452.0,12.0,101.0,7037.0,3.0,15885.0,76.0,70.0,305.0,1386.0,140.0,128.0,84.0,3487.0,13.0
4589,0.0,16.0,3032.0,9.0,55.0,1447.0,144.0,687.0,6.0,5.0,905.0,8158.0,3.0,56.0,38.0,169.0,175.0,8.0,673.0,42.0,173.0,4.0,7.0,1078.0,16948.0,23.0,2552.0,1083.0,9992.0,7388.0
4638,20.0,6.0,101.0,25.0,1.0,159.0,1044.0,5.0,11280.0,2.0,155.0,376.0,24.0,91.0,847.0,86.0,1858.0,59.0,31.0,250.0,72.0,53.0,8.0,7719.0,6959.0,50.0,13079.0,244.0,3278.0,21.0
4687,13.0,133.0,5522.0,154.0,6.0,17091.0,701.0,29.0,1.0,7.0,265.0,20.0,180.0,1076.0,3929.0,698.0,16.0,280.0,12.0,4.0,258.0,10230.0,45.0,1374.0,1047.0,69.0,12795.0,5736.0,1219.0,7541.0
4736,0.0,3.0,3451.0,36.0,106.0,188.0,15.0,217.0,19.0,9.0,5817.0,588.0,1676.0,16.0,38.0,124.0,85.0,158.0,932.0,7.0,2.0,58.0,70.0,2015.0,111.0,513.0,2121.0,285.0,140.0,6.0
4785,1.0,11.0,420.0,115.0,8.0,78.0,412.0,121.0,7.0,1507.0,758.0,2349.0,2.0,17.0,54.0,119.0,83.0,430.0,553.0,157.0,34.0,13.0,28.0,929.0,888.0,39.0,12840.0,432.0,10025.0,7262.0
4834,9.0,11.0,201.0,12.0,1381.0,243.0,14.0,358.0,0.0,21.0,5033.0,8152.0,1175.0,16.0,31.0,16557.0,84.0,1488.0,6970.0,1.0,22166.0,102.0,688.0,174.0,27.0,24.0,2969.0,257.0,9960.0,718.0
4883,2.0,500.0,96.0,1.0,0.0,526.0,132.0,40.0,98.0,85.0,221.0,1369.0,1921.0,24.0,123.0,791.0,196.0,1032.0,7005.0,5.0,167.0,104.0,110.0,1125.0,929.0,42.0,12758.0,139.0,3505.0,9.0
