,DYRK4_MUT,VAT1L_DEL,OR4C11_DEL,FBXO31_DEL,THSD7B_AMP,SCYL2_MUT,FAM153C_AMP,RPL23AP82_DEL,PTEN_DEL,SELT_DEL,ETS1_DEL,ADM2_DEL,DBF4_MUT,BANP_DEL,OSGIN1_DEL,PIK3R4_MUT,IRF8_DEL,KLLN_DEL,PLXNB2_DEL,TBC1D3C_DEL,NHP2_AMP,ATAD1_DEL,CFL1P1_DEL,TTTY16_DEL,RAPGEF2_MUT,PCF11_AMP,DPP10_DEL,RP11-165H20.1_DEL,TTTY12_DEL,SGMS1_DEL
1943,393.0,253.0,39.0,150.0,19.0,109.0,368.0,17.0,1337.0,59.0,40.0,5.0,106.0,10976.0,7135.0,783.0,15.0,19977.0,34.0,5507.0,178.0,359.0,20692.0,43.0,14.0,15813.0,12829.0,1374.0,58.0,155.0
1992,245.0,26.0,4.0,130.0,95.0,61.0,41.0,11.0,12975.0,424.0,28.0,18.0,16814.0,7.0,1063.0,161.0,83.0,18805.0,8.0,114.0,52.0,3581.0,4833.0,6157.0,565.0,99.0,12796.0,76.0,633.0,6240.0
2041,1048.0,99.0,68.0,11.0,815.0,9.0,14.0,3.0,410.0,1.0,0.0,146.0,20.0,36.0,534.0,1173.0,295.0,1218.0,77.0,73.0,115.0,602.0,4931.0,23.0,810.0,177.0,12785.0,809.0,2.0,6360.0
2090,83.0,12779.0,111.0,6.0,2129.0,3.0,98.0,21.0,13058.0,79.0,53.0,115.0,639.0,61.0,3831.0,16618.0,65.0,203.0,63.0,74.0,35.0,10201.0,66.0,7128.0,8.0,432.0,12755.0,1007.0,10.0,364.0
2139,44.0,102.0,23.0,723.0,32.0,134.0,26.0,45.0,1869.0,8.0,5.0,11.0,341.0,101.0,31.0,16645.0,19.0,943.0,452.0,1003.0,46.0,1232.0,4785.0,21.0,1.0,73.0,410.0,5386.0,16.0,6216.0
2188,1103.0,4.0,50.0,12.0,28.0,295.0,164.0,1101.0,95.0,10.0,3.0,444.0,60.0,14.0,31.0,3502.0,114.0,209.0,135.0,20.0,142.0,412.0,2549.0,79.0,133.0,160.0,12898.0,26.0,11.0,7044.0
2237,190.0,8.0,309.0,78.0,999.0,3.0,17.0,824.0,57.0,22.0,0.0,733.0,127.0,108.0,38.0,906.0,25.0,90.0,7336.0,12.0,22182.0,94.0,6770.0,177.0,55.0,92.0,305.0,29.0,31.0,4449.0
2286,38.0,160.0,166.0,1.0,36.0,54.0,26.0,2.0,29.0,138.0,8.0,7.0,592.0,15.0,759.0,667.0,61.0,182.0,21.0,315.0,13.0,116.0,504.0,80.0,103.0,241.0,12721.0,5365.0,802.0,6534.0
2335,2264.0,32.0,52.0,391.0,447.0,46.0,95.0,6.0,809.0,49.0,4.0,82.0,3549.0,62.0,3797.0,413.0,290.0,18822.0,7107.0,63.0,331.0,207.0,1201.0,1.0,3.0,151.0,12800.0,522.0,72.0,324.0
2384,47.0,11.0,3.0,86.0,27.0,0.0,1.0,491.0,192.0,10639.0,7.0,132.0,48.0,19.0,31.0,90.0,44.0,125.0,178.0,8.0,10.0,21.0,944.0,664.0,23.0,721.0,12831.0,338.0,56.0,6606.0
2433,381.0,32.0,25.0,53.0,495.0,1403.0,8.0,2525.0,352.0,66.0,9.0,58.0,136.0,262.0,122.0,1960.0,219.0,99.0,786.0,3301.0,292.0,34.0,6572.0,2.0,0.0,40.0,9348.0,6801.0,3.0,2405.0
2482,1.0,21.0,9.0,7.0,167.0,64.0,82.0,24.0,109.0,11477.0,493.0,14.0,50.0,1131.0,169.0,17.0,13.0,67.0,53.0,4837.0,172.0,185.0,115.0,40.0,0.0,20.0,2346.0,75.0,12.0,96.0
2531,8.0,6.0,95.0,9.0,23044.0,2.0,471.0,5.0,0.0,10512.0,117.0,3.0,170.0,110.0,56.0,16574.0,29.0,26.0,24.0,3835.0,119.0,438.0,5898.0,407.0,11.0,49.0,12770.0,106.0,9822.0,7281.0
2580,8.0,11519.0,35.0,12.0,596.0,3.0,104.0,208.0,2645.0,5061.0,75.0,127.0,248.0,112.0,833.0,117.0,152.0,2546.0,6460.0,502.0,497.0,268.0,906.0,1808.0,5.0,90.0,11523.0,480.0,1330.0,8069.0
2629,5.0,6.0,320.0,13.0,23022.0,2.0,237.0,16.0,7.0,1068.0,0.0,32.0,3.0,129.0,35.0,118.0,297.0,18806.0,139.0,2727.0,98.0,467.0,4857.0,1338.0,12.0,127.0,52.0,10.0,720.0,18.0
2678,0.0,2.0,101.0,1.0,271.0,5.0,254.0,6531.0,13136.0,2142.0,35.0,8266.0,36.0,80.0,41.0,31.0,138.0,1412.0,5755.0,2091.0,22224.0,91.0,180.0,238.0,318.0,803.0,12840.0,33.0,416.0,4.0
2727,268.0,5.0,125.0,2.0,1225.0,9.0,8.0,12.0,124.0,718.0,1254.0,8114.0,61.0,10947.0,13.0,6.0,281.0,1052.0,139.0,3904.0,67.0,10180.0,308.0,162.0,293.0,50.0,60.0,157.0,1207.0,4.0
2776,0.0,138.0,8.0,10.0,216.0,7.0,22.0,62.0,118.0,10687.0,6.0,117.0,20.0,156.0,3402.0,49.0,15.0,395.0,176.0,3376.0,334.0,10226.0,440.0,6220.0,32.0,185.0,12795.0,286.0,1050.0,2.0
2825,0.0,18.0,20.0,37.0,22758.0,9.0,68.0,5.0,9275.0,12567.0,41.0,839.0,23.0,48.0,149.0,11.0,49.0,18880.0,7187.0,11744.0,173.0,11315.0,602.0,13.0,527.0,54.0,9068.0,212.0,35.0,29.0
2874,31.0,40.0,111.0,24.0,1405.0,163.0,2419.0,116.0,8696.0,3278.0,32.0,113.0,16740.0,367.0,5229.0,16560.0,323.0,18873.0,67.0,11745.0,22585.0,3373.0,3075.0,69.0,60.0,101.0,9244.0,172.0,679.0,189.0
2923,5.0,139.0,145.0,32.0,349.0,7.0,193.0,76.0,21.0,1451.0,0.0,24.0,261.0,115.0,646.0,399.0,60.0,20055.0,7500.0,4420.0,205.0,721.0,20487.0,7586.0,54.0,13.0,1211.0,6.0,461.0,2.0
2972,4.0,1.0,45.0,195.0,124.0,19.0,30.0,2687.0,15.0,38.0,623.0,1409.0,29.0,57.0,68.0,139.0,43.0,833.0,3222.0,4772.0,185.0,291.0,48.0,194.0,17012.0,15174.0,148.0,2146.0,854.0,13.0
3021,6.0,1.0,98.0,3.0,84.0,19.0,56.0,25.0,255.0,66.0,739.0,43.0,13.0,11.0,44.0,153.0,291.0,3036.0,6558.0,1509.0,15896.0,40.0,39.0,212.0,11189.0,977.0,15.0,36.0,192.0,8164.0
3070,5.0,79.0,0.0,15.0,19.0,13.0,21827.0,371.0,32.0,144.0,7850.0,233.0,10.0,55.0,22.0,87.0,278.0,18872.0,533.0,14.0,22218.0,251.0,1096.0,7174.0,447.0,288.0,485.0,295.0,714.0,180.0
3119,37.0,1.0,6.0,26.0,4.0,63.0,22.0,2292.0,3.0,10538.0,295.0,76.0,17.0,11.0,25.0,929.0,180.0,39.0,35.0,57.0,22634.0,58.0,52.0,394.0,83.0,193.0,12744.0,1048.0,456.0,5437.0
