,OR2T2_AMP,WNK1_MUT,PRB1_AMP,ESPNP_DEL,RNF103-CHMP3_DEL,OR4F21_DEL,GALNT13_DEL,OBSCN_MUT,POU5F1B_AMP,CNTNAP3B_AMP,NBPF4_DEL,OR2T35_AMP,GSTT1_AMP,EP300_MUT,UNC13C_DEL,CFHR3_AMP,CNTN5_DEL,BRAF_MUT,TP53_MUT,EYS_DEL,RPTOR_AMP,UGT2B28_DEL,LINC00221_AMP,CFHR1_AMP,IL1RAPL1_DEL,KCNIP4_AMP,DOCK10_AMP,ARHGAP22_DEL,SIGLEC14_DEL,PKHD1_MUT
1111,8.0,11.0,21472.0,58.0,20875.0,2306.0,35.0,48.0,89.0,24.0,14.0,30.0,14683.0,28.0,19.0,49.0,74.0,45.0,107.0,103.0,51.0,59.0,14485.0,114.0,127.0,18.0,21420.0,87.0,18676.0,16509.0
1160,4.0,52.0,55.0,1354.0,20877.0,70.0,31.0,130.0,40.0,17.0,26.0,93.0,115.0,85.0,2336.0,111.0,10420.0,16564.0,169.0,51.0,92.0,9390.0,14505.0,139.0,138.0,39.0,21434.0,12109.0,147.0,63.0
1209,19.0,41.0,36.0,4.0,82.0,37.0,3993.0,53.0,121.0,13.0,38.0,25.0,102.0,104.0,2358.0,76.0,10420.0,74.0,79.0,93.0,143.0,9392.0,99.0,181.0,91.0,189.0,80.0,116.0,56.0,151.0
1258,4.0,77.0,62.0,1368.0,6.0,20.0,3974.0,57.0,95.0,30.0,104.0,106.0,64.0,70.0,2326.0,59.0,66.0,10.0,75.0,107.0,123.0,63.0,27.0,114.0,4131.0,118.0,124.0,39.0,18671.0,94.0
1307,23.0,49.0,42.0,1338.0,51.0,57.0,3991.0,86.0,32.0,41.0,3817.0,98.0,194.0,89.0,2334.0,136.0,10423.0,44.0,93.0,2694.0,73.0,9394.0,14506.0,71.0,80.0,115.0,60.0,114.0,18685.0,64.0
1356,19.0,30.0,9.0,0.0,24.0,29.0,62.0,27.0,77.0,16.0,53.0,13737.0,54.0,111.0,45.0,108.0,93.0,16577.0,130.0,118.0,153.0,90.0,51.0,82.0,104.0,133.0,105.0,37.0,18680.0,16516.0
1405,62.0,14.0,60.0,7.0,11.0,10.0,31.0,144.0,44.0,3.0,21.0,54.0,112.0,113.0,2335.0,142.0,63.0,16565.0,93.0,174.0,127.0,9391.0,14506.0,134.0,77.0,92.0,126.0,150.0,119.0,130.0
1454,135.0,90.0,51.0,1.0,20875.0,102.0,19.0,29.0,48.0,22735.0,65.0,33.0,47.0,52.0,2356.0,156.0,10414.0,40.0,137.0,88.0,163.0,38.0,63.0,74.0,99.0,19172.0,145.0,73.0,66.0,8.0
1503,13726.0,50.0,34.0,61.0,169.0,28.0,78.0,131.0,47.0,22733.0,41.0,17.0,156.0,16212.0,106.0,18009.0,10421.0,42.0,88.0,81.0,69.0,162.0,51.0,111.0,4170.0,110.0,96.0,35.0,10.0,53.0
1552,47.0,16530.0,49.0,17.0,16.0,2049.0,36.0,121.0,20.0,22732.0,3852.0,41.0,207.0,55.0,19.0,6.0,122.0,7.0,176.0,60.0,104.0,9388.0,29.0,117.0,4161.0,40.0,69.0,12114.0,18671.0,16510.0
