,phosphocreatine,DHAP/glyceraldehyde 3P,homocysteine,2-deoxyadenosine,palmitoylcarnitine,pantothenate,dCMP,beta-alanine,creatine,C18:0 LPC,isocitrate,guanosine,C56:5 TAG,C22:6 CE,C18:0 LPE,uracil,C34:2 DAG,cis/trans-hydroxyproline,C16:0 LPE,niacinamide,taurodeoxycholate,valerylcarnitine,adenosine,hippurate,NADP,putrescine,alpha-glycerophosphocholine,creatinine,N-carbamoyl-beta-alanine,5-HIAA
22,2.0,0.0,3.0,11.0,1.0,6.0,5.0,4.0,10.0,18.0,8.0,30.0,16.0,17.0,7.0,28.0,26.0,15.0,25.0,14.0,24.0,19.0,22.0,47.0,36.0,13.0,46.0,20.0,33.0,23.0
71,2.0,3.0,0.0,7.0,1.0,19.0,6.0,8.0,5.0,26.0,14.0,13.0,17.0,11.0,18.0,10.0,9.0,12.0,43.0,20.0,15.0,34.0,16.0,31.0,46.0,25.0,30.0,24.0,29.0,27.0
120,10.0,12.0,1.0,6.0,0.0,11.0,16.0,3.0,2.0,23.0,13.0,4.0,28.0,14.0,36.0,33.0,9.0,8.0,20.0,22.0,17.0,15.0,7.0,35.0,18.0,19.0,30.0,26.0,32.0,47.0
169,9.0,1.0,2.0,12.0,0.0,15.0,5.0,3.0,6.0,22.0,28.0,13.0,14.0,11.0,10.0,21.0,4.0,7.0,32.0,19.0,27.0,30.0,17.0,35.0,26.0,42.0,8.0,29.0,20.0,33.0
218,5.0,2.0,0.0,11.0,1.0,28.0,14.0,3.0,10.0,12.0,6.0,4.0,21.0,9.0,38.0,16.0,8.0,13.0,40.0,7.0,18.0,33.0,15.0,45.0,17.0,23.0,42.0,32.0,19.0,25.0
267,9.0,4.0,2.0,1.0,3.0,39.0,6.0,0.0,17.0,12.0,7.0,25.0,15.0,33.0,26.0,5.0,14.0,18.0,13.0,10.0,16.0,11.0,21.0,32.0,34.0,36.0,29.0,28.0,22.0,48.0
316,10.0,3.0,2.0,8.0,0.0,9.0,4.0,1.0,5.0,6.0,27.0,24.0,32.0,33.0,31.0,29.0,7.0,19.0,38.0,34.0,14.0,35.0,25.0,23.0,28.0,15.0,12.0,16.0,21.0,50.0
365,15.0,2.0,0.0,5.0,1.0,7.0,8.0,3.0,20.0,19.0,23.0,6.0,4.0,26.0,36.0,25.0,27.0,9.0,45.0,13.0,16.0,24.0,12.0,35.0,14.0,18.0,37.0,17.0,48.0,54.0
414,0.0,4.0,2.0,3.0,1.0,11.0,30.0,6.0,17.0,16.0,22.0,14.0,9.0,20.0,23.0,13.0,10.0,7.0,26.0,12.0,24.0,27.0,21.0,35.0,36.0,28.0,40.0,39.0,15.0,48.0
463,3.0,1.0,0.0,2.0,8.0,23.0,20.0,7.0,6.0,11.0,14.0,34.0,15.0,24.0,35.0,12.0,4.0,27.0,9.0,22.0,13.0,28.0,18.0,10.0,5.0,25.0,39.0,26.0,21.0,49.0
