,DHAP/glyceraldehyde 3P,3-phosphoglycerate,1-methylnicotinamide,inosine,beta-alanine,homocysteine,carnitine,inositol,pantothenate,C22:6 LPC,SDMA/ADMA,2-deoxyadenosine,C34:4 PC,oxalate,phosphocreatine,leucine,NADP,serotonin,2-deoxycytidine,C56:5 TAG,C36:1 DAG,PEP,uridine,pyroglutamic acid,niacinamide,acetylcholine,alpha-glycerophosphocholine,cotinine,alpha-hydroxybutyrate,UMP
21,0.0,1.0,3.0,2.0,4.0,22.0,23.0,5.0,14.0,13.0,8.0,16.0,9.0,18.0,27.0,52.0,7.0,12.0,11.0,25.0,21.0,47.0,10.0,15.0,33.0,37.0,42.0,29.0,59.0,43.0
70,1.0,4.0,11.0,0.0,8.0,2.0,9.0,5.0,21.0,6.0,10.0,18.0,26.0,19.0,13.0,37.0,17.0,22.0,30.0,15.0,38.0,34.0,14.0,44.0,24.0,54.0,46.0,40.0,39.0,47.0
119,6.0,15.0,1.0,0.0,4.0,8.0,2.0,19.0,21.0,5.0,37.0,12.0,52.0,3.0,40.0,9.0,7.0,14.0,57.0,17.0,16.0,23.0,20.0,48.0,13.0,26.0,10.0,33.0,39.0,30.0
168,6.0,11.0,1.0,0.0,9.0,8.0,7.0,2.0,10.0,4.0,39.0,3.0,23.0,13.0,56.0,16.0,18.0,32.0,48.0,15.0,46.0,58.0,26.0,54.0,22.0,19.0,57.0,43.0,31.0,29.0
217,3.0,11.0,5.0,7.0,0.0,14.0,21.0,8.0,6.0,1.0,40.0,33.0,37.0,15.0,53.0,18.0,4.0,64.0,61.0,32.0,36.0,12.0,16.0,9.0,26.0,28.0,47.0,10.0,57.0,60.0
266,5.0,17.0,3.0,1.0,0.0,41.0,37.0,6.0,18.0,24.0,22.0,2.0,12.0,29.0,7.0,13.0,15.0,39.0,40.0,11.0,43.0,8.0,42.0,59.0,47.0,25.0,52.0,9.0,55.0,27.0
315,5.0,6.0,2.0,7.0,0.0,30.0,12.0,4.0,19.0,8.0,17.0,53.0,15.0,14.0,23.0,9.0,25.0,3.0,57.0,16.0,29.0,43.0,33.0,42.0,1.0,41.0,59.0,10.0,26.0,44.0
364,0.0,39.0,3.0,4.0,6.0,5.0,7.0,1.0,12.0,23.0,49.0,44.0,17.0,9.0,45.0,19.0,2.0,21.0,54.0,47.0,52.0,8.0,13.0,10.0,11.0,18.0,34.0,46.0,28.0,32.0
413,1.0,28.0,3.0,16.0,14.0,8.0,21.0,2.0,17.0,13.0,40.0,32.0,5.0,4.0,34.0,0.0,10.0,38.0,29.0,33.0,20.0,15.0,64.0,46.0,6.0,30.0,56.0,27.0,58.0,53.0
462,0.0,1.0,7.0,10.0,8.0,4.0,11.0,5.0,17.0,12.0,49.0,21.0,15.0,6.0,50.0,22.0,2.0,3.0,19.0,54.0,14.0,16.0,31.0,20.0,27.0,64.0,63.0,25.0,13.0,52.0
511,0.0,3.0,19.0,1.0,24.0,4.0,13.0,2.0,20.0,7.0,22.0,55.0,26.0,11.0,36.0,6.0,25.0,8.0,5.0,33.0,31.0,46.0,42.0,39.0,21.0,15.0,23.0,56.0,41.0,66.0
560,1.0,2.0,41.0,6.0,18.0,0.0,8.0,16.0,19.0,30.0,26.0,39.0,22.0,3.0,17.0,48.0,33.0,13.0,25.0,23.0,43.0,59.0,24.0,5.0,7.0,9.0,47.0,12.0,28.0,49.0
609,2.0,4.0,16.0,13.0,28.0,0.0,6.0,21.0,38.0,34.0,53.0,17.0,19.0,20.0,12.0,7.0,31.0,8.0,5.0,33.0,36.0,23.0,50.0,39.0,3.0,18.0,32.0,60.0,55.0,56.0
658,1.0,4.0,40.0,29.0,19.0,0.0,3.0,7.0,41.0,28.0,8.0,35.0,18.0,9.0,14.0,17.0,16.0,24.0,6.0,45.0,26.0,5.0,38.0,2.0,37.0,32.0,30.0,25.0,44.0,66.0
707,0.0,6.0,20.0,7.0,13.0,1.0,2.0,3.0,8.0,60.0,4.0,42.0,26.0,24.0,10.0,22.0,35.0,41.0,12.0,18.0,23.0,25.0,46.0,29.0,50.0,36.0,19.0,56.0,11.0,59.0
756,0.0,3.0,9.0,18.0,14.0,1.0,16.0,6.0,24.0,30.0,8.0,26.0,42.0,7.0,2.0,10.0,15.0,12.0,4.0,50.0,31.0,49.0,55.0,25.0,13.0,21.0,44.0,40.0,28.0,36.0
805,0.0,6.0,12.0,16.0,24.0,1.0,5.0,7.0,20.0,40.0,13.0,59.0,21.0,19.0,37.0,9.0,32.0,53.0,2.0,15.0,18.0,50.0,66.0,4.0,31.0,36.0,28.0,39.0,55.0,30.0
854,2.0,13.0,51.0,22.0,19.0,4.0,0.0,1.0,24.0,14.0,33.0,21.0,7.0,3.0,48.0,9.0,15.0,42.0,26.0,18.0,10.0,50.0,60.0,5.0,23.0,62.0,11.0,52.0,49.0,43.0
903,0.0,3.0,24.0,15.0,11.0,1.0,2.0,4.0,21.0,65.0,5.0,6.0,13.0,22.0,42.0,23.0,19.0,27.0,8.0,12.0,14.0,33.0,30.0,7.0,17.0,49.0,32.0,31.0,26.0,54.0
