,STOMACH,PROSTATE,OESOPHAGUS,HAEMATOPOIETIC,LARGE_INTESTINE,URINARY,GANGLIA,KIDNEY,AERODIGESTIVE,ENDOMETRIUM,PLEURA,BILIARY,SALIVARY,BONE,SOFT_TISSUE,BREAST,LIVER,PANCREAS,SKIN,THYROID,OVARY,NERVOUS,LUNG
43,4.0,3.0,5.0,7.0,8.0,0.0,6.0,1.0,9.0,2.0,10.0,11.0,12.0,15.0,13.0,16.0,20.0,22.0,17.0,18.0,14.0,19.0,21.0
92,0.0,7.0,1.0,3.0,4.0,8.0,2.0,9.0,5.0,6.0,14.0,10.0,11.0,13.0,21.0,15.0,12.0,16.0,17.0,22.0,18.0,19.0,20.0
141,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,17.0,21.0,18.0,19.0,15.0,16.0,20.0,22.0
190,1.0,0.0,3.0,5.0,8.0,2.0,7.0,6.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,17.0,16.0,18.0,19.0,20.0,4.0,22.0,21.0
239,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,15.0,10.0,12.0,14.0,16.0,17.0,13.0,18.0,19.0,20.0,11.0,21.0,22.0
288,5.0,4.0,6.0,8.0,9.0,0.0,7.0,1.0,10.0,2.0,3.0,11.0,12.0,14.0,15.0,17.0,20.0,22.0,18.0,16.0,13.0,19.0,21.0
337,3.0,2.0,5.0,0.0,1.0,4.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,19.0,18.0,16.0,20.0,21.0,6.0,22.0,17.0
386,1.0,0.0,2.0,5.0,4.0,12.0,3.0,6.0,7.0,8.0,9.0,10.0,13.0,15.0,16.0,18.0,14.0,19.0,17.0,20.0,11.0,21.0,22.0
435,3.0,2.0,5.0,0.0,1.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,13.0,20.0,22.0
484,0.0,9.0,1.0,7.0,8.0,5.0,6.0,2.0,3.0,4.0,10.0,12.0,13.0,11.0,15.0,17.0,16.0,18.0,19.0,20.0,14.0,21.0,22.0
533,0.0,8.0,6.0,2.0,3.0,1.0,9.0,7.0,4.0,5.0,14.0,10.0,11.0,13.0,18.0,15.0,12.0,19.0,20.0,21.0,22.0,16.0,17.0
582,0.0,8.0,7.0,2.0,4.0,1.0,9.0,3.0,5.0,6.0,10.0,11.0,12.0,14.0,15.0,16.0,22.0,17.0,18.0,19.0,20.0,21.0,13.0
631,0.0,8.0,7.0,2.0,4.0,1.0,9.0,3.0,5.0,6.0,16.0,13.0,12.0,15.0,17.0,18.0,14.0,19.0,20.0,21.0,11.0,22.0,10.0
680,1.0,10.0,8.0,3.0,5.0,2.0,9.0,4.0,6.0,7.0,15.0,12.0,11.0,14.0,21.0,16.0,13.0,17.0,18.0,19.0,22.0,20.0,0.0
729,3.0,9.0,7.0,4.0,6.0,0.0,10.0,5.0,1.0,2.0,15.0,11.0,12.0,14.0,8.0,16.0,22.0,17.0,18.0,19.0,20.0,21.0,13.0
778,0.0,8.0,7.0,2.0,4.0,1.0,9.0,3.0,5.0,6.0,13.0,10.0,11.0,17.0,18.0,14.0,12.0,19.0,20.0,21.0,22.0,15.0,16.0
827,0.0,8.0,6.0,3.0,2.0,1.0,19.0,7.0,4.0,5.0,15.0,10.0,9.0,14.0,21.0,17.0,13.0,18.0,16.0,11.0,12.0,20.0,22.0
876,0.0,8.0,7.0,2.0,4.0,1.0,9.0,3.0,5.0,6.0,13.0,10.0,11.0,17.0,18.0,14.0,12.0,19.0,20.0,21.0,22.0,15.0,16.0
925,0.0,8.0,6.0,2.0,1.0,11.0,7.0,3.0,4.0,5.0,14.0,10.0,9.0,13.0,22.0,15.0,12.0,19.0,18.0,20.0,21.0,16.0,17.0
974,0.0,7.0,8.0,1.0,3.0,6.0,9.0,2.0,4.0,5.0,22.0,10.0,11.0,13.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0
