,niacinamide,C18:0 LPC,serine,guanosine,dCMP,isocitrate,N-carbamoyl-beta-alanine,cotinine,uracil,valerylcarnitine,glutamine,palmitoylcarnitine,phosphocreatine,1-methylnicotinamide,serotonin,C36:4 PC-B,adenosine,inositol,2-deoxyadenosine,C16:0 LPE,UMP,alpha-glycerophosphate,butyrylcarnitine/isobutyrylcarnitine,asparagine,C22:6 LPC,C22:6 LPE,C56:5 TAG,creatinine,GABA,C36:1 DAG
22,4.0,6.0,2.0,7.0,43.0,14.0,5.0,18.0,22.0,1.0,12.0,0.0,9.0,16.0,37.0,10.0,39.0,27.0,17.0,13.0,24.0,3.0,35.0,11.0,28.0,20.0,26.0,44.0,30.0,33.0
71,9.0,0.0,2.0,6.0,21.0,4.0,1.0,8.0,7.0,5.0,10.0,17.0,13.0,15.0,25.0,11.0,36.0,29.0,24.0,38.0,40.0,3.0,57.0,18.0,48.0,19.0,23.0,30.0,12.0,27.0
120,6.0,1.0,2.0,0.0,32.0,17.0,13.0,5.0,12.0,3.0,8.0,10.0,14.0,11.0,9.0,22.0,36.0,37.0,15.0,21.0,23.0,4.0,18.0,28.0,48.0,16.0,20.0,42.0,50.0,33.0
169,2.0,1.0,3.0,0.0,30.0,7.0,29.0,6.0,4.0,12.0,34.0,5.0,15.0,26.0,13.0,20.0,14.0,11.0,21.0,35.0,16.0,22.0,36.0,32.0,31.0,10.0,9.0,23.0,18.0,38.0
218,5.0,2.0,1.0,6.0,28.0,15.0,25.0,12.0,16.0,0.0,4.0,3.0,22.0,30.0,8.0,18.0,44.0,45.0,19.0,17.0,7.0,42.0,11.0,35.0,20.0,10.0,26.0,29.0,32.0,46.0
267,3.0,4.0,0.0,8.0,6.0,5.0,19.0,10.0,16.0,13.0,7.0,37.0,1.0,2.0,17.0,14.0,21.0,41.0,23.0,32.0,15.0,12.0,35.0,9.0,30.0,18.0,25.0,38.0,45.0,47.0
316,1.0,4.0,3.0,0.0,14.0,5.0,9.0,6.0,12.0,8.0,16.0,2.0,10.0,13.0,24.0,28.0,27.0,37.0,7.0,31.0,17.0,20.0,42.0,19.0,35.0,25.0,33.0,38.0,21.0,29.0
365,0.0,6.0,5.0,1.0,4.0,10.0,25.0,11.0,26.0,16.0,8.0,2.0,14.0,3.0,12.0,9.0,45.0,24.0,23.0,19.0,15.0,7.0,34.0,18.0,29.0,36.0,30.0,22.0,33.0,31.0
414,0.0,5.0,6.0,1.0,36.0,8.0,28.0,2.0,23.0,3.0,4.0,9.0,7.0,17.0,20.0,22.0,27.0,11.0,24.0,15.0,16.0,13.0,30.0,10.0,44.0,19.0,25.0,31.0,41.0,33.0
463,4.0,8.0,2.0,0.0,14.0,11.0,10.0,38.0,18.0,12.0,7.0,1.0,25.0,13.0,29.0,5.0,42.0,19.0,20.0,36.0,28.0,17.0,23.0,6.0,44.0,47.0,27.0,15.0,31.0,34.0
512,2.0,11.0,17.0,0.0,5.0,1.0,15.0,10.0,4.0,23.0,39.0,37.0,18.0,32.0,25.0,3.0,22.0,19.0,6.0,13.0,44.0,16.0,43.0,14.0,12.0,38.0,21.0,34.0,42.0,8.0
561,8.0,22.0,1.0,3.0,0.0,4.0,2.0,19.0,13.0,15.0,14.0,5.0,31.0,12.0,6.0,9.0,18.0,28.0,27.0,21.0,10.0,36.0,43.0,20.0,26.0,17.0,38.0,30.0,40.0,35.0
610,18.0,5.0,10.0,0.0,13.0,3.0,6.0,2.0,1.0,7.0,12.0,20.0,32.0,44.0,29.0,9.0,8.0,11.0,17.0,16.0,39.0,4.0,50.0,24.0,21.0,30.0,28.0,46.0,34.0,36.0
659,3.0,4.0,11.0,1.0,0.0,5.0,14.0,2.0,10.0,22.0,30.0,9.0,25.0,20.0,38.0,6.0,17.0,32.0,33.0,15.0,48.0,21.0,19.0,12.0,29.0,47.0,7.0,28.0,35.0,27.0
708,1.0,4.0,21.0,2.0,3.0,0.0,6.0,8.0,9.0,17.0,31.0,16.0,19.0,13.0,25.0,28.0,12.0,38.0,7.0,23.0,22.0,11.0,44.0,33.0,14.0,27.0,39.0,29.0,32.0,20.0
757,4.0,12.0,6.0,1.0,0.0,16.0,23.0,2.0,7.0,9.0,25.0,11.0,14.0,26.0,15.0,5.0,18.0,17.0,33.0,3.0,22.0,28.0,34.0,31.0,24.0,13.0,10.0,29.0,43.0,40.0
806,7.0,10.0,9.0,3.0,17.0,8.0,4.0,6.0,18.0,19.0,12.0,35.0,22.0,13.0,26.0,0.0,16.0,28.0,14.0,15.0,32.0,1.0,45.0,33.0,20.0,24.0,27.0,30.0,48.0,29.0
855,2.0,27.0,34.0,3.0,0.0,1.0,14.0,6.0,4.0,10.0,17.0,35.0,26.0,25.0,38.0,13.0,5.0,20.0,7.0,15.0,49.0,48.0,30.0,21.0,8.0,37.0,9.0,23.0,32.0,41.0
904,1.0,10.0,29.0,0.0,3.0,2.0,5.0,6.0,4.0,11.0,7.0,18.0,27.0,17.0,25.0,21.0,15.0,44.0,13.0,35.0,26.0,16.0,52.0,12.0,20.0,42.0,33.0,22.0,45.0,23.0
953,0.0,3.0,36.0,1.0,5.0,9.0,2.0,6.0,4.0,8.0,10.0,15.0,11.0,38.0,39.0,18.0,23.0,33.0,31.0,14.0,46.0,13.0,22.0,20.0,37.0,24.0,7.0,12.0,26.0,29.0
1002,1.0,7.0,10.0,0.0,12.0,2.0,3.0,5.0,6.0,8.0,9.0,4.0,21.0,13.0,22.0,18.0,15.0,19.0,23.0,56.0,35.0,30.0,20.0,27.0,25.0,26.0,42.0,28.0,14.0,16.0
