,XBP1,RSK1-2-3,4E-BP1,AMPK_pT172,PRDX1,p38_pT180_Y182,Caveolin-1,Bcl-2,Cyclin_D1,CD31,SHP-2_pY542,c-Kit,Bax,beta Actin,C-Raf_pS338,4E-BP1_pT70,Cyclin_E1,Src_pY416,STAT5-alpha,Annexin 1,Bad_pS112,EGFR_pY1068,Cyclin_B1,JNK2,p62 Lck ligand,MDMX_MDM4(BetIHC-00108),p27_pT157,p38_MAPK,MSH6,Lck
3,3.0,1.0,0.0,2.0,10.0,9.0,4.0,5.0,21.0,12.0,18.0,88.0,7.0,8.0,20.0,19.0,25.0,11.0,56.0,97.0,13.0,14.0,15.0,79.0,29.0,43.0,33.0,46.0,16.0,24.0
52,0.0,2.0,3.0,1.0,8.0,10.0,13.0,6.0,87.0,4.0,12.0,101.0,9.0,100.0,82.0,16.0,28.0,7.0,24.0,11.0,5.0,22.0,88.0,74.0,32.0,45.0,35.0,47.0,26.0,27.0
101,2.0,0.0,1.0,4.0,7.0,9.0,3.0,5.0,21.0,13.0,6.0,96.0,11.0,29.0,22.0,14.0,15.0,8.0,59.0,100.0,23.0,12.0,17.0,82.0,28.0,48.0,44.0,42.0,18.0,75.0
150,1.0,0.0,4.0,2.0,7.0,5.0,3.0,15.0,87.0,18.0,12.0,11.0,8.0,10.0,16.0,17.0,19.0,14.0,62.0,85.0,21.0,118.0,23.0,82.0,52.0,35.0,45.0,43.0,28.0,75.0
199,4.0,0.0,3.0,2.0,15.0,5.0,1.0,7.0,90.0,9.0,13.0,14.0,29.0,10.0,27.0,18.0,24.0,11.0,26.0,96.0,12.0,28.0,22.0,25.0,33.0,50.0,19.0,36.0,47.0,6.0
248,2.0,1.0,3.0,4.0,15.0,11.0,0.0,5.0,13.0,20.0,9.0,18.0,8.0,24.0,16.0,10.0,7.0,12.0,25.0,98.0,14.0,32.0,22.0,21.0,59.0,41.0,54.0,57.0,28.0,45.0
297,0.0,3.0,2.0,1.0,20.0,5.0,4.0,8.0,105.0,10.0,18.0,23.0,7.0,14.0,21.0,13.0,106.0,9.0,57.0,28.0,12.0,116.0,22.0,46.0,34.0,43.0,27.0,36.0,41.0,11.0
346,2.0,0.0,4.0,1.0,5.0,6.0,3.0,10.0,21.0,86.0,8.0,15.0,7.0,20.0,27.0,28.0,16.0,11.0,72.0,102.0,9.0,12.0,30.0,23.0,36.0,53.0,35.0,39.0,14.0,22.0
395,1.0,2.0,0.0,4.0,15.0,6.0,3.0,7.0,11.0,14.0,13.0,28.0,8.0,20.0,16.0,119.0,9.0,10.0,59.0,84.0,12.0,25.0,22.0,82.0,35.0,45.0,38.0,37.0,18.0,77.0
444,3.0,4.0,6.0,0.0,12.0,5.0,2.0,1.0,16.0,7.0,9.0,23.0,20.0,8.0,17.0,18.0,86.0,14.0,80.0,101.0,15.0,112.0,25.0,91.0,38.0,53.0,43.0,41.0,22.0,30.0
