,hsa-miR-574-5p,hsa-miR-1245,hsa-miR-1307,hsa-miR-744,hsa-miR-769-5p,hsa-miR-1197,hsa-miR-642,hsa-miR-944,hsa-miR-762,hsa-miR-425,hsa-miR-1248,ebv-miR-BART18-3p,hsa-miR-581,hsa-miR-155,hsa-miR-551b,hsa-miR-582-5p,hsa-miR-142-5p,hsa-miR-133b,hsa-miR-885-3p,hsa-miR-630,hsa-miR-330-3p,hsa-miR-223,hsa-miR-579,hsa-miR-34c-5p,hsa-miR-601,hsa-miR-584,hsa-miR-34c-3p,hsa-miR-1301,hsa-miR-1226,hsa-miR-125a-3p
1535,5.0,1.0,7.0,12.0,0.0,20.0,6.0,15.0,3.0,2.0,27.0,22.0,9.0,17.0,101.0,4.0,13.0,14.0,112.0,18.0,16.0,23.0,10.0,24.0,34.0,21.0,57.0,19.0,53.0,37.0
1584,0.0,4.0,6.0,21.0,8.0,54.0,13.0,35.0,5.0,1.0,31.0,26.0,22.0,12.0,25.0,3.0,2.0,10.0,17.0,23.0,14.0,86.0,11.0,30.0,188.0,18.0,24.0,7.0,16.0,34.0
1633,0.0,10.0,17.0,2.0,1.0,5.0,4.0,71.0,21.0,3.0,15.0,11.0,16.0,27.0,13.0,19.0,23.0,12.0,45.0,26.0,24.0,35.0,42.0,47.0,6.0,18.0,72.0,36.0,33.0,133.0
1682,0.0,4.0,14.0,12.0,2.0,10.0,34.0,47.0,16.0,8.0,3.0,15.0,18.0,26.0,37.0,19.0,1.0,13.0,9.0,7.0,17.0,35.0,20.0,11.0,45.0,6.0,28.0,5.0,42.0,104.0
1731,4.0,0.0,6.0,18.0,8.0,12.0,39.0,29.0,3.0,11.0,9.0,44.0,1.0,10.0,70.0,2.0,7.0,25.0,26.0,5.0,23.0,14.0,21.0,56.0,64.0,19.0,68.0,16.0,33.0,28.0
1780,5.0,7.0,2.0,10.0,0.0,23.0,12.0,31.0,28.0,1.0,16.0,21.0,8.0,15.0,19.0,3.0,4.0,11.0,58.0,13.0,9.0,34.0,18.0,32.0,36.0,29.0,24.0,25.0,17.0,55.0
1829,0.0,4.0,23.0,8.0,1.0,24.0,36.0,17.0,3.0,18.0,26.0,11.0,10.0,34.0,27.0,5.0,2.0,9.0,54.0,14.0,37.0,68.0,12.0,33.0,64.0,40.0,45.0,57.0,30.0,35.0
1878,9.0,17.0,2.0,4.0,1.0,15.0,32.0,25.0,10.0,13.0,14.0,5.0,6.0,26.0,59.0,0.0,3.0,11.0,18.0,12.0,20.0,23.0,28.0,27.0,35.0,22.0,30.0,7.0,133.0,95.0
1927,10.0,26.0,47.0,5.0,8.0,49.0,19.0,55.0,22.0,17.0,6.0,18.0,13.0,16.0,12.0,7.0,2.0,15.0,3.0,9.0,20.0,4.0,21.0,0.0,60.0,98.0,14.0,1.0,28.0,75.0
1976,1.0,3.0,32.0,0.0,17.0,2.0,5.0,10.0,11.0,37.0,41.0,14.0,24.0,35.0,4.0,56.0,91.0,40.0,52.0,27.0,7.0,46.0,19.0,61.0,6.0,13.0,80.0,18.0,12.0,8.0
2025,0.0,1.0,16.0,8.0,28.0,3.0,11.0,7.0,13.0,33.0,25.0,20.0,39.0,18.0,6.0,9.0,17.0,64.0,37.0,80.0,4.0,43.0,14.0,10.0,5.0,15.0,26.0,58.0,38.0,21.0
2074,0.0,3.0,4.0,14.0,6.0,59.0,22.0,19.0,18.0,24.0,33.0,1.0,7.0,13.0,8.0,10.0,43.0,27.0,62.0,46.0,23.0,45.0,5.0,30.0,16.0,2.0,47.0,17.0,83.0,20.0
2123,1.0,0.0,6.0,7.0,31.0,8.0,22.0,17.0,2.0,25.0,47.0,9.0,10.0,26.0,3.0,48.0,36.0,42.0,32.0,16.0,35.0,27.0,4.0,37.0,33.0,5.0,38.0,24.0,34.0,21.0
