,XBP1,VAV1,HER3,alpha-Catenin,VEGFR2,Bcl-xL,PEA15,Src_pY416,beta-Catenin,YAP_pS127,Chk1_pS345,AMPK_alpha,SETD2,Chk2,Claudin-7,Gab2,Caspase-7_cleavedD198,Lck,Cyclin_B1,Rb,P-Cadherin,Stathmin,BRCA2,MSH6,SF2,eEF2,C-Raf(BD610151),14-3-3_beta,MDMX_MDM4(BetIHC-00108),Syk
4,0.0,1.0,16.0,7.0,3.0,11.0,15.0,4.0,6.0,25.0,49.0,26.0,28.0,44.0,18.0,37.0,21.0,20.0,78.0,9.0,10.0,36.0,8.0,13.0,17.0,24.0,29.0,2.0,38.0,27.0
53,2.0,0.0,15.0,3.0,1.0,59.0,7.0,8.0,4.0,42.0,11.0,21.0,18.0,6.0,54.0,44.0,77.0,10.0,64.0,5.0,9.0,22.0,20.0,23.0,13.0,33.0,16.0,30.0,12.0,14.0
102,0.0,4.0,8.0,1.0,2.0,19.0,3.0,32.0,11.0,31.0,5.0,20.0,12.0,9.0,29.0,14.0,23.0,27.0,47.0,10.0,24.0,16.0,13.0,18.0,15.0,39.0,25.0,30.0,6.0,43.0
151,2.0,0.0,8.0,3.0,1.0,26.0,4.0,7.0,6.0,19.0,5.0,25.0,20.0,11.0,36.0,41.0,14.0,18.0,46.0,35.0,9.0,79.0,12.0,28.0,10.0,23.0,32.0,13.0,38.0,34.0
200,0.0,5.0,8.0,21.0,13.0,4.0,1.0,15.0,33.0,6.0,114.0,38.0,17.0,54.0,19.0,14.0,41.0,3.0,18.0,2.0,20.0,40.0,35.0,84.0,7.0,25.0,10.0,32.0,16.0,45.0
249,1.0,6.0,3.0,14.0,0.0,9.0,2.0,5.0,17.0,58.0,23.0,38.0,18.0,10.0,33.0,16.0,12.0,21.0,31.0,26.0,13.0,35.0,7.0,8.0,4.0,24.0,47.0,86.0,40.0,25.0
298,1.0,0.0,4.0,2.0,6.0,16.0,5.0,3.0,11.0,13.0,12.0,7.0,93.0,17.0,33.0,49.0,63.0,8.0,10.0,21.0,15.0,75.0,39.0,28.0,58.0,24.0,19.0,34.0,26.0,124.0
347,3.0,0.0,39.0,5.0,12.0,13.0,1.0,4.0,2.0,27.0,17.0,7.0,88.0,48.0,41.0,9.0,34.0,16.0,20.0,11.0,14.0,8.0,58.0,28.0,33.0,37.0,64.0,19.0,31.0,23.0
396,5.0,26.0,20.0,4.0,3.0,19.0,0.0,32.0,18.0,61.0,7.0,14.0,8.0,10.0,45.0,23.0,42.0,2.0,16.0,15.0,13.0,75.0,1.0,25.0,52.0,22.0,71.0,6.0,82.0,29.0
445,1.0,4.0,10.0,3.0,19.0,8.0,2.0,0.0,30.0,18.0,16.0,14.0,46.0,37.0,12.0,56.0,43.0,32.0,67.0,11.0,26.0,36.0,55.0,9.0,6.0,22.0,5.0,7.0,34.0,21.0
