,hsa-miR-30e,hsa-miR-205,hsa-miR-216a,hsa-miR-28-3p,hsa-miR-9,hsa-miR-1975,hsa-miR-486-3p,hsa-miR-329,hsa-miR-200a,hsa-miR-604,hsa-miR-1261,hsa-miR-148a,hsa-miR-302b,hsa-miR-512-3p,hsa-miR-938,hcmv-miR-UL148D,hsa-miR-503,hsa-miR-99a,hsa-miR-507,hsa-miR-1245,hsa-miR-609,hsa-miR-383,hsa-miR-558,hsa-miR-518d-3p,hsa-miR-671-3p,hsa-miR-1180,hsa-miR-520a-5p,hsa-miR-30c,hsa-miR-934,hsa-miR-631
1146,40.0,11.0,37.0,31.0,96.0,47.0,33.0,44.0,65.0,51.0,494.0,39.0,120.0,114.0,286.0,98.0,154.0,93.0,144.0,87.0,104.0,565.0,106.0,139.0,274.0,84.0,547.0,567.0,303.0,121.0
1195,628.0,30.0,19.0,10.0,94.0,58.0,35.0,50.0,4.0,54.0,37.0,376.0,567.0,84.0,296.0,31.0,52.0,141.0,559.0,67.0,98.0,26.0,128.0,89.0,298.0,452.0,33.0,598.0,29.0,115.0
1244,624.0,6.0,31.0,14.0,40.0,404.0,89.0,28.0,137.0,53.0,490.0,105.0,72.0,124.0,133.0,258.0,59.0,275.0,111.0,435.0,114.0,33.0,97.0,140.0,296.0,138.0,5.0,626.0,107.0,56.0
1293,5.0,6.0,18.0,19.0,57.0,20.0,35.0,26.0,94.0,30.0,495.0,24.0,92.0,41.0,299.0,95.0,104.0,125.0,60.0,90.0,175.0,66.0,84.0,138.0,271.0,454.0,1.0,10.0,123.0,111.0
1342,4.0,2.0,11.0,60.0,105.0,59.0,24.0,67.0,50.0,86.0,3.0,377.0,596.0,80.0,281.0,234.0,131.0,49.0,88.0,100.0,127.0,19.0,73.0,548.0,153.0,455.0,543.0,74.0,90.0,327.0
1391,2.0,0.0,16.0,18.0,70.0,20.0,38.0,53.0,92.0,31.0,487.0,32.0,19.0,111.0,297.0,50.0,145.0,66.0,530.0,434.0,61.0,600.0,44.0,544.0,301.0,452.0,1.0,566.0,116.0,115.0
1440,0.0,3.0,35.0,50.0,55.0,9.0,15.0,85.0,127.0,84.0,464.0,376.0,568.0,558.0,262.0,51.0,150.0,125.0,129.0,441.0,123.0,600.0,82.0,562.0,81.0,42.0,12.0,27.0,299.0,326.0
1489,0.0,6.0,14.0,37.0,260.0,403.0,57.0,51.0,115.0,39.0,20.0,49.0,83.0,552.0,16.0,289.0,61.0,52.0,62.0,107.0,98.0,524.0,125.0,131.0,93.0,113.0,540.0,627.0,118.0,319.0
1538,71.0,22.0,20.0,80.0,75.0,387.0,60.0,39.0,382.0,87.0,6.0,489.0,595.0,91.0,345.0,253.0,34.0,84.0,50.0,81.0,104.0,13.0,109.0,125.0,96.0,148.0,55.0,589.0,129.0,66.0
1587,6.0,21.0,13.0,29.0,110.0,46.0,77.0,70.0,403.0,22.0,2.0,374.0,94.0,549.0,9.0,263.0,47.0,93.0,135.0,120.0,105.0,524.0,108.0,104.0,103.0,106.0,20.0,156.0,8.0,50.0
1636,43.0,23.0,13.0,34.0,40.0,401.0,44.0,125.0,394.0,117.0,6.0,61.0,80.0,27.0,71.0,9.0,31.0,110.0,94.0,107.0,82.0,519.0,121.0,81.0,127.0,140.0,533.0,616.0,25.0,70.0
