,HLA-DRB6_AMP,CDC73_AMP,ADAM5_DEL,ADAM3A_DEL,ASAH2_DEL,KRTAP9-3_AMP,ZBTB20_AMP,LGALS9C_DEL,GSTTP2_DEL,FAM21A_DEL,CES1P1_DEL,KALRN_MUT,HLA-DRB1_AMP,PTCH1_AMP,MCEE_AMP,KRTAP9-8_AMP,POM121L8P_DEL,LRP1_MUT,LCE3C_DEL,RBFOX3_DEL,GSTT1_DEL,CADM2_DEL,CREBBP_MUT,LOC391322_DEL,HLA-DRB5_AMP,ACOT1_AMP,ATM_MUT,EEF1DP3_DEL,EP300_MUT,PCDH15_MUT
29,0.0,6.0,3.0,4.0,1.0,10.0,32.0,12.0,9.0,7.0,26.0,5.0,8.0,28.0,2.0,21.0,20.0,45.0,19.0,25.0,17.0,37.0,31.0,16.0,33.0,42.0,44.0,18.0,74.0,36.0
78,0.0,9.0,1.0,2.0,3.0,14.0,17.0,5.0,10.0,4.0,8.0,16.0,13.0,18.0,6.0,31.0,33.0,65.0,11.0,22.0,19.0,21.0,28.0,20.0,25.0,53.0,50.0,47.0,44.0,29.0
127,0.0,8.0,15.0,18.0,26.0,4.0,23.0,2.0,24.0,7.0,19.0,12.0,11.0,21.0,1.0,16.0,13.0,85.0,34.0,41.0,43.0,5.0,28.0,42.0,32.0,33.0,20.0,82.0,74.0,9.0
176,0.0,3.0,14.0,21.0,5.0,7.0,19.0,6.0,23.0,18.0,1.0,4.0,8.0,17.0,2.0,15.0,44.0,32.0,85.0,24.0,42.0,34.0,33.0,41.0,12.0,47.0,78.0,22.0,73.0,35.0
225,3.0,9.0,1.0,2.0,0.0,5.0,10.0,35.0,11.0,6.0,23.0,13.0,21.0,14.0,12.0,8.0,28.0,73.0,7.0,25.0,18.0,29.0,32.0,17.0,36.0,16.0,33.0,34.0,98.0,45.0
274,0.0,3.0,9.0,12.0,1.0,5.0,8.0,11.0,39.0,37.0,28.0,16.0,19.0,23.0,2.0,15.0,25.0,82.0,35.0,13.0,96.0,10.0,62.0,97.0,27.0,20.0,45.0,68.0,75.0,49.0
323,5.0,1.0,3.0,6.0,0.0,7.0,13.0,2.0,11.0,10.0,29.0,8.0,44.0,17.0,4.0,12.0,9.0,56.0,15.0,21.0,23.0,14.0,32.0,22.0,80.0,25.0,37.0,26.0,141.0,35.0
372,16.0,12.0,1.0,2.0,0.0,15.0,64.0,11.0,4.0,5.0,17.0,6.0,30.0,63.0,21.0,14.0,19.0,29.0,32.0,13.0,7.0,9.0,110.0,8.0,61.0,94.0,51.0,69.0,67.0,27.0
421,0.0,2.0,1.0,3.0,4.0,10.0,9.0,21.0,8.0,34.0,6.0,11.0,19.0,15.0,5.0,26.0,14.0,38.0,31.0,12.0,27.0,17.0,24.0,28.0,35.0,58.0,23.0,20.0,18.0,36.0
470,0.0,2.0,1.0,3.0,24.0,14.0,65.0,17.0,48.0,15.0,11.0,4.0,36.0,38.0,6.0,26.0,119.0,32.0,30.0,34.0,116.0,7.0,19.0,117.0,29.0,83.0,53.0,13.0,23.0,37.0
519,1.0,0.0,24.0,31.0,12.0,19.0,8.0,9.0,17.0,21.0,6.0,5.0,27.0,30.0,22.0,46.0,10.0,40.0,11.0,50.0,33.0,58.0,13.0,34.0,41.0,71.0,20.0,80.0,57.0,35.0
568,0.0,1.0,6.0,7.0,8.0,2.0,20.0,31.0,3.0,5.0,22.0,15.0,9.0,28.0,25.0,11.0,21.0,10.0,61.0,35.0,12.0,36.0,27.0,13.0,32.0,38.0,37.0,34.0,4.0,41.0
617,0.0,3.0,9.0,12.0,42.0,25.0,27.0,8.0,6.0,36.0,11.0,20.0,1.0,28.0,13.0,54.0,19.0,4.0,5.0,30.0,15.0,18.0,37.0,14.0,35.0,31.0,43.0,23.0,7.0,45.0
666,2.0,1.0,3.0,6.0,43.0,7.0,0.0,9.0,18.0,15.0,8.0,25.0,27.0,19.0,11.0,14.0,30.0,39.0,5.0,23.0,22.0,55.0,13.0,21.0,33.0,42.0,10.0,44.0,12.0,28.0
715,0.0,9.0,8.0,13.0,1.0,14.0,12.0,81.0,10.0,5.0,51.0,3.0,11.0,2.0,28.0,31.0,19.0,32.0,16.0,47.0,7.0,45.0,27.0,6.0,4.0,25.0,23.0,15.0,85.0,67.0
764,0.0,3.0,4.0,9.0,25.0,28.0,13.0,23.0,32.0,8.0,24.0,10.0,1.0,7.0,19.0,65.0,31.0,14.0,11.0,158.0,38.0,117.0,15.0,37.0,2.0,29.0,49.0,112.0,16.0,12.0
813,0.0,1.0,6.0,7.0,2.0,3.0,5.0,66.0,51.0,30.0,14.0,10.0,4.0,8.0,16.0,13.0,33.0,15.0,55.0,34.0,100.0,25.0,35.0,99.0,20.0,18.0,37.0,38.0,73.0,56.0
862,1.0,5.0,2.0,3.0,10.0,15.0,17.0,12.0,11.0,6.0,24.0,4.0,16.0,20.0,0.0,14.0,19.0,13.0,51.0,27.0,21.0,80.0,49.0,22.0,37.0,79.0,23.0,7.0,225.0,55.0
