, H2O2, JAK-STAT, Wnt, TLR, PI3K_only, TNFa, VEGF, IL-1, MAPK_only, MAPK_PI3K, TGFB
3323,3.0,2.0,5.0,4.0,0.0,8.0,1.0,9.0,6.0,7.0,10.0
3372,2.0,1.0,3.0,6.0,0.0,7.0,8.0,5.0,10.0,9.0,4.0
3421,3.0,1.0,0.0,4.0,2.0,9.0,5.0,7.0,8.0,6.0,10.0
3470,2.0,0.0,3.0,8.0,4.0,10.0,5.0,1.0,7.0,9.0,6.0
3519,2.0,0.0,9.0,4.0,1.0,10.0,8.0,3.0,5.0,7.0,6.0
3568,2.0,0.0,7.0,4.0,1.0,3.0,6.0,5.0,8.0,10.0,9.0
3617,3.0,1.0,8.0,6.0,2.0,4.0,7.0,0.0,5.0,9.0,10.0
3666,1.0,0.0,6.0,3.0,2.0,7.0,4.0,5.0,8.0,9.0,10.0
3715,1.0,4.0,2.0,8.0,5.0,0.0,6.0,3.0,10.0,7.0,9.0
3764,1.0,0.0,3.0,4.0,8.0,7.0,6.0,2.0,5.0,9.0,10.0
3813,0.0,1.0,2.0,6.0,3.0,5.0,9.0,4.0,7.0,10.0,8.0
3862,1.0,0.0,3.0,7.0,8.0,2.0,4.0,10.0,6.0,5.0,9.0
3911,1.0,2.0,0.0,3.0,6.0,4.0,7.0,5.0,9.0,8.0,10.0
3960,1.0,0.0,9.0,3.0,4.0,2.0,5.0,6.0,7.0,8.0,10.0
4009,1.0,0.0,4.0,10.0,8.0,6.0,3.0,9.0,5.0,7.0,2.0
4058,8.0,0.0,2.0,7.0,4.0,3.0,1.0,6.0,5.0,10.0,9.0
4107,2.0,0.0,4.0,6.0,1.0,3.0,9.0,5.0,10.0,8.0,7.0
4156,2.0,0.0,3.0,1.0,5.0,9.0,4.0,7.0,8.0,6.0,10.0
4205,2.0,0.0,8.0,7.0,5.0,1.0,3.0,9.0,6.0,10.0,4.0
4254,1.0,0.0,9.0,5.0,3.0,4.0,6.0,8.0,2.0,10.0,7.0
4303,1.0,0.0,3.0,7.0,6.0,10.0,2.0,8.0,4.0,5.0,9.0
4352,1.0,0.0,2.0,9.0,6.0,5.0,8.0,4.0,3.0,10.0,7.0
4401,3.0,1.0,10.0,4.0,8.0,2.0,0.0,9.0,7.0,6.0,5.0
4450,4.0,0.0,3.0,10.0,1.0,5.0,8.0,7.0,6.0,9.0,2.0
4499,2.0,0.0,7.0,6.0,5.0,8.0,3.0,4.0,1.0,9.0,10.0
4548,10.0,1.0,4.0,3.0,2.0,0.0,5.0,7.0,8.0,6.0,9.0
4597,1.0,3.0,6.0,9.0,2.0,5.0,0.0,8.0,10.0,4.0,7.0
4646,4.0,0.0,5.0,6.0,1.0,3.0,9.0,10.0,7.0,8.0,2.0
4695,2.0,1.0,6.0,9.0,0.0,8.0,7.0,3.0,5.0,4.0,10.0
4744,0.0,3.0,9.0,2.0,5.0,1.0,7.0,4.0,8.0,6.0,10.0
4793,2.0,0.0,7.0,5.0,9.0,4.0,6.0,3.0,10.0,1.0,8.0
4842,0.0,2.0,4.0,6.0,3.0,1.0,9.0,5.0,7.0,8.0,10.0
4891,0.0,1.0,7.0,9.0,2.0,3.0,6.0,5.0,8.0,4.0,10.0
