,STOMACH,HAEMATOPOIETIC,LUNG,GANGLIA,THYROID,SOFT_TISSUE,BONE,OVARY,AERODIGESTIVE,PLEURA,LARGE_INTESTINE,PROSTATE,SALIVARY,SKIN,OESOPHAGUS,ENDOMETRIUM,BREAST,PANCREAS,LIVER,KIDNEY,NERVOUS,URINARY,BILIARY
43,1.0,3.0,0.0,7.0,4.0,6.0,5.0,2.0,8.0,9.0,19.0,10.0,11.0,13.0,21.0,15.0,16.0,17.0,12.0,14.0,18.0,20.0,22.0
92,9.0,0.0,3.0,4.0,6.0,2.0,1.0,10.0,5.0,8.0,18.0,13.0,11.0,7.0,12.0,14.0,15.0,16.0,21.0,17.0,19.0,20.0,22.0
141,3.0,0.0,11.0,10.0,1.0,7.0,2.0,4.0,5.0,6.0,17.0,8.0,12.0,13.0,9.0,14.0,15.0,20.0,21.0,16.0,18.0,19.0,22.0
190,11.0,1.0,7.0,4.0,9.0,2.0,0.0,8.0,5.0,6.0,20.0,3.0,10.0,14.0,21.0,13.0,17.0,18.0,12.0,15.0,16.0,19.0,22.0
239,1.0,5.0,0.0,2.0,7.0,9.0,8.0,4.0,3.0,6.0,19.0,10.0,12.0,11.0,21.0,15.0,16.0,17.0,13.0,14.0,18.0,20.0,22.0
288,5.0,1.0,10.0,6.0,2.0,4.0,3.0,0.0,7.0,9.0,19.0,8.0,11.0,13.0,21.0,15.0,16.0,17.0,12.0,14.0,18.0,20.0,22.0
337,3.0,0.0,10.0,4.0,2.0,8.0,1.0,6.0,5.0,7.0,20.0,9.0,11.0,12.0,13.0,16.0,17.0,18.0,14.0,15.0,19.0,21.0,22.0
386,4.0,0.0,10.0,5.0,1.0,3.0,2.0,12.0,6.0,7.0,9.0,8.0,13.0,11.0,19.0,16.0,20.0,21.0,14.0,15.0,17.0,18.0,22.0
435,4.0,0.0,19.0,5.0,1.0,2.0,3.0,6.0,10.0,7.0,9.0,8.0,12.0,14.0,18.0,15.0,16.0,20.0,22.0,21.0,17.0,13.0,11.0
484,5.0,1.0,0.0,6.0,3.0,4.0,2.0,11.0,7.0,8.0,18.0,10.0,9.0,21.0,20.0,14.0,15.0,16.0,12.0,13.0,17.0,19.0,22.0
533,5.0,1.0,11.0,8.0,2.0,3.0,4.0,0.0,6.0,10.0,9.0,7.0,12.0,13.0,18.0,14.0,15.0,16.0,19.0,20.0,21.0,17.0,22.0
582,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
631,2.0,1.0,0.0,4.0,6.0,8.0,10.0,5.0,7.0,9.0,11.0,12.0,13.0,21.0,3.0,18.0,19.0,20.0,22.0,16.0,17.0,14.0,15.0
680,5.0,0.0,4.0,6.0,1.0,3.0,2.0,7.0,9.0,8.0,21.0,10.0,11.0,15.0,14.0,17.0,18.0,19.0,13.0,16.0,20.0,22.0,12.0
729,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
778,2.0,0.0,1.0,3.0,7.0,9.0,10.0,5.0,6.0,8.0,4.0,11.0,12.0,16.0,13.0,17.0,15.0,18.0,22.0,19.0,20.0,21.0,14.0
827,11.0,1.0,10.0,3.0,6.0,7.0,2.0,0.0,4.0,5.0,9.0,8.0,12.0,20.0,19.0,15.0,16.0,21.0,13.0,14.0,17.0,18.0,22.0
876,4.0,1.0,11.0,5.0,2.0,3.0,8.0,0.0,6.0,7.0,10.0,9.0,12.0,15.0,13.0,16.0,17.0,18.0,14.0,19.0,20.0,21.0,22.0
925,11.0,1.0,0.0,5.0,3.0,4.0,2.0,7.0,6.0,8.0,9.0,10.0,12.0,15.0,13.0,17.0,18.0,19.0,14.0,16.0,20.0,21.0,22.0
974,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
1023,3.0,0.0,2.0,10.0,5.0,7.0,1.0,4.0,6.0,8.0,11.0,13.0,12.0,20.0,9.0,17.0,18.0,19.0,22.0,21.0,14.0,15.0,16.0
1072,1.0,2.0,7.0,9.0,5.0,0.0,3.0,13.0,4.0,6.0,10.0,19.0,12.0,14.0,8.0,15.0,16.0,20.0,18.0,21.0,22.0,17.0,11.0
1121,1.0,2.0,0.0,9.0,3.0,7.0,4.0,5.0,6.0,12.0,10.0,22.0,11.0,18.0,8.0,15.0,16.0,13.0,17.0,19.0,20.0,21.0,14.0
