,GATA3,FOXO3a,4E-BP1_pT37_T46,Heregulin,4E-BP1_pT70,4E-BP1,Cyclin_D1,Bim(EP1036),Akt_pS473,Cyclin_E1,ASNS,14-3-3_zeta,RSK1-2-3,MEK1_pS217_S221,XBP1,PRAS40_pT246,Bax,Src_pY416,A-Raf_pS299,p21,STAT5-alpha,Shc_pY317,4E-BP1_pS65,PDK1,Transglutaminase,ADAR1,Porin,beta-Catenin,PRDX1,Acetyl-a-Tubulin (Lys40)
5,146.0,19.0,18.0,68.0,42.0,64.0,33.0,51.0,38.0,34.0,55.0,3.0,105.0,45.0,11.0,56.0,32.0,80.0,79.0,82.0,124.0,22.0,15.0,101.0,117.0,57.0,148.0,17.0,128.0,8.0
54,8.0,59.0,42.0,68.0,18.0,17.0,40.0,45.0,27.0,14.0,74.0,37.0,26.0,28.0,99.0,86.0,4.0,91.0,29.0,15.0,93.0,55.0,132.0,66.0,9.0,52.0,152.0,13.0,58.0,129.0
103,7.0,41.0,17.0,20.0,8.0,118.0,36.0,69.0,77.0,22.0,16.0,64.0,134.0,30.0,76.0,78.0,121.0,95.0,117.0,15.0,44.0,119.0,55.0,19.0,63.0,14.0,111.0,49.0,65.0,61.0
152,1.0,8.0,65.0,12.0,24.0,73.0,21.0,49.0,39.0,33.0,14.0,94.0,119.0,34.0,99.0,96.0,47.0,124.0,122.0,48.0,20.0,61.0,97.0,26.0,116.0,104.0,148.0,151.0,129.0,46.0
201,16.0,13.0,19.0,9.0,32.0,39.0,69.0,38.0,84.0,56.0,31.0,97.0,4.0,54.0,60.0,55.0,25.0,95.0,96.0,17.0,8.0,88.0,20.0,58.0,106.0,42.0,18.0,46.0,75.0,45.0
250,17.0,11.0,9.0,151.0,16.0,30.0,31.0,19.0,25.0,43.0,36.0,45.0,62.0,108.0,76.0,70.0,97.0,68.0,85.0,21.0,111.0,14.0,87.0,8.0,127.0,91.0,150.0,46.0,152.0,132.0
299,5.0,10.0,22.0,12.0,69.0,0.0,56.0,39.0,21.0,36.0,30.0,3.0,127.0,37.0,97.0,53.0,26.0,76.0,77.0,29.0,23.0,55.0,50.0,20.0,74.0,81.0,1.0,83.0,46.0,45.0
348,16.0,53.0,29.0,80.0,17.0,4.0,0.0,28.0,38.0,42.0,61.0,136.0,162.0,148.0,101.0,64.0,58.0,25.0,133.0,68.0,32.0,13.0,43.0,11.0,49.0,54.0,154.0,150.0,109.0,15.0
397,108.0,7.0,12.0,21.0,45.0,32.0,81.0,50.0,80.0,54.0,20.0,13.0,38.0,110.0,19.0,65.0,9.0,47.0,5.0,41.0,17.0,99.0,24.0,105.0,126.0,51.0,37.0,10.0,27.0,57.0
446,42.0,125.0,64.0,117.0,27.0,2.0,22.0,20.0,101.0,67.0,15.0,14.0,59.0,46.0,29.0,76.0,23.0,98.0,65.0,78.0,31.0,124.0,44.0,79.0,58.0,72.0,71.0,37.0,5.0,18.0
495,37.0,30.0,13.0,23.0,64.0,9.0,8.0,38.0,74.0,22.0,10.0,0.0,55.0,24.0,45.0,70.0,56.0,49.0,17.0,94.0,28.0,124.0,76.0,147.0,26.0,140.0,21.0,63.0,32.0,78.0
544,5.0,14.0,7.0,135.0,55.0,59.0,42.0,40.0,57.0,61.0,20.0,39.0,9.0,44.0,32.0,60.0,22.0,28.0,95.0,97.0,119.0,23.0,100.0,64.0,17.0,105.0,157.0,116.0,158.0,34.0
593,19.0,9.0,12.0,27.0,63.0,72.0,10.0,37.0,39.0,90.0,42.0,132.0,43.0,25.0,114.0,29.0,7.0,47.0,36.0,65.0,55.0,71.0,103.0,16.0,35.0,93.0,40.0,137.0,155.0,112.0
642,143.0,26.0,35.0,73.0,22.0,112.0,41.0,69.0,44.0,102.0,15.0,52.0,97.0,103.0,88.0,61.0,21.0,114.0,0.0,56.0,121.0,9.0,48.0,6.0,129.0,67.0,60.0,105.0,95.0,84.0
691,2.0,70.0,69.0,52.0,34.0,134.0,101.0,3.0,57.0,44.0,67.0,0.0,8.0,37.0,23.0,28.0,136.0,21.0,45.0,50.0,14.0,26.0,86.0,24.0,31.0,68.0,20.0,43.0,98.0,48.0
740,44.0,60.0,11.0,34.0,64.0,117.0,139.0,14.0,89.0,17.0,122.0,20.0,134.0,18.0,36.0,33.0,16.0,71.0,4.0,43.0,0.0,118.0,70.0,26.0,76.0,111.0,24.0,13.0,85.0,83.0
789,13.0,22.0,38.0,15.0,57.0,0.0,4.0,39.0,62.0,48.0,5.0,36.0,26.0,70.0,10.0,25.0,33.0,27.0,142.0,60.0,117.0,59.0,21.0,65.0,116.0,97.0,12.0,133.0,71.0,79.0
838,140.0,41.0,26.0,9.0,34.0,90.0,157.0,42.0,77.0,57.0,39.0,29.0,53.0,0.0,20.0,50.0,63.0,40.0,31.0,95.0,112.0,8.0,28.0,151.0,59.0,38.0,23.0,120.0,33.0,61.0
887,41.0,6.0,9.0,49.0,17.0,143.0,146.0,27.0,25.0,107.0,61.0,3.0,103.0,52.0,75.0,59.0,137.0,94.0,16.0,85.0,97.0,60.0,91.0,153.0,78.0,54.0,68.0,134.0,148.0,13.0
936,10.0,17.0,119.0,29.0,90.0,43.0,75.0,31.0,40.0,51.0,6.0,85.0,45.0,93.0,26.0,96.0,24.0,99.0,0.0,71.0,127.0,126.0,77.0,5.0,13.0,57.0,87.0,50.0,76.0,82.0
985,159.0,67.0,8.0,7.0,71.0,141.0,144.0,94.0,38.0,6.0,31.0,24.0,16.0,20.0,14.0,41.0,40.0,62.0,100.0,68.0,49.0,97.0,42.0,22.0,9.0,35.0,163.0,134.0,58.0,56.0
1034,96.0,64.0,14.0,63.0,47.0,26.0,29.0,43.0,34.0,13.0,7.0,108.0,42.0,18.0,36.0,38.0,21.0,69.0,33.0,66.0,124.0,39.0,55.0,23.0,40.0,46.0,82.0,22.0,20.0,83.0
1083,66.0,36.0,22.0,158.0,21.0,82.0,127.0,44.0,83.0,28.0,19.0,12.0,111.0,16.0,96.0,50.0,136.0,68.0,81.0,77.0,10.0,53.0,40.0,57.0,4.0,100.0,43.0,63.0,108.0,54.0
1132,71.0,30.0,18.0,47.0,36.0,49.0,142.0,19.0,28.0,16.0,10.0,1.0,93.0,29.0,31.0,73.0,138.0,80.0,55.0,52.0,118.0,11.0,57.0,68.0,41.0,53.0,70.0,17.0,100.0,59.0
1181,61.0,75.0,10.0,97.0,36.0,45.0,144.0,94.0,27.0,15.0,121.0,110.0,37.0,8.0,62.0,18.0,125.0,28.0,81.0,64.0,59.0,41.0,112.0,23.0,38.0,9.0,82.0,21.0,46.0,55.0
1230,156.0,35.0,10.0,15.0,43.0,130.0,73.0,38.0,47.0,4.0,18.0,84.0,132.0,9.0,78.0,24.0,121.0,49.0,30.0,74.0,58.0,26.0,53.0,44.0,69.0,46.0,50.0,64.0,62.0,36.0
1279,27.0,26.0,14.0,21.0,30.0,102.0,112.0,74.0,78.0,7.0,13.0,24.0,32.0,54.0,53.0,20.0,94.0,50.0,73.0,63.0,101.0,44.0,41.0,65.0,1.0,3.0,9.0,6.0,60.0,22.0
1328,53.0,57.0,10.0,13.0,18.0,20.0,92.0,69.0,62.0,33.0,11.0,52.0,7.0,8.0,22.0,15.0,141.0,71.0,23.0,35.0,31.0,84.0,58.0,61.0,30.0,5.0,41.0,36.0,80.0,93.0
1377,60.0,21.0,14.0,144.0,33.0,36.0,28.0,27.0,31.0,15.0,45.0,56.0,12.0,62.0,29.0,49.0,90.0,41.0,57.0,87.0,17.0,43.0,48.0,34.0,2.0,93.0,52.0,24.0,156.0,32.0
1426,16.0,91.0,18.0,21.0,47.0,127.0,163.0,28.0,36.0,26.0,34.0,99.0,4.0,11.0,41.0,80.0,82.0,46.0,72.0,6.0,43.0,8.0,101.0,29.0,121.0,39.0,7.0,103.0,24.0,70.0
1475,10.0,7.0,50.0,23.0,20.0,133.0,131.0,34.0,42.0,38.0,24.0,3.0,62.0,21.0,101.0,15.0,80.0,36.0,104.0,99.0,6.0,103.0,78.0,29.0,30.0,14.0,8.0,153.0,136.0,69.0
