,HER2_pY1248,Shc_pY317,EGFR_pY1068,B-Raf,Annexin 1,SHP-2_pY542,VHL,Akt,Claudin-7,RSK1-2-3,EGFR,P-Cadherin,Src,Syk,p38_pT180_Y182,E-Cadherin,alpha-Catenin,Rb,C-Raf_pS338,PEA15,eEF2,Smac,B-Raf_pS445,MIG-6,RAD51,C-Raf(BD610151),p21,MDMX_MDM4(BetIHC-00108),PKC-pan_BetaII_pS660,Cyclin_E2
4,4.0,1.0,2.0,56.0,11.0,3.0,12.0,10.0,0.0,8.0,15.0,5.0,9.0,16.0,25.0,64.0,50.0,70.0,18.0,23.0,37.0,51.0,90.0,29.0,28.0,30.0,86.0,34.0,68.0,53.0
53,6.0,2.0,0.0,81.0,12.0,5.0,1.0,22.0,3.0,11.0,20.0,18.0,7.0,28.0,23.0,4.0,21.0,31.0,36.0,9.0,16.0,55.0,70.0,100.0,10.0,77.0,8.0,45.0,69.0,39.0
102,2.0,1.0,5.0,75.0,17.0,7.0,18.0,13.0,0.0,3.0,57.0,8.0,4.0,11.0,15.0,12.0,9.0,19.0,24.0,22.0,119.0,10.0,61.0,66.0,14.0,94.0,21.0,37.0,26.0,33.0
151,8.0,5.0,4.0,31.0,14.0,56.0,2.0,0.0,16.0,1.0,10.0,3.0,6.0,7.0,67.0,21.0,11.0,24.0,17.0,13.0,60.0,96.0,115.0,19.0,9.0,40.0,12.0,74.0,86.0,82.0
200,5.0,0.0,1.0,26.0,2.0,9.0,8.0,10.0,6.0,3.0,12.0,13.0,4.0,7.0,38.0,40.0,49.0,16.0,36.0,31.0,75.0,21.0,24.0,43.0,22.0,57.0,19.0,28.0,15.0,116.0
249,2.0,1.0,0.0,49.0,8.0,16.0,6.0,14.0,4.0,10.0,5.0,15.0,3.0,7.0,40.0,13.0,12.0,11.0,43.0,27.0,47.0,25.0,57.0,102.0,9.0,28.0,24.0,32.0,60.0,71.0
298,12.0,0.0,3.0,15.0,18.0,8.0,11.0,4.0,20.0,2.0,14.0,34.0,28.0,1.0,47.0,37.0,16.0,5.0,6.0,22.0,110.0,43.0,120.0,45.0,7.0,77.0,60.0,59.0,67.0,25.0
347,4.0,3.0,1.0,20.0,5.0,10.0,2.0,55.0,6.0,0.0,7.0,11.0,18.0,14.0,27.0,15.0,13.0,12.0,45.0,8.0,92.0,115.0,56.0,64.0,9.0,17.0,31.0,69.0,67.0,140.0
396,9.0,0.0,2.0,159.0,6.0,12.0,10.0,3.0,11.0,1.0,7.0,21.0,28.0,4.0,8.0,5.0,17.0,13.0,53.0,38.0,29.0,72.0,65.0,33.0,14.0,69.0,40.0,20.0,31.0,32.0
445,4.0,1.0,0.0,102.0,13.0,9.0,6.0,23.0,5.0,2.0,8.0,30.0,16.0,3.0,27.0,7.0,10.0,47.0,12.0,118.0,38.0,29.0,17.0,40.0,15.0,14.0,34.0,33.0,25.0,31.0
494,2.0,1.0,0.0,64.0,8.0,9.0,17.0,3.0,39.0,15.0,4.0,23.0,10.0,21.0,7.0,20.0,43.0,26.0,6.0,11.0,50.0,13.0,118.0,14.0,12.0,31.0,18.0,143.0,16.0,69.0
543,0.0,4.0,1.0,12.0,30.0,7.0,16.0,2.0,6.0,8.0,23.0,5.0,27.0,41.0,26.0,17.0,143.0,120.0,66.0,31.0,36.0,28.0,70.0,67.0,9.0,13.0,18.0,19.0,51.0,14.0
592,3.0,2.0,0.0,4.0,16.0,11.0,6.0,5.0,8.0,23.0,10.0,1.0,7.0,17.0,22.0,33.0,60.0,54.0,13.0,21.0,14.0,15.0,84.0,52.0,65.0,78.0,44.0,9.0,34.0,49.0
641,1.0,0.0,4.0,6.0,24.0,2.0,5.0,10.0,8.0,16.0,12.0,17.0,13.0,7.0,3.0,29.0,27.0,9.0,14.0,55.0,31.0,32.0,33.0,77.0,15.0,38.0,34.0,136.0,18.0,86.0
