,hsa-miR-130a,hsa-let-7c,hsa-miR-497,hsa-miR-1302,hsa-miR-222,hsa-miR-9,hsa-miR-218,hsa-miR-548p,hsa-miR-99a,hsa-miR-34a,hsa-miR-342-3p,hsa-miR-582-5p,hsa-miR-450a,hsa-miR-22,hsa-miR-631,hsa-miR-214,hsa-miR-135b,hsa-miR-508-3p,hsa-miR-195,hsa-miR-1252,hsa-miR-96,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-545,hsa-miR-128,ebv-miR-BART12,hsa-let-7e,hsa-miR-149,hsa-miR-1307,hsa-miR-1261,hsa-miR-129-3p
14,0.0,1.0,16.0,14.0,4.0,22.0,6.0,83.0,3.0,81.0,5.0,58.0,2.0,9.0,8.0,32.0,7.0,13.0,254.0,26.0,23.0,36.0,33.0,20.0,12.0,27.0,29.0,86.0,131.0,134.0
63,0.0,2.0,1.0,19.0,6.0,10.0,3.0,318.0,4.0,12.0,86.0,149.0,75.0,71.0,97.0,108.0,5.0,335.0,16.0,72.0,27.0,22.0,7.0,32.0,158.0,14.0,8.0,20.0,35.0,33.0
112,0.0,33.0,6.0,4.0,2.0,11.0,5.0,214.0,12.0,28.0,1.0,21.0,19.0,24.0,15.0,16.0,3.0,72.0,82.0,17.0,22.0,78.0,18.0,27.0,329.0,63.0,20.0,8.0,10.0,46.0
161,0.0,10.0,2.0,229.0,4.0,18.0,45.0,151.0,20.0,16.0,7.0,6.0,14.0,108.0,1.0,5.0,31.0,131.0,11.0,145.0,38.0,15.0,59.0,13.0,73.0,3.0,8.0,9.0,42.0,22.0
210,0.0,12.0,1.0,13.0,7.0,3.0,21.0,30.0,31.0,48.0,18.0,57.0,4.0,240.0,117.0,192.0,15.0,5.0,203.0,66.0,383.0,16.0,2.0,19.0,53.0,63.0,10.0,11.0,58.0,17.0
259,0.0,8.0,4.0,2.0,3.0,563.0,6.0,16.0,7.0,23.0,68.0,12.0,11.0,272.0,9.0,45.0,63.0,15.0,80.0,61.0,57.0,10.0,1.0,299.0,240.0,24.0,33.0,5.0,228.0,31.0
308,0.0,274.0,7.0,11.0,8.0,1.0,5.0,29.0,33.0,42.0,12.0,23.0,13.0,194.0,119.0,41.0,31.0,124.0,16.0,116.0,6.0,174.0,2.0,92.0,57.0,4.0,15.0,30.0,98.0,107.0
357,0.0,1.0,19.0,8.0,9.0,52.0,2.0,3.0,13.0,27.0,41.0,113.0,30.0,285.0,12.0,29.0,62.0,17.0,137.0,6.0,7.0,10.0,25.0,303.0,193.0,4.0,5.0,16.0,64.0,42.0
406,0.0,16.0,6.0,177.0,12.0,17.0,15.0,214.0,47.0,27.0,32.0,4.0,7.0,529.0,2.0,358.0,5.0,263.0,38.0,1.0,368.0,3.0,29.0,86.0,8.0,362.0,70.0,28.0,44.0,26.0
455,0.0,8.0,1.0,12.0,23.0,14.0,4.0,155.0,3.0,20.0,41.0,25.0,27.0,195.0,6.0,87.0,30.0,69.0,33.0,107.0,53.0,2.0,153.0,99.0,42.0,48.0,67.0,32.0,131.0,159.0
