,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,ENDOMETRIUM,PANCREAS,BREAST,URINARY,LUNG,OVARY,OESOPHAGUS,LIVER,NERVOUS,STOMACH,AERODIGESTIVE,BONE,PROSTATE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
47,0.0,1.0,4.0,6.0,5.0,2.0,3.0,15.0,7.0,10.0,9.0,11.0,8.0,14.0,16.0,13.0,17.0,18.0,12.0,19.0,20.0,21.0,22.0
96,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,11.0,13.0,12.0,14.0,16.0,10.0,17.0,18.0,15.0,19.0,20.0,21.0,22.0
145,0.0,1.0,5.0,3.0,4.0,6.0,2.0,9.0,11.0,8.0,14.0,7.0,10.0,13.0,15.0,17.0,16.0,18.0,12.0,19.0,20.0,21.0,22.0
194,1.0,0.0,3.0,4.0,2.0,6.0,5.0,7.0,8.0,13.0,11.0,9.0,12.0,20.0,14.0,10.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
243,0.0,1.0,5.0,3.0,4.0,6.0,7.0,10.0,8.0,9.0,2.0,13.0,11.0,12.0,15.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
292,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,12.0,9.0,15.0,10.0,14.0,16.0,11.0,17.0,18.0,13.0,19.0,20.0,21.0,22.0
341,0.0,1.0,2.0,3.0,4.0,5.0,6.0,14.0,9.0,8.0,7.0,12.0,10.0,11.0,15.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,0.0,1.0,4.0,2.0,3.0,6.0,5.0,20.0,10.0,14.0,8.0,7.0,9.0,11.0,15.0,13.0,16.0,17.0,12.0,18.0,19.0,21.0,22.0
439,1.0,0.0,3.0,4.0,5.0,6.0,7.0,2.0,8.0,10.0,9.0,11.0,13.0,14.0,15.0,17.0,16.0,18.0,12.0,19.0,20.0,21.0,22.0
488,0.0,1.0,2.0,3.0,5.0,4.0,6.0,10.0,9.0,7.0,8.0,14.0,11.0,13.0,15.0,17.0,16.0,18.0,12.0,19.0,20.0,21.0,22.0
537,15.0,0.0,2.0,4.0,3.0,5.0,1.0,13.0,9.0,11.0,7.0,6.0,8.0,14.0,16.0,12.0,17.0,18.0,10.0,19.0,20.0,21.0,22.0
586,14.0,0.0,5.0,4.0,3.0,6.0,2.0,12.0,11.0,9.0,8.0,10.0,7.0,20.0,1.0,13.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
635,15.0,2.0,6.0,5.0,3.0,4.0,1.0,10.0,9.0,7.0,11.0,8.0,14.0,13.0,0.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
