,hsa-miR-924,hsa-miR-556-3p,hsa-miR-26a,hsa-miR-892a,hsa-miR-27b,hsa-miR-296-5p,hsa-miR-711,hsa-miR-331-5p,hsa-miR-105,hsa-miR-1307,bkv-miR-B1-5p,hsa-miR-504,hsa-miR-574-5p,hsa-miR-578,hsa-miR-616,hsa-miR-222,hsa-miR-361-5p,hsa-miR-483-3p,hsa-miR-143,hsa-miR-550,hsa-miR-548b-3p,hsa-miR-220b,hsa-miR-1236,hsa-miR-323-5p,kshv-miR-K12-5,hsa-miR-1977,hsa-miR-223,hsa-miR-489,hsa-miR-632,hsa-miR-581
15,12.0,13.0,8.0,10.0,27.0,3.0,6.0,1.0,2.0,11.0,23.0,46.0,47.0,81.0,107.0,49.0,51.0,7.0,48.0,16.0,67.0,82.0,73.0,193.0,52.0,14.0,132.0,5.0,179.0,92.0
64,11.0,7.0,9.0,16.0,39.0,10.0,46.0,0.0,25.0,41.0,1.0,30.0,2.0,60.0,37.0,15.0,19.0,21.0,17.0,13.0,64.0,22.0,31.0,51.0,45.0,5.0,132.0,4.0,14.0,72.0
113,4.0,7.0,10.0,6.0,251.0,2.0,104.0,0.0,35.0,29.0,8.0,15.0,3.0,12.0,32.0,22.0,25.0,9.0,34.0,28.0,86.0,51.0,16.0,115.0,57.0,71.0,210.0,13.0,26.0,143.0
162,10.0,19.0,7.0,6.0,31.0,0.0,34.0,15.0,11.0,9.0,41.0,68.0,39.0,16.0,51.0,37.0,13.0,70.0,26.0,8.0,44.0,20.0,2.0,76.0,1.0,21.0,29.0,5.0,89.0,62.0
211,14.0,10.0,0.0,2.0,8.0,22.0,50.0,3.0,13.0,9.0,6.0,1.0,18.0,5.0,42.0,23.0,31.0,32.0,37.0,171.0,175.0,35.0,38.0,25.0,123.0,30.0,54.0,24.0,158.0,346.0
260,94.0,5.0,6.0,1.0,7.0,14.0,113.0,3.0,13.0,25.0,4.0,11.0,9.0,20.0,34.0,17.0,81.0,93.0,51.0,8.0,27.0,24.0,15.0,75.0,164.0,16.0,111.0,10.0,42.0,83.0
309,12.0,4.0,11.0,20.0,3.0,8.0,97.0,0.0,7.0,53.0,5.0,10.0,1.0,2.0,34.0,13.0,60.0,46.0,39.0,26.0,88.0,19.0,16.0,123.0,45.0,23.0,78.0,14.0,117.0,130.0
358,0.0,5.0,7.0,2.0,1.0,3.0,55.0,9.0,6.0,4.0,10.0,14.0,15.0,19.0,18.0,22.0,54.0,38.0,26.0,46.0,129.0,17.0,31.0,101.0,42.0,25.0,53.0,37.0,43.0,152.0
407,25.0,33.0,34.0,5.0,50.0,10.0,6.0,0.0,4.0,17.0,9.0,32.0,1.0,20.0,26.0,84.0,177.0,19.0,28.0,2.0,152.0,95.0,23.0,61.0,27.0,60.0,35.0,8.0,80.0,218.0
456,5.0,0.0,4.0,15.0,29.0,16.0,14.0,11.0,20.0,19.0,75.0,8.0,34.0,3.0,48.0,164.0,41.0,27.0,51.0,52.0,109.0,39.0,68.0,21.0,125.0,2.0,56.0,17.0,138.0,73.0
505,3.0,1.0,7.0,8.0,2.0,71.0,73.0,56.0,13.0,10.0,16.0,55.0,0.0,17.0,42.0,22.0,111.0,27.0,4.0,34.0,60.0,11.0,48.0,41.0,19.0,15.0,6.0,115.0,32.0,59.0
554,0.0,22.0,3.0,12.0,33.0,1.0,8.0,27.0,17.0,2.0,7.0,172.0,45.0,58.0,21.0,4.0,29.0,23.0,16.0,171.0,14.0,5.0,26.0,19.0,6.0,84.0,10.0,76.0,108.0,35.0
603,1.0,0.0,14.0,31.0,30.0,15.0,167.0,4.0,19.0,5.0,8.0,88.0,7.0,24.0,25.0,6.0,36.0,10.0,13.0,63.0,34.0,23.0,56.0,48.0,18.0,44.0,41.0,143.0,20.0,21.0
652,4.0,0.0,1.0,71.0,24.0,2.0,6.0,9.0,13.0,5.0,3.0,99.0,17.0,62.0,23.0,20.0,74.0,21.0,49.0,151.0,10.0,39.0,79.0,19.0,45.0,33.0,11.0,121.0,26.0,32.0
701,0.0,4.0,5.0,48.0,79.0,19.0,21.0,15.0,8.0,2.0,25.0,46.0,3.0,65.0,11.0,66.0,105.0,29.0,1.0,31.0,55.0,26.0,84.0,74.0,71.0,20.0,59.0,63.0,7.0,35.0
750,24.0,3.0,0.0,5.0,18.0,14.0,53.0,27.0,15.0,11.0,13.0,137.0,2.0,30.0,20.0,4.0,38.0,51.0,36.0,39.0,66.0,21.0,17.0,33.0,62.0,74.0,31.0,121.0,52.0,10.0
799,7.0,3.0,0.0,1.0,23.0,18.0,85.0,5.0,76.0,21.0,4.0,77.0,8.0,79.0,2.0,10.0,28.0,16.0,13.0,22.0,15.0,49.0,35.0,29.0,51.0,44.0,26.0,90.0,12.0,11.0
848,7.0,9.0,0.0,48.0,6.0,43.0,31.0,12.0,33.0,2.0,1.0,65.0,3.0,47.0,21.0,5.0,17.0,38.0,14.0,8.0,46.0,57.0,13.0,26.0,29.0,138.0,36.0,84.0,4.0,19.0
897,5.0,0.0,10.0,7.0,12.0,2.0,6.0,22.0,9.0,32.0,3.0,221.0,4.0,31.0,18.0,41.0,61.0,17.0,33.0,140.0,39.0,38.0,58.0,8.0,15.0,34.0,51.0,47.0,16.0,11.0
946,1.0,0.0,3.0,11.0,4.0,9.0,14.0,18.0,10.0,2.0,5.0,88.0,24.0,7.0,16.0,6.0,35.0,53.0,41.0,23.0,12.0,25.0,64.0,19.0,17.0,21.0,20.0,28.0,8.0,68.0
995,2.0,7.0,16.0,12.0,6.0,1.0,8.0,23.0,19.0,3.0,21.0,5.0,0.0,33.0,52.0,25.0,63.0,13.0,4.0,15.0,69.0,95.0,35.0,126.0,118.0,60.0,70.0,46.0,102.0,36.0
1044,6.0,4.0,22.0,20.0,2.0,5.0,0.0,3.0,45.0,1.0,10.0,12.0,18.0,35.0,92.0,7.0,28.0,8.0,16.0,21.0,23.0,103.0,13.0,44.0,60.0,24.0,25.0,91.0,50.0,9.0
