,hsa-miR-205,hsa-miR-216a,hsa-miR-615-3p,hsa-miR-934,hsa-miR-200a,hsa-miR-889,hsa-miR-548a-3p,hsa-miR-432,hsa-miR-30c,hsa-miR-135b,hsa-miR-517b,hsa-miR-510,hsa-miR-219-2-3p,hsa-miR-1266,hsv1-miR-H8,hsa-miR-196b,hsa-miR-296-5p,hsa-miR-662,hsa-miR-24,hsa-miR-9,hsa-miR-631,hsa-miR-497,hsa-miR-222,hsa-miR-944,hsa-miR-31,hsa-miR-147b,hsa-miR-448,hsa-miR-99a,hsa-miR-1279,hsa-miR-153
14,1.0,0.0,81.0,71.0,85.0,576.0,8.0,72.0,94.0,354.0,10.0,51.0,69.0,50.0,5.0,3.0,106.0,13.0,243.0,2.0,63.0,58.0,112.0,55.0,7.0,9.0,324.0,57.0,20.0,48.0
63,0.0,48.0,6.0,129.0,20.0,227.0,7.0,56.0,42.0,422.0,89.0,170.0,29.0,12.0,14.0,5.0,1.0,2.0,10.0,58.0,43.0,187.0,44.0,26.0,21.0,45.0,84.0,251.0,335.0,375.0
112,0.0,6.0,133.0,5.0,7.0,294.0,14.0,333.0,80.0,19.0,10.0,222.0,22.0,4.0,66.0,3.0,61.0,1.0,57.0,213.0,9.0,132.0,149.0,460.0,33.0,50.0,159.0,21.0,15.0,27.0
161,0.0,28.0,79.0,149.0,34.0,8.0,13.0,155.0,44.0,25.0,31.0,10.0,114.0,1.0,32.0,3.0,575.0,9.0,6.0,36.0,231.0,316.0,24.0,2.0,14.0,5.0,76.0,206.0,139.0,256.0
210,0.0,6.0,3.0,162.0,89.0,1.0,191.0,20.0,164.0,24.0,4.0,47.0,28.0,5.0,8.0,9.0,125.0,17.0,23.0,50.0,18.0,160.0,13.0,21.0,56.0,15.0,63.0,27.0,108.0,134.0
259,0.0,2.0,28.0,259.0,68.0,80.0,192.0,74.0,14.0,21.0,10.0,40.0,42.0,5.0,408.0,12.0,4.0,41.0,1.0,69.0,66.0,437.0,29.0,3.0,83.0,37.0,70.0,90.0,155.0,495.0
308,0.0,2.0,11.0,50.0,1.0,86.0,89.0,68.0,303.0,5.0,22.0,374.0,337.0,26.0,80.0,6.0,3.0,154.0,153.0,34.0,40.0,338.0,213.0,35.0,52.0,15.0,66.0,46.0,21.0,42.0
357,0.0,37.0,13.0,15.0,9.0,36.0,139.0,39.0,181.0,34.0,4.0,6.0,30.0,5.0,135.0,17.0,7.0,14.0,11.0,103.0,27.0,85.0,161.0,1.0,104.0,50.0,205.0,114.0,355.0,256.0
406,0.0,10.0,12.0,1.0,37.0,27.0,205.0,5.0,19.0,51.0,49.0,28.0,43.0,3.0,88.0,588.0,2.0,99.0,175.0,148.0,63.0,64.0,202.0,32.0,6.0,38.0,115.0,21.0,168.0,167.0
455,0.0,9.0,26.0,32.0,12.0,291.0,364.0,4.0,10.0,56.0,6.0,2.0,1.0,8.0,42.0,22.0,7.0,35.0,21.0,124.0,28.0,25.0,48.0,3.0,24.0,77.0,61.0,18.0,127.0,257.0
504,0.0,17.0,10.0,3.0,219.0,2.0,12.0,5.0,20.0,77.0,393.0,11.0,196.0,16.0,4.0,85.0,147.0,1.0,8.0,30.0,6.0,7.0,15.0,21.0,311.0,44.0,24.0,402.0,38.0,36.0
553,0.0,21.0,49.0,16.0,194.0,1.0,5.0,8.0,25.0,134.0,6.0,13.0,56.0,22.0,10.0,404.0,66.0,2.0,14.0,71.0,39.0,116.0,89.0,232.0,269.0,103.0,3.0,151.0,62.0,63.0
602,3.0,1.0,10.0,166.0,45.0,0.0,6.0,11.0,96.0,68.0,67.0,14.0,256.0,35.0,13.0,564.0,8.0,7.0,88.0,114.0,5.0,133.0,26.0,78.0,144.0,42.0,2.0,32.0,9.0,50.0
651,0.0,5.0,38.0,7.0,27.0,236.0,42.0,8.0,6.0,58.0,23.0,21.0,209.0,44.0,11.0,492.0,60.0,25.0,171.0,130.0,91.0,82.0,286.0,66.0,112.0,29.0,9.0,207.0,323.0,1.0
