,SKIN,LARGE_INTESTINE,PANCREAS,BREAST,NERVOUS,LIVER,LUNG,OESOPHAGUS,BONE,ENDOMETRIUM,HAEMATOPOIETIC,STOMACH,GANGLIA,AERODIGESTIVE,THYROID,OVARY,URINARY,SOFT_TISSUE,PROSTATE,PLEURA,SALIVARY,KIDNEY,BILIARY
42,2.0,0.0,1.0,4.0,3.0,6.0,5.0,8.0,7.0,10.0,9.0,12.0,14.0,11.0,16.0,13.0,17.0,15.0,19.0,18.0,21.0,20.0,22.0
91,3.0,0.0,2.0,4.0,1.0,6.0,5.0,8.0,11.0,9.0,7.0,13.0,17.0,16.0,10.0,12.0,15.0,14.0,18.0,19.0,20.0,21.0,22.0
140,2.0,0.0,1.0,4.0,3.0,8.0,5.0,7.0,14.0,9.0,10.0,6.0,15.0,16.0,11.0,12.0,17.0,13.0,18.0,19.0,20.0,21.0,22.0
189,1.0,0.0,2.0,4.0,3.0,7.0,5.0,8.0,9.0,11.0,6.0,13.0,16.0,17.0,15.0,14.0,10.0,12.0,18.0,19.0,20.0,21.0,22.0
238,2.0,0.0,1.0,5.0,4.0,6.0,3.0,7.0,8.0,17.0,9.0,13.0,16.0,12.0,11.0,14.0,15.0,10.0,18.0,21.0,19.0,20.0,22.0
287,1.0,0.0,2.0,4.0,3.0,6.0,5.0,8.0,11.0,16.0,7.0,17.0,9.0,13.0,10.0,14.0,15.0,12.0,18.0,19.0,20.0,21.0,22.0
336,3.0,2.0,0.0,1.0,4.0,5.0,6.0,7.0,10.0,12.0,9.0,11.0,14.0,17.0,8.0,16.0,15.0,13.0,18.0,19.0,20.0,21.0,22.0
385,2.0,0.0,1.0,4.0,3.0,6.0,5.0,9.0,12.0,8.0,7.0,13.0,15.0,16.0,10.0,17.0,11.0,14.0,19.0,18.0,21.0,20.0,22.0
434,2.0,0.0,3.0,4.0,1.0,5.0,6.0,12.0,8.0,7.0,10.0,13.0,11.0,16.0,9.0,17.0,14.0,15.0,18.0,19.0,20.0,21.0,22.0
483,2.0,0.0,1.0,4.0,3.0,5.0,6.0,10.0,11.0,9.0,13.0,8.0,16.0,15.0,7.0,14.0,12.0,17.0,19.0,18.0,21.0,20.0,22.0
532,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,13.0,11.0,9.0,12.0,14.0,15.0,16.0,17.0,19.0,18.0,21.0,20.0,22.0
581,2.0,1.0,0.0,3.0,4.0,6.0,5.0,9.0,10.0,11.0,7.0,8.0,14.0,13.0,12.0,16.0,18.0,15.0,19.0,17.0,21.0,20.0,22.0
630,1.0,0.0,2.0,3.0,4.0,6.0,10.0,5.0,11.0,8.0,12.0,13.0,7.0,17.0,9.0,15.0,16.0,14.0,18.0,21.0,19.0,20.0,22.0
679,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,12.0,9.0,11.0,14.0,15.0,16.0,17.0,13.0,18.0,19.0,20.0,21.0,22.0
728,0.0,1.0,2.0,3.0,4.0,5.0,10.0,6.0,7.0,9.0,11.0,16.0,8.0,13.0,12.0,14.0,15.0,17.0,19.0,18.0,21.0,20.0,22.0
777,1.0,0.0,2.0,3.0,4.0,6.0,7.0,5.0,11.0,8.0,14.0,10.0,9.0,13.0,12.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
