,hsa-miR-548d-3p,hsa-miR-508-3p,hsa-miR-223,hsa-miR-590-5p,hsa-miR-921,hsa-miR-222,hsa-miR-574-5p,hsa-miR-892a,hsa-miR-320c,hsa-miR-135b,hsa-miR-186,hcmv-miR-US25-2-5p,hsa-miR-591,hsa-miR-1245,hsa-miR-188-3p,hsa-miR-140-5p,hsa-miR-155,hsa-miR-27b,hsa-miR-711,hsa-miR-765,hsa-miR-597,hsa-miR-125a-3p,hsa-miR-133b,hsa-miR-645,hsa-miR-1308,hsa-miR-548c-5p,hsa-miR-582-5p,hsa-miR-340,hsa-miR-323-5p,hsa-miR-296-5p
1438,0.0,2.0,6.0,1.0,22.0,9.0,3.0,7.0,14.0,25.0,36.0,23.0,4.0,12.0,38.0,31.0,17.0,13.0,81.0,15.0,10.0,8.0,52.0,287.0,43.0,5.0,129.0,39.0,62.0,21.0
1487,1.0,2.0,0.0,4.0,3.0,10.0,6.0,59.0,11.0,14.0,5.0,9.0,15.0,19.0,8.0,24.0,27.0,45.0,7.0,47.0,44.0,23.0,32.0,283.0,30.0,20.0,21.0,84.0,91.0,13.0
1536,4.0,1.0,0.0,3.0,7.0,9.0,8.0,30.0,15.0,5.0,10.0,2.0,35.0,16.0,6.0,22.0,21.0,25.0,17.0,11.0,28.0,57.0,27.0,54.0,26.0,18.0,14.0,13.0,67.0,31.0
1585,3.0,0.0,2.0,10.0,9.0,13.0,5.0,12.0,7.0,1.0,8.0,16.0,44.0,24.0,6.0,36.0,17.0,102.0,19.0,47.0,29.0,18.0,38.0,65.0,14.0,15.0,4.0,75.0,31.0,45.0
1634,0.0,1.0,6.0,2.0,15.0,11.0,5.0,33.0,4.0,8.0,14.0,3.0,13.0,53.0,10.0,38.0,29.0,486.0,26.0,9.0,58.0,43.0,34.0,56.0,12.0,20.0,7.0,40.0,32.0,49.0
1683,4.0,2.0,11.0,3.0,6.0,7.0,28.0,208.0,8.0,0.0,9.0,1.0,15.0,20.0,17.0,21.0,362.0,51.0,14.0,13.0,72.0,37.0,12.0,50.0,29.0,24.0,5.0,30.0,56.0,26.0
1732,13.0,0.0,1.0,2.0,14.0,11.0,5.0,21.0,10.0,3.0,6.0,4.0,18.0,64.0,7.0,19.0,78.0,46.0,79.0,22.0,44.0,24.0,36.0,310.0,16.0,174.0,12.0,8.0,26.0,9.0
1781,1.0,0.0,3.0,5.0,8.0,11.0,10.0,21.0,12.0,2.0,17.0,16.0,20.0,42.0,6.0,18.0,15.0,28.0,7.0,27.0,99.0,13.0,70.0,67.0,4.0,14.0,22.0,35.0,29.0,111.0
1830,5.0,1.0,3.0,4.0,11.0,15.0,6.0,38.0,10.0,2.0,8.0,0.0,7.0,28.0,12.0,18.0,103.0,73.0,14.0,24.0,110.0,21.0,19.0,45.0,35.0,46.0,43.0,31.0,33.0,56.0
1879,6.0,5.0,3.0,1.0,4.0,13.0,11.0,24.0,14.0,2.0,8.0,0.0,17.0,29.0,15.0,32.0,23.0,37.0,22.0,7.0,54.0,25.0,16.0,81.0,10.0,26.0,12.0,70.0,28.0,34.0
1928,1.0,0.0,4.0,3.0,8.0,5.0,13.0,10.0,6.0,2.0,7.0,37.0,24.0,47.0,9.0,98.0,110.0,442.0,27.0,70.0,46.0,92.0,23.0,90.0,19.0,71.0,11.0,78.0,97.0,17.0
1977,0.0,2.0,4.0,1.0,12.0,3.0,7.0,6.0,14.0,18.0,10.0,9.0,23.0,16.0,52.0,39.0,24.0,15.0,66.0,22.0,47.0,31.0,32.0,8.0,30.0,11.0,19.0,33.0,59.0,50.0
2026,4.0,1.0,5.0,0.0,6.0,8.0,2.0,3.0,12.0,21.0,13.0,10.0,22.0,17.0,20.0,88.0,47.0,16.0,18.0,56.0,14.0,60.0,36.0,11.0,27.0,9.0,50.0,414.0,15.0,74.0
2075,1.0,24.0,2.0,0.0,3.0,23.0,7.0,5.0,11.0,15.0,9.0,17.0,19.0,6.0,21.0,98.0,13.0,16.0,33.0,27.0,35.0,84.0,29.0,20.0,31.0,25.0,10.0,440.0,22.0,483.0
2124,0.0,1.0,11.0,3.0,23.0,6.0,4.0,2.0,19.0,9.0,14.0,5.0,12.0,10.0,20.0,68.0,22.0,8.0,42.0,64.0,28.0,98.0,381.0,15.0,32.0,13.0,24.0,26.0,21.0,29.0
2173,0.0,1.0,5.0,7.0,10.0,15.0,9.0,2.0,14.0,44.0,6.0,11.0,18.0,8.0,22.0,60.0,4.0,26.0,52.0,83.0,31.0,34.0,21.0,25.0,72.0,13.0,12.0,434.0,28.0,17.0
2222,0.0,2.0,5.0,3.0,11.0,10.0,4.0,1.0,19.0,7.0,8.0,24.0,23.0,12.0,21.0,90.0,18.0,6.0,20.0,31.0,27.0,40.0,35.0,15.0,64.0,14.0,30.0,432.0,26.0,43.0
2271,0.0,5.0,9.0,4.0,26.0,11.0,2.0,1.0,18.0,32.0,6.0,24.0,15.0,20.0,8.0,30.0,16.0,17.0,3.0,34.0,29.0,66.0,42.0,21.0,55.0,13.0,19.0,48.0,33.0,50.0
2320,0.0,4.0,1.0,2.0,8.0,7.0,9.0,3.0,13.0,25.0,5.0,53.0,15.0,17.0,11.0,38.0,18.0,12.0,27.0,56.0,24.0,50.0,57.0,54.0,92.0,16.0,14.0,71.0,28.0,26.0
2369,0.0,3.0,5.0,1.0,10.0,16.0,6.0,2.0,8.0,24.0,9.0,17.0,4.0,25.0,29.0,41.0,14.0,12.0,11.0,18.0,53.0,44.0,70.0,13.0,22.0,19.0,46.0,497.0,20.0,36.0
2418,0.0,2.0,3.0,10.0,9.0,21.0,12.0,6.0,11.0,27.0,1.0,7.0,18.0,32.0,13.0,46.0,35.0,4.0,47.0,37.0,41.0,328.0,58.0,14.0,376.0,23.0,24.0,66.0,22.0,33.0
2467,0.0,5.0,9.0,2.0,1.0,3.0,12.0,11.0,7.0,4.0,10.0,13.0,14.0,21.0,6.0,45.0,22.0,8.0,41.0,73.0,15.0,36.0,87.0,17.0,336.0,88.0,139.0,34.0,51.0,19.0
2516,1.0,6.0,4.0,2.0,0.0,3.0,14.0,7.0,8.0,20.0,12.0,5.0,9.0,10.0,17.0,43.0,26.0,13.0,40.0,31.0,15.0,24.0,83.0,29.0,332.0,30.0,18.0,56.0,25.0,22.0
2565,1.0,2.0,46.0,3.0,0.0,8.0,9.0,10.0,4.0,12.0,6.0,14.0,22.0,18.0,5.0,51.0,61.0,7.0,50.0,25.0,11.0,15.0,363.0,42.0,94.0,38.0,19.0,32.0,67.0,26.0
2614,0.0,1.0,4.0,3.0,2.0,13.0,7.0,9.0,8.0,33.0,10.0,18.0,11.0,24.0,5.0,37.0,333.0,14.0,26.0,49.0,194.0,23.0,32.0,25.0,61.0,6.0,15.0,30.0,77.0,46.0
2663,0.0,3.0,2.0,8.0,1.0,13.0,6.0,15.0,5.0,9.0,18.0,20.0,10.0,12.0,11.0,46.0,58.0,7.0,30.0,28.0,35.0,23.0,86.0,31.0,337.0,34.0,14.0,80.0,59.0,105.0
2712,0.0,2.0,6.0,12.0,1.0,18.0,11.0,16.0,3.0,8.0,14.0,24.0,15.0,5.0,21.0,20.0,10.0,4.0,63.0,28.0,7.0,420.0,33.0,23.0,332.0,25.0,17.0,61.0,48.0,13.0
2761,1.0,2.0,12.0,3.0,0.0,19.0,6.0,5.0,11.0,34.0,20.0,4.0,13.0,7.0,10.0,325.0,33.0,8.0,29.0,9.0,15.0,22.0,53.0,30.0,362.0,18.0,16.0,450.0,43.0,48.0
2810,0.0,2.0,4.0,3.0,1.0,6.0,25.0,12.0,7.0,5.0,11.0,16.0,18.0,9.0,13.0,52.0,47.0,23.0,99.0,101.0,36.0,14.0,78.0,24.0,333.0,17.0,43.0,10.0,19.0,31.0
2859,1.0,4.0,5.0,2.0,0.0,7.0,16.0,17.0,6.0,8.0,15.0,13.0,35.0,10.0,36.0,49.0,37.0,3.0,90.0,45.0,40.0,28.0,29.0,9.0,374.0,12.0,26.0,30.0,24.0,14.0
2908,0.0,9.0,2.0,12.0,1.0,24.0,7.0,15.0,5.0,4.0,14.0,3.0,8.0,11.0,19.0,401.0,328.0,10.0,27.0,74.0,23.0,16.0,77.0,6.0,414.0,44.0,67.0,434.0,26.0,52.0
2957,13.0,16.0,9.0,7.0,10.0,2.0,0.0,6.0,11.0,4.0,5.0,3.0,1.0,98.0,12.0,14.0,18.0,25.0,28.0,15.0,45.0,19.0,21.0,34.0,377.0,147.0,35.0,26.0,50.0,17.0
3006,2.0,6.0,1.0,4.0,21.0,5.0,0.0,7.0,13.0,9.0,19.0,3.0,8.0,18.0,23.0,15.0,22.0,63.0,12.0,10.0,17.0,11.0,26.0,20.0,86.0,37.0,70.0,34.0,33.0,14.0
