,C16:0 LPE,C22:6 CE,1-methylnicotinamide,C34:2 DAG,guanosine,pantothenate,C18:0 LPE,creatine,alpha-glycerophosphocholine,carnitine,N-carbamoyl-beta-alanine,2-deoxycytidine,GABA,putrescine,alpha-hydroxybutyrate,creatinine,niacinamide,C18:0 LPC,DHAP/glyceraldehyde 3P,cytidine,NADP,C36:1 DAG,C20:4 CE,hypoxanthine,C22:6 LPE,acetylcholine,cotinine,oxalate,UMP,inositol
27,0.0,34.0,1.0,30.0,6.0,5.0,38.0,19.0,9.0,4.0,43.0,10.0,63.0,37.0,54.0,11.0,12.0,33.0,29.0,8.0,48.0,2.0,27.0,7.0,24.0,17.0,15.0,28.0,49.0,55.0
76,0.0,1.0,11.0,2.0,26.0,4.0,14.0,21.0,3.0,19.0,10.0,37.0,63.0,34.0,54.0,8.0,40.0,38.0,9.0,44.0,12.0,7.0,6.0,22.0,25.0,52.0,16.0,13.0,48.0,15.0
125,0.0,3.0,1.0,2.0,35.0,30.0,21.0,13.0,12.0,57.0,11.0,8.0,54.0,17.0,56.0,6.0,58.0,19.0,4.0,31.0,27.0,44.0,45.0,33.0,42.0,59.0,7.0,63.0,61.0,28.0
174,0.0,3.0,9.0,1.0,6.0,26.0,19.0,15.0,13.0,7.0,4.0,11.0,23.0,16.0,65.0,61.0,12.0,18.0,30.0,5.0,56.0,35.0,21.0,28.0,33.0,14.0,17.0,10.0,62.0,55.0
223,0.0,10.0,1.0,9.0,2.0,3.0,26.0,23.0,53.0,13.0,64.0,19.0,61.0,17.0,54.0,22.0,42.0,21.0,7.0,44.0,11.0,28.0,6.0,29.0,36.0,5.0,32.0,12.0,49.0,18.0
272,3.0,8.0,0.0,6.0,12.0,48.0,38.0,5.0,65.0,35.0,15.0,1.0,63.0,14.0,54.0,21.0,4.0,2.0,9.0,11.0,28.0,29.0,26.0,46.0,23.0,22.0,40.0,27.0,32.0,55.0
321,0.0,3.0,5.0,2.0,4.0,1.0,42.0,12.0,64.0,35.0,6.0,41.0,16.0,15.0,53.0,9.0,63.0,13.0,10.0,7.0,31.0,29.0,26.0,30.0,40.0,44.0,33.0,32.0,49.0,55.0
370,0.0,9.0,6.0,2.0,30.0,1.0,5.0,43.0,3.0,13.0,10.0,15.0,12.0,33.0,55.0,65.0,64.0,19.0,26.0,8.0,4.0,40.0,24.0,27.0,23.0,14.0,31.0,48.0,50.0,18.0
419,0.0,24.0,18.0,1.0,7.0,3.0,10.0,12.0,11.0,21.0,15.0,16.0,19.0,20.0,56.0,13.0,9.0,38.0,33.0,8.0,4.0,23.0,45.0,5.0,40.0,57.0,62.0,2.0,63.0,32.0
468,0.0,9.0,1.0,2.0,7.0,28.0,27.0,18.0,64.0,15.0,25.0,4.0,62.0,41.0,65.0,44.0,8.0,22.0,48.0,23.0,30.0,10.0,16.0,32.0,29.0,3.0,35.0,51.0,26.0,20.0
