,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-223,hsa-let-7e,hsa-miR-210,hsa-miR-24,hsa-miR-135b,hsa-miR-22,hsa-miR-21,hsa-miR-890,hsa-miR-130a,hsa-miR-151-3p,hsa-miR-193b,hsa-miR-574-5p,hsa-let-7a,hsa-miR-147b,hsa-miR-513a-3p,hsa-miR-92a,hsa-let-7i,hsa-miR-148a,hsa-miR-137,hsa-miR-628-5p,hsa-miR-10a,hsa-miR-193a-5p,hcmv-miR-US5-1,hsa-miR-222,hsa-miR-378,hsa-miR-422a,mcv-miR-M1-3p,hsa-miR-149
4232,0.0,1.0,3.0,2.0,5.0,4.0,9.0,6.0,10.0,12.0,13.0,7.0,35.0,16.0,14.0,8.0,28.0,11.0,19.0,37.0,91.0,49.0,20.0,21.0,15.0,32.0,104.0,25.0,182.0,18.0
4281,0.0,2.0,3.0,1.0,26.0,4.0,13.0,14.0,16.0,12.0,5.0,6.0,35.0,11.0,21.0,28.0,30.0,45.0,247.0,18.0,8.0,169.0,10.0,43.0,7.0,89.0,70.0,19.0,260.0,40.0
4330,0.0,2.0,4.0,1.0,17.0,3.0,6.0,8.0,12.0,5.0,10.0,15.0,99.0,14.0,30.0,7.0,290.0,19.0,43.0,53.0,21.0,13.0,194.0,11.0,33.0,32.0,9.0,27.0,450.0,20.0
4379,0.0,2.0,1.0,3.0,4.0,11.0,7.0,17.0,5.0,12.0,6.0,14.0,9.0,13.0,15.0,44.0,81.0,45.0,8.0,18.0,16.0,182.0,28.0,73.0,41.0,10.0,24.0,232.0,119.0,152.0
4428,2.0,0.0,4.0,5.0,1.0,8.0,3.0,7.0,14.0,17.0,6.0,53.0,10.0,11.0,9.0,33.0,348.0,179.0,210.0,227.0,21.0,45.0,177.0,489.0,144.0,16.0,89.0,26.0,119.0,51.0
4477,1.0,2.0,4.0,8.0,3.0,7.0,0.0,6.0,5.0,14.0,9.0,18.0,15.0,10.0,17.0,31.0,45.0,124.0,20.0,28.0,33.0,25.0,13.0,129.0,53.0,43.0,228.0,161.0,16.0,22.0
4526,0.0,4.0,10.0,1.0,5.0,3.0,2.0,7.0,12.0,28.0,6.0,11.0,94.0,13.0,53.0,8.0,68.0,20.0,54.0,16.0,9.0,50.0,15.0,27.0,42.0,25.0,26.0,153.0,404.0,114.0
4575,0.0,2.0,9.0,3.0,4.0,6.0,1.0,19.0,5.0,143.0,7.0,20.0,13.0,11.0,10.0,44.0,330.0,241.0,8.0,12.0,31.0,83.0,23.0,68.0,25.0,21.0,34.0,18.0,16.0,91.0
4624,0.0,4.0,1.0,8.0,3.0,6.0,5.0,2.0,15.0,18.0,10.0,7.0,9.0,11.0,103.0,22.0,37.0,68.0,20.0,27.0,13.0,24.0,39.0,109.0,46.0,81.0,17.0,147.0,29.0,84.0
4673,0.0,1.0,5.0,3.0,11.0,7.0,6.0,8.0,2.0,37.0,16.0,23.0,19.0,4.0,375.0,20.0,40.0,27.0,15.0,17.0,25.0,43.0,42.0,133.0,56.0,9.0,18.0,58.0,10.0,24.0
4722,5.0,0.0,4.0,20.0,3.0,1.0,2.0,6.0,8.0,38.0,9.0,36.0,13.0,22.0,10.0,55.0,33.0,213.0,26.0,16.0,7.0,30.0,21.0,45.0,54.0,124.0,73.0,50.0,34.0,24.0
4771,2.0,3.0,0.0,11.0,30.0,8.0,1.0,5.0,9.0,16.0,12.0,39.0,14.0,6.0,4.0,23.0,26.0,371.0,20.0,47.0,181.0,13.0,15.0,267.0,19.0,49.0,251.0,74.0,56.0,88.0
4820,0.0,7.0,1.0,6.0,4.0,12.0,2.0,5.0,3.0,10.0,9.0,24.0,13.0,8.0,34.0,91.0,33.0,41.0,43.0,19.0,23.0,111.0,119.0,247.0,70.0,11.0,54.0,90.0,30.0,20.0
4869,0.0,5.0,2.0,4.0,33.0,3.0,1.0,34.0,7.0,13.0,14.0,17.0,8.0,146.0,24.0,10.0,16.0,209.0,12.0,11.0,18.0,45.0,28.0,22.0,101.0,9.0,81.0,139.0,58.0,121.0
