,C2CD4D_AMP,PRKD1_MUT,LOC439994_DEL,RBM34_AMP,BRAF.MC_MUT,ZAN_DEL,RBFOX1_AMP,SNORA14B_AMP,LINGO4_AMP,FAM189B_AMP,RGPD4_AMP,DIAPH2_DEL,OR2T27_DEL,TOMM20_AMP,LOC100505679_DEL,SNX29_DEL,SCNM1_AMP,JAK1_DEL,LOC440300_DEL,FAM22D_DEL,MRPL9_AMP,FGF1_AMP,IGFBP1_AMP,RABGAP1L_DEL,ECM1_AMP,TCHHL1_AMP,GOLPH3L_AMP,IGFBP3_AMP,LOC388152_DEL,RAB13_AMP
32,21.0,2.0,42.0,1051.0,17.0,1150.0,9.0,2484.0,63.0,13.0,412.0,184.0,55.0,2486.0,94.0,44.0,361.0,553.0,131.0,128.0,83.0,164.0,148.0,1757.0,253.0,271.0,138.0,12.0,137.0,351.0
81,1.0,3.0,2.0,13867.0,7.0,65.0,624.0,23646.0,30.0,198.0,1127.0,238.0,11.0,19836.0,156.0,4.0,755.0,16.0,27.0,1179.0,31.0,119.0,59.0,207.0,67.0,137.0,38.0,112.0,66.0,286.0
130,4.0,816.0,198.0,542.0,189.0,3.0,22.0,23785.0,20.0,65.0,185.0,58.0,14.0,19827.0,144.0,17.0,241.0,0.0,334.0,1372.0,62.0,14002.0,15386.0,260.0,42.0,229.0,60.0,413.0,37.0,438.0
179,10.0,1.0,0.0,8.0,2.0,3.0,14.0,1302.0,120.0,290.0,410.0,68.0,40.0,140.0,351.0,8950.0,20.0,163.0,664.0,513.0,5.0,57.0,24.0,9436.0,127.0,142.0,4.0,93.0,959.0,240.0
228,14.0,0.0,33.0,15.0,8.0,273.0,108.0,23655.0,48.0,53.0,622.0,3651.0,49.0,1183.0,1668.0,5.0,240.0,34.0,1203.0,907.0,79.0,36.0,21.0,19.0,44.0,18353.0,37.0,461.0,785.0,415.0
277,5.0,2.0,36.0,391.0,72.0,10.0,6.0,23640.0,61.0,249.0,562.0,23.0,38.0,975.0,3410.0,89.0,44.0,19.0,11243.0,55.0,407.0,228.0,3.0,21.0,74.0,315.0,382.0,182.0,125.0,414.0
326,11.0,15.0,12.0,1871.0,316.0,42.0,4.0,1438.0,52.0,301.0,3282.0,7423.0,210.0,1254.0,1318.0,2.0,343.0,5.0,93.0,1.0,76.0,181.0,459.0,2742.0,88.0,262.0,348.0,1931.0,495.0,501.0
375,0.0,17.0,2.0,28.0,15.0,6.0,85.0,23761.0,45.0,195.0,22.0,229.0,9.0,1007.0,7.0,3.0,41.0,111.0,87.0,125.0,13.0,2345.0,84.0,3588.0,69.0,40.0,142.0,15512.0,21.0,389.0
424,6.0,19.0,1.0,453.0,295.0,80.0,0.0,23788.0,156.0,54.0,2523.0,5.0,51.0,19867.0,56.0,197.0,191.0,52.0,1548.0,516.0,49.0,1477.0,15354.0,2376.0,15.0,199.0,36.0,37.0,1019.0,416.0
473,5.0,3.0,6.0,806.0,14.0,11.0,19.0,23757.0,109.0,34.0,49.0,83.0,31.0,19841.0,19174.0,1145.0,23805.0,33.0,11300.0,32.0,30.0,15.0,44.0,39.0,76.0,111.0,126.0,222.0,627.0,311.0
522,67.0,5.0,425.0,6.0,1.0,705.0,19.0,11.0,320.0,94.0,139.0,243.0,28.0,0.0,440.0,528.0,484.0,22.0,453.0,747.0,1592.0,14083.0,41.0,644.0,447.0,195.0,1400.0,24.0,1525.0,410.0
571,25.0,3.0,15.0,0.0,1.0,35.0,47.0,4.0,13573.0,60.0,3631.0,18.0,114.0,5.0,55.0,170.0,397.0,80.0,159.0,9.0,21874.0,66.0,15526.0,117.0,17608.0,18359.0,2950.0,781.0,618.0,610.0
620,2.0,0.0,42.0,96.0,5.0,23.0,53.0,50.0,188.0,301.0,482.0,63.0,568.0,91.0,43.0,624.0,48.0,72.0,24.0,34.0,21891.0,855.0,167.0,1113.0,17661.0,239.0,22113.0,513.0,839.0,447.0
669,24.0,27.0,11.0,3.0,2.0,2236.0,26.0,1.0,98.0,31.0,64.0,878.0,5.0,80.0,33.0,14.0,85.0,2991.0,44.0,540.0,21885.0,14109.0,516.0,21.0,159.0,418.0,296.0,142.0,22.0,541.0
718,18.0,25.0,12.0,2.0,27.0,915.0,8.0,28.0,68.0,266.0,57.0,6659.0,19.0,977.0,15.0,1.0,300.0,22.0,120.0,9.0,21824.0,14044.0,591.0,269.0,75.0,42.0,369.0,294.0,385.0,404.0
767,9.0,1.0,0.0,31.0,10.0,6.0,23.0,39.0,27.0,16.0,592.0,101.0,15.0,43.0,1055.0,18.0,509.0,851.0,171.0,36.0,507.0,1717.0,57.0,1119.0,17627.0,359.0,466.0,447.0,1035.0,82.0
816,77.0,44.0,220.0,27.0,16.0,205.0,17.0,24.0,13638.0,14.0,3701.0,58.0,189.0,19.0,1961.0,3710.0,279.0,32.0,1323.0,12.0,21755.0,540.0,2336.0,9480.0,157.0,320.0,111.0,194.0,355.0,331.0
865,20.0,0.0,4.0,11.0,6.0,31.0,5.0,7.0,13521.0,64.0,13233.0,8.0,44.0,3.0,376.0,15.0,24.0,23.0,1678.0,2.0,71.0,887.0,98.0,66.0,17588.0,793.0,1532.0,262.0,1127.0,464.0
914,6.0,9.0,19.0,5.0,25.0,251.0,3.0,1.0,57.0,370.0,13239.0,95.0,4377.0,0.0,859.0,380.0,37.0,129.0,510.0,103.0,309.0,156.0,263.0,342.0,290.0,234.0,607.0,15361.0,125.0,543.0
963,54.0,15.0,110.0,6.0,2.0,162.0,1.0,166.0,128.0,104.0,831.0,1152.0,0.0,21.0,120.0,4.0,80.0,34.0,1579.0,92.0,21871.0,14103.0,575.0,28.0,163.0,402.0,474.0,15407.0,5227.0,21668.0
1012,97.0,0.0,1.0,4.0,21.0,380.0,2.0,389.0,12.0,18493.0,1483.0,325.0,127.0,35.0,203.0,66.0,20.0,37.0,14.0,349.0,8.0,16575.0,13.0,103.0,26.0,178.0,78.0,3.0,33.0,1326.0
