,STOMACH,GANGLIA,NERVOUS,HAEMATOPOIETIC,LIVER,OESOPHAGUS,BONE,LUNG,LARGE_INTESTINE,PANCREAS,SKIN,SOFT_TISSUE,BREAST,OVARY,ENDOMETRIUM,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
4016,1.0,2.0,4.0,3.0,5.0,6.0,0.0,9.0,7.0,10.0,8.0,18.0,12.0,11.0,13.0,15.0,16.0,17.0,19.0,20.0,14.0,21.0,22.0
4065,2.0,3.0,4.0,0.0,5.0,6.0,1.0,8.0,9.0,10.0,12.0,7.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,1.0,2.0,4.0,3.0,5.0,8.0,0.0,10.0,7.0,11.0,9.0,6.0,14.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,1.0,0.0,3.0,2.0,4.0,7.0,16.0,8.0,9.0,6.0,10.0,5.0,12.0,13.0,11.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,1.0,0.0,3.0,2.0,4.0,6.0,17.0,9.0,7.0,8.0,14.0,5.0,10.0,11.0,12.0,15.0,16.0,18.0,19.0,20.0,13.0,21.0,22.0
4261,1.0,3.0,4.0,2.0,5.0,7.0,0.0,9.0,8.0,10.0,11.0,6.0,13.0,12.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
4310,2.0,1.0,4.0,3.0,5.0,7.0,0.0,10.0,11.0,9.0,8.0,6.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,0.0,1.0,3.0,2.0,4.0,5.0,16.0,9.0,6.0,8.0,10.0,18.0,7.0,11.0,13.0,14.0,15.0,17.0,19.0,20.0,12.0,21.0,22.0
4408,0.0,1.0,3.0,2.0,4.0,5.0,15.0,6.0,7.0,9.0,8.0,17.0,11.0,10.0,12.0,13.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
4457,20.0,0.0,2.0,1.0,3.0,6.0,4.0,7.0,8.0,5.0,10.0,16.0,9.0,11.0,13.0,12.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
4506,20.0,0.0,2.0,1.0,3.0,6.0,4.0,7.0,5.0,9.0,10.0,17.0,8.0,11.0,12.0,14.0,15.0,16.0,18.0,19.0,13.0,21.0,22.0
4555,20.0,1.0,3.0,0.0,4.0,6.0,2.0,9.0,5.0,10.0,7.0,17.0,8.0,12.0,11.0,14.0,15.0,16.0,18.0,19.0,13.0,21.0,22.0
4604,20.0,0.0,2.0,1.0,3.0,4.0,5.0,7.0,8.0,6.0,10.0,17.0,9.0,12.0,11.0,14.0,15.0,16.0,18.0,19.0,13.0,21.0,22.0
4653,20.0,0.0,2.0,1.0,3.0,12.0,15.0,4.0,6.0,8.0,7.0,17.0,5.0,9.0,10.0,13.0,14.0,16.0,18.0,19.0,11.0,21.0,22.0
4702,20.0,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,9.0,10.0,12.0,8.0,14.0,11.0,15.0,16.0,17.0,18.0,19.0,13.0,21.0,22.0
4751,20.0,0.0,1.0,2.0,3.0,5.0,4.0,10.0,6.0,9.0,8.0,11.0,7.0,13.0,12.0,15.0,16.0,17.0,18.0,19.0,14.0,21.0,22.0
4800,20.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,6.0,10.0,12.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4849,20.0,0.0,2.0,1.0,3.0,4.0,5.0,6.0,9.0,7.0,12.0,11.0,8.0,13.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4898,20.0,0.0,1.0,2.0,3.0,5.0,4.0,10.0,7.0,9.0,8.0,12.0,11.0,13.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
