,SCAPER_DEL,LOC283914_AMP,MIR4473_DEL,ZBTB20_AMP,ADAMTSL1_DEL,HLA-DRB1_AMP,AKAP12_MUT,HLA-DRB6_AMP,KRAS.G12_13_MUT,MIR3152_DEL,GLI3_MUT,LOC146481_AMP,LINGO2_AMP,SCYL2_MUT,UPK3B_AMP,PIRT_DEL,FBXL7_DEL,SLC2A9_DEL,DAP3_AMP,DENND4C_DEL,HLA-DRB5_AMP,CSPG4_MUT,MCM3AP_MUT,ITPR1_MUT,ACOT1_DEL,KRAS_MUT,OR4C11_DEL,THOC3_AMP,NAALADL2_AMP,FAM154A_DEL
28,133.0,13186.0,27.0,643.0,8391.0,195.0,1.0,1235.0,241.0,1708.0,1177.0,107.0,681.0,61.0,23387.0,104.0,1591.0,74.0,1382.0,814.0,14965.0,2.0,16609.0,278.0,62.0,16209.0,418.0,47.0,151.0,3926.0
77,5.0,13583.0,31.0,186.0,203.0,118.0,17.0,14028.0,92.0,27.0,37.0,206.0,17925.0,551.0,22976.0,11735.0,7060.0,492.0,24047.0,100.0,824.0,9471.0,875.0,11257.0,0.0,1605.0,64.0,1064.0,17769.0,4530.0
126,3.0,13146.0,188.0,42.0,97.0,14991.0,16542.0,48.0,329.0,105.0,82.0,44.0,464.0,57.0,23345.0,99.0,6005.0,15.0,22719.0,244.0,336.0,358.0,16616.0,27.0,7879.0,16218.0,8.0,19394.0,112.0,4918.0
175,0.0,255.0,267.0,158.0,8401.0,49.0,566.0,378.0,900.0,174.0,57.0,17056.0,17570.0,38.0,23349.0,22.0,6698.0,12117.0,22725.0,124.0,421.0,1130.0,16601.0,27.0,15.0,16194.0,13.0,19399.0,351.0,9.0
224,280.0,13216.0,102.0,1773.0,10.0,14982.0,28.0,9.0,414.0,2.0,16286.0,707.0,165.0,58.0,601.0,11658.0,6734.0,34.0,1767.0,12061.0,672.0,16390.0,16609.0,103.0,1534.0,1370.0,17.0,1727.0,1386.0,59.0
273,0.0,66.0,31.0,526.0,215.0,1746.0,62.0,1274.0,72.0,12.0,32.0,148.0,36.0,413.0,1568.0,11237.0,135.0,12119.0,22722.0,8.0,731.0,602.0,16.0,16187.0,271.0,16214.0,846.0,19396.0,308.0,121.0
322,18.0,358.0,232.0,1563.0,39.0,28.0,299.0,0.0,79.0,259.0,441.0,178.0,17535.0,1160.0,599.0,11239.0,206.0,1534.0,71.0,1486.0,14991.0,1603.0,521.0,404.0,1725.0,16.0,6357.0,19407.0,13784.0,920.0
371,2.0,15.0,709.0,397.0,4.0,391.0,1454.0,0.0,6.0,802.0,16241.0,468.0,623.0,16768.0,16.0,11228.0,131.0,14.0,22732.0,54.0,14922.0,16369.0,694.0,16180.0,90.0,16215.0,886.0,1633.0,1557.0,597.0
420,1702.0,158.0,120.0,278.0,386.0,126.0,219.0,11.0,153.0,3.0,754.0,328.0,17539.0,27.0,23110.0,11242.0,6717.0,260.0,22712.0,16.0,1457.0,16369.0,231.0,16179.0,1542.0,16216.0,520.0,19397.0,13789.0,4032.0
469,467.0,21.0,449.0,13700.0,12.0,3.0,82.0,65.0,61.0,18823.0,10.0,76.0,17029.0,419.0,23378.0,244.0,6383.0,0.0,1706.0,1377.0,12972.0,650.0,16303.0,604.0,11456.0,147.0,652.0,19347.0,13992.0,4863.0
518,43.0,13163.0,98.0,828.0,8418.0,3.0,700.0,8.0,24134.0,110.0,2.0,17052.0,1821.0,780.0,405.0,11246.0,288.0,117.0,942.0,88.0,14965.0,16374.0,1161.0,16190.0,1.0,108.0,6.0,0.0,898.0,104.0
567,166.0,34.0,153.0,220.0,8417.0,251.0,1670.0,1370.0,4.0,214.0,16252.0,1533.0,366.0,16802.0,165.0,11231.0,907.0,12222.0,152.0,10077.0,691.0,32.0,16644.0,189.0,53.0,177.0,186.0,596.0,13761.0,4303.0
616,1568.0,777.0,44.0,1770.0,8694.0,104.0,5.0,0.0,2.0,19021.0,113.0,280.0,18378.0,985.0,3.0,11669.0,7053.0,10343.0,713.0,10571.0,51.0,383.0,173.0,11185.0,26.0,1.0,79.0,23328.0,17482.0,4530.0
665,187.0,173.0,93.0,787.0,8385.0,108.0,969.0,35.0,1.0,20752.0,16229.0,17073.0,17567.0,16804.0,23354.0,538.0,17.0,12176.0,22697.0,10185.0,1740.0,16364.0,16579.0,16210.0,766.0,8.0,143.0,19294.0,214.0,3918.0
714,34.0,6.0,556.0,12863.0,8506.0,14962.0,16.0,564.0,42.0,20706.0,300.0,82.0,242.0,16759.0,1.0,11493.0,1005.0,12416.0,209.0,12160.0,516.0,937.0,16604.0,2.0,1271.0,16160.0,114.0,1605.0,83.0,4404.0
763,151.0,85.0,0.0,12870.0,269.0,14914.0,986.0,39.0,3.0,603.0,16223.0,243.0,17316.0,576.0,494.0,11228.0,586.0,12109.0,327.0,37.0,254.0,850.0,462.0,9.0,1747.0,16206.0,55.0,19417.0,13747.0,1685.0
